,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Big Data analysts to analyse the findings,,,,,,
,Respondents to decipher their own answers,,,,,,
,,,,,,,
," A study which measures the number of brands, products bought and sold during during a particular period is defined as a :",A,M,Theory,Single Choice,Marketing : Market Research,
,retail audit,,,,,,
,consumer audit,,,,,,
,retail survey,,,,,,
,Data Bank,,,,,,
,,,,,,,
, Peoplemeters  are used for :,A,M,Theory,Single Choice,Marketing : Market Research,
,measuring what consumers watch over a period of time,,,,,,
,measuring how much consumers spend on an average,,,,,,
,identifying relevant consumers for a company,,,,,,
,defining the consumers under study,,,,,,
,,,,,,,
, The process of recording responses in a frequency distribution table is called :,A,M,Theory,Single Choice,Marketing : Market Research,
,Simple Tabulation,,,,,,
,Cross Tabulation,,,,,,
,Recording,,,,,,
,Distributing,,,,,,
,,,,,,,
, The process of recording responses to multiple questions at once is called :,B,M,Theory,Single Choice,Marketing : Market Research,
,Simple Tabulation,,,,,,
,Cross Tabulation,,,,,,
,Recording,,,,,,
,Distributing,,,,,,
,,,,,,,
, The error which occurs due to selection of some units and non selection of others is called :,A,M,Theory,Single Choice,Marketing : Market Research,
,Sampling Error,,,,,,
,Non Sampling error,,,,,,
,Selection Error,,,,,,
,Researcher Error,,,,,,
,,,,,,,
," The error which arises as a consequence of various errors by the researcher, the data entry operator or the interviewer in the course of the study is called :",B,M,Theory,Single Choice,Marketing : Market Research,
,Sampling Error,,,,,,
,Non Sampling error,,,,,,
,Selection Error,,,,,,
,Researcher Error,,,,,,
,,,,,,,
," The larger the sample size, the larger the :",B,M,Theory,Single Choice,Marketing : Market Research,
,Sampling Error,,,,,,
,Non Sampling error,,,,,,
,Selection Error,,,,,,
,Systematic Error,,,,,,
,,,,,,,
, Which one of the following statements is correct ?,B,M,Theory,Single Choice,Marketing : Market Research,
,"the larger the sample size, the larger the sampling error",,,,,,
,"the larger the sample size, the larger the non sampling error",,,,,,
,the total error can be accurately estimated,,,,,,
,it is possible to reduce both sampling error and non sampling error,,,,,,
,,,,,,,
, Which one of the following statements is correct ?,A,M,Theory,Single Choice,Marketing : Market Research,
,"the smaller the sample size, the larger the sampling error",,,,,,
,"the smaller the sample size, the larger the non sampling error",,,,,,
,the total error can be accurately estimated,,,,,,
,it is possible to reduce both sampling error and non sampling error,,,,,,
,,,,,,,
, Which of the following is not a probabilistic sampling technique :,C,M,Theory,Single Choice,Marketing : Market Research,
,Stratified Sampling,,,,,,
,Systematic Sampling,,,,,,
,Quota Sampling,,,,,,
,Simple Random Sampling,,,,,,
,,,,,,,
, Which of the following is not a probabilistic sampling technique ?,A,M,Theory,Single Choice,Marketing : Market Research,
,Snowball Sampling,,,,,,
,Systematic Sampling,,,,,,
,Cluster Sampling,,,,,,
,Simple Random Sampling,,,,,,
,,,,,,,
, Which of the following is not a non parametric test ?,D,M,Theory,Single Choice,Marketing : Market Research,
,Kolmogorov- Smrinov test,,,,,,
,Chi Squared test,,,,,,
,Runs test,,,,,,
,One sample t test,,,,,,
,,,,,,,
, Which of the following is not a non parametric test ?,C,M,Theory,Single Choice,Marketing : Market Research,
,Kolmogorov- Smrinov test,,,,,,
,Chi Squared test,,,,,,
,Z test,,,,,,
,Runs test,,,,,,
,,,,,,,
, Which of the following tests is used in the presence of two dependent samples ?,D,M,Theory,Single Choice,Marketing : Market Research,
,Kolmogorov- Smrinov test,,,,,,
,Chi Squared test,,,,,,
,Runs test,,,,,,
,Cochran Test,,,,,,
,,,,,,,
, Which of the following tests is used in case of two independent samples ?,D,M,Theory,Single Choice,Marketing : Market Research,
,Sign test,,,,,,
,Wilcoxin Test,,,,,,
,Cochran Test,,,,,,
,Kolmogorov – Smrinov Test,,,,,,
,,,,,,,
, Which of the following is not a non parametric test ?,D,M,Theory,Single Choice,Marketing : Market Research,
,Kolmogorov- Smrinov test,,,,,,
,Chi Squared test,,,,,,
,Runs test,,,,,,
,One sample t test,,,,,,
,,,,,,,
, Which of the following is a parametric test ?,D,M,Theory,Single Choice,Marketing : Market Research,
,Sign test,,,,,,
,Wilcoxin Test,,,,,,
,Cochran Test,,,,,,
,ANOVA,,,,,,
,,,,,,,
, Type 1 error is defined as :,A,M,Theory,Single Choice,Marketing : Market Research,
,probability of rejecting a true hypothesis,,,,,,
,probability of rejecting a false hypothesis,,,,,,
,probability of accepting a true hypothesis,,,,,,
,probability of accepting a false hypothesis,,,,,,
,,,,,,,
, Type 2 error is defined as :,D,M,Theory,Single Choice,Marketing : Market Research,
,probability of rejecting a true hypothesis,,,,,,
,probability of rejecting a false hypothesis,,,,,,
,probability of accepting a true hypothesis,,,,,,
,probability of accepting a false hypothesis,,,,,,
,,,,,,,
, The probability that the value of a parameter lies between two specific values is defined as :,A,M,Theory,Single Choice,Marketing : Market Research,
,confidence interval,,,,,,
,alpha,,,,,,
,Type 1 error,,,,,,
,null hypothesis,,,,,,
,,,,,,,
,The confidence interval for a study is calculated using the formula :,A,M,Theory,Single Choice,Marketing : Market Research,
,1- type 1 error,,,,,,
,1- type 2 error,,,,,,
,type 1 error – type2 error,,,,,,
,1- type 1 error-type 2 error,,,,,,
,,,,,,,
, The null hypothesis is defined as :,A,M,Theory,Single Choice,Marketing : Market Research,
,a statement the researcher assumes is correct,,,,,,
,a statement the researcher feels is incorrect,,,,,,
,a statement the researcher wants to establish,,,,,,
,a statement the researcher feels has zero value,,,,,,
,,,,,,,
, The t- test is appropriate for a sample size :,A,M,Theory,Single Choice,Marketing : Market Research,
,less than 30,,,,,,
,greater than 30,,,,,,
,greater than 100,,,,,,
,less than 100,,,,,,
,,,,,,,
, The z-test is appropriate for a sample size of :,,M,Theory,Single Choice,Marketing : Market Research,
,less than 30,,,,,,
,greater than 30,,,,,,
,greater than 100,,,,,,
,less than 100,,,,,,
,,,,,,,
," The relationship between Mean, Median and Mode is defined as :",A,M,Theory,Single Choice,Marketing : Market Research,
,Mean- Mode = 3(Mean- Median),,,,,,
,Mode- Mean = 3(Mean- Median),,,,,,
,Mean- Mode = 3(Median- Mean),,,,,,
,Mean- Mode = 3(Median- Mode),,,,,,
,,,,,,,
, Which of the following are correct about qualitative research methods ?,B,M,Theory,Single Choice,Marketing : Market Research,
,they are used to make accurate predictions about relationships between market factors and consumer behaviors.,,,,,,
,they aid in understanding those relationships and differences.,,,,,,
,they assist in verifying and validating existing relationships.,,,,,,
,"they focus on standardized raw data useful in researching the how, what, where, who, and when aspects of market factors and conditions.",,,,,,
,,,,,,,
, All of the following are advantages of survey methods except:,A,M,Theory,Single Choice,Marketing : Market Research,
,large sample sizes increase generalizability of results.,,,,,,
,"ability to easily crate detailed, in-depth data structures.",,,,,,
,ability to distinguish small differences.,,,,,,
,ease of administering and recording questions and answers.,,,,,,
,,,,,,,
,Research used as part of a sales effort is called :,B,M,Theory,Single Choice,Marketing : Market Research,
,syndicating,,,,,,
,sugging,,,,,,
,satisficing,,,,,,
,double as,,,,,,
,,,,,,,
, What is Acquiescence Response Bias?,B,M,Theory,Single Choice,Marketing : Market Research,
,disagreement with little consideration.,,,,,,
,agreement with little consideration.,,,,,,
,overconsideration.,,,,,,
,something other than the options offered.,,,,,,
,,,,,,,
,The process of observing customers in their natural environment is called,B,M,Theory,Single Choice,Marketing : Market Research,
,Experimental research,,,,,,
,ethnographic research,,,,,,
,observational research,,,,,,
,survey research,,,,,,
,,,,,,,
,The second step of the marketing research process requires that research objectives should be translated into specific ________.,D,M,Theory,Single Choice,Marketing : Market Research,
,Hypotheses,,,,,,
,Strategic Plans,,,,,,
,Marketing goals,,,,,,
,Information needs,,,,,,
