,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
, Personal Selling,,,,,,
, Sponsorship,,,,,,
, Packaging,,,,,,
, Publicity,,,,,,
,,,,,,,
,Which of the following does not form a part of the Product Life Cycle?,C,M,Theory,Single choice,Marketing::Product:Life cycle,
, Introduction,,,,,,
, Growth,,,,,,
, Saturation,,,,,,
, Decline,,,,,,
,,,,,,,
,"Most likely, in which stage, emphasis may be on locating potential prospects?",A,M,Theory,Single choice,Marketing::Product:Life cycle,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
,,,,,,,
,"Most likely, in which stage, the salesforce may find themselves having to deal with the delicate issue of rationing products to their customers?",B,M,Theory,Single choice,Marketing::Product:Life cycle,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
,,,,,,,
,Competitive pricing and special offers are most suitable for:,C,M,Theory,Single choice,Marketing::Product:Life cycle,
, Introduction,,,,,,
, Growth,,,,,,
, Decline,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Product adoption and diffusion theory was given by:,D,H,Theory,Single choice,Marketing:GK::,
, Jerome McCarthy,,,,,,
, Michael Porter,,,,,,
, Phillip Kotler,,,,,,
, Everett Rogers,,,,,,
,,,,,,,
,Which of the following do not form a part of the 'adopter' categories?,C,M,Theory,Single choice,Marketing: ::,
, Innovators,,,,,,
, Early Adopters,,,,,,
, Late Adopters,,,,,,
, Early Majority,,,,,,
,,,,,,,
,Pricing where a firm acknowledges that price represents value and not just costs is called:,B,M,Theory,Single choice,Marketing::Pricing:,
, Cost plus pricing,,,,,,
, Market based pricing,,,,,,
, Price Skimming,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Pricing strategy which ignores customers and competition is:,A,M,Theory,Single choice,Marketing::Pricing:,
, Cost plus pricing,,,,,,
, Market based pricing,,,,,,
, Price Skimming,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"High initial prices are set – again often backed by high levels of promotional spending, and then prices are lowered eventually. What type of pricing strategy is this?",C,M,Theory,Single choice,Marketing::Pricing:,
, Cost plus pricing,,,,,,
, Market based pricing,,,,,,
, Price Skimming,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"Generally, the upper threshold for price is determined by:",B,M,Theory,Single choice,Marketing::Pricing:,
, Cost,,,,,,
, Demand,,,,,,
, Competitor's price,,,,,,
, All of the Above,,,,,,
,,,,,,,
,"Generally, the lower threshold for price is determined by:",A,M,Theory,Single choice,Marketing::Pricing:,
, Cost,,,,,,
, Demand,,,,,,
, Competitor's price,,,,,,
, All of the Above,,,,,,
,,,,,,,
,The element of the marketing mix in which substantial improvements and cost savings can be made:,C,H,Theory,Single choice,Marketing::Mix:,
, Product,,,,,,
, Price,,,,,,
, Place,,,,,,
, Promotion,,,,,,
,,,,,,,
,Distribution involves:,C,E,Theory,Single choice,Marketing:Distribution: :,
, Moving goods and materials into the factory,,,,,,
, Through the factory and to the final consumer,,,,,,
, All of the above,,,,,,
, None of the Above,,,,,,
,,,,,,,
,The decision areas encompassed in the distribution element of the marketing mix are:,D,M,Theory,Single choice,Marketing:Distribution: :,
, Selection of distribution channels,,,,,,
, Determining the level of customer service,,,,,,
, The terms and conditions of distribution,,,,,,
, All of the Above,,,,,,
,,,,,,,
,"Generally, In many B2C markets products and brands have ____________ product life cycles",B,E,Theory,Single choice,Marketing:B2C:B2B:,
, Standard,,,,,,
, Short,,,,,,
, Long,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"In B2C markets, advertising will generally be aimed at the mass market and will tend to stress:",A,M,Theory,Single choice,Marketing:B2C:B2B:,
, Brand Image,,,,,,
, Price,,,,,,
, Detailed Factual Messages,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"At the product level, two major marketing considerations are the ____________ and the _______________.",C,H,Theory,Single choice,Marketing:Target Market:Product:,
," price, choice of target market",,,,,,
," creation of a differential advantage, price",,,,,,
," choice of target market, creation of differential advantage",,,,,,
," price, size of the product",,,,,,
,,,,,,,
,Which of the following is not a strategic marketing objective:,D,M,Theory,Single choice,Marketing:Strategy::,
, Build,,,,,,
, Hold,,,,,,
, Harvest,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Objectives that the selling function is expected to achieve are typically defined in terms of the following:,D,M,Theory,Single choice,Marketing:Sales: :,
, Profitability,,,,,,
, Service Levels,,,,,,
, Salesforce Costs,,,,,,
, All of the Above,,,,,,
,,,,,,,
,"What is the correct order of Selling Process?
  A) Measuring results against standards
  B) Organizing for action
  C) Setting Objectives
  D) Implementing
  E) Determining operations necessary to meet objectives
  F) Re-evaluating and controlling",A,M,Theory,Single choice,Marketing:Sales: :,
, C -> E -> B -> D -> A -> F,,,,,,
, C -> F -> B -> E -> A -> D,,,,,,
, C -> E -> D -> B -> A -> F,,,,,,
, C -> B -> E -> F -> A -> D,,,,,,
,,,,,,,
,"In which demand state, consumers dislike the product and may even pay to avoid it?",B,M,Theory,Single choice,Marketing:Demand: :,
, Non-existent demand,,,,,,
, Negative demand,,,,,,
, Declining demand,,,,,,
, Latent demand,,,,,,
,,,,,,,
,"In which demand state, consumers may be unaware of or uninterested in the product?",A,M,Theory,Single choice,Marketing:Demand: :,
, Non-existent demand,,,,,,
, Negative demand,,,,,,
, Declining demand,,,,,,
, Latent demand,,,,,,
,,,,,,,
,"In which demand state, consumers may share a strong need that cannot be satisfied by an existing product?",D,M,Theory,Single choice,Marketing:Demand: :Demand state,
, Non-existent demand,,,,,,
, Negative demand,,,,,,
, Declining demand,,,,,,
, Latent demand,,,,,,
,,,,,,,
,"In which demand state, consumers begin to buy the product less frequently or not at all?",C,M,Theory,Single choice,Marketing:Demand: :Demand state,
, Non-existent demand,,,,,,
, Negative demand,,,,,,
, Declining demand,,,,,,
, Latent demand,,,,,,
,,,,,,,
,"In which demand state, consumer purchases vary on a seasonal, monthly, weekly, daily, or even hourly basis?",A,M,Theory,Single choice,Marketing:Demand: :Demand state,
, Irregular demand,,,,,,
, Full demand,,,,,,
, Overfull demand,,,,,,
, Unwholesome demand,,,,,,
,,,,,,,
,"In which demand state, consumers are adequately buying all products put into the marketplace?",B,M,Theory,Single choice,Marketing:Demand: :Demand state,
, Irregular demand,,,,,,
, Full demand,,,,,,
, Overfull demand,,,,,,
, Unwholesome demand,,,,,,
,,,,,,,
,"In which demand state, consumers may be attracted to products that have undesirable social consequences?",D,M,Theory,Single choice,:::,
, Irregular demand,,,,,,
, Full demand,,,,,,
, Overfull demand,,,,,,
, Unwholesome demand,,,,,,
,,,,,,,
,"In which demand state, more consumers would like to buy the product than can be satisfied?",C,M,Theory,Single choice,Marketing:Demand: :Demand state,
, Irregular demand,,,,,,
, Full demand,,,,,,
, Overfull demand,,,,,,
, Unwholesome demand,,,,,,
,,,,,,,
,"Customer markets which focus on estabilishing a strong brand image by developing a superior product and packaging, ensuring its availability, and backing it with engaging communications and reliable service are called:",A,M,Theory,Single choice,Marketing:Brand:Consumer:Markets,
, Consumer Markets,,,,,,
, Business Markets,,,,,,
, Global Markets,,,,,,
, Non-profit and Governmental Markets,,,,,,
,,,,,,,
,"Companies selling these goods and services often face well-informed professional buyers skilled at evaluating competitive offerings. marketers must demonstrate how their products will help achieve higher revenue or lower costs. Advertising can play a role, but the sales force, the price, and the company’s reputation may play a greater one. Which market is being talked about?",B,H,Theory,Single choice,Marketing:Brand:Consumer:Markets,
, Consumer Markets,,,,,,
, Business Markets,,,,,,
, Global Markets,,,,,,
, Non-profit and Governmental Markets,,,,,,
,,,,,,,
,"Companies selling to such markets must price the goods carefully (limited purchasing power), though lower selling prices affect the features and quality the seller can build into the offering. Which market is being talked about?",D,M,Theory,Single choice,Marketing:Brand:Consumer:Markets,
, Consumer Markets,,,,,,
, Business Markets,,,,,,
, Global Markets,,,,,,
, Non-profit and Governmental Markets,,,,,,
,,,,,,,
,"The ___________ is physical, such as a store you shop in.",A,M,Theory,Single choice,Marketing:Market:Space:Place,
, Marketplace,,,,,,
, Marketspace,,,,,,
, Metamarket,,,,,,
, Metamediary,,,,,,
,,,,,,,
,"The __________ is digital, as when you shop on the Internet.",B,M,Theory,Single choice,Marketing:Market:Space:Place,
, Marketplace,,,,,,
, Marketspace,,,,,,
, Metamarket,,,,,,
, Metamediary,,,,,,
,,,,,,,
,"The concept of a ___________ is to describe a cluster of complementary products and services closely related in the minds of consumers, but spread across a diverse set of industries.",C,M,Theory,Single choice,Marketing:Market:Space:Place,
, Marketplace,,,,,,
, Marketspace,,,,,,
, Metamarket,,,,,,
, Metamediary,,,,,,
,,,,,,,
,"____________ are also referred to as middlemen or third-party providers. Basically, they are a netcentric companies that provide goods and services.",D,M,Theory,Single choice,Marketing:Market:Space:Place,
, Marketplaces,,,,,,
, Marketspaces,,,,,,
, Metamarkets,,,,,,
, Metamediaries,,,,,,
,,,,,,,
,Terms & conditions' form a part of which of the 4Ps of marketing?,B,H,Theory,Single choice,Marketing::Price:,
, Product,,,,,,
, Price,,,,,,
, Promotion,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"In the Introduction phase of Product Life Cycle, which of the following attributes should be emphasized upon?",C,H,Theory,Single choice,Marketing:Product:Life cycle:,
, Price,,,,,,
, Cash Inflows,,,,,,
, Market Estabilishment,,,,,,
, Market Segmentation,,,,,,
,,,,,,,
,Packaging' does not comprise of:,D,H,Theory,Single choice,Marketing:Packaging::,
, Containers,,,,,,
, Wrappers,,,,,,
, Cartoons,,,,,,
, Usage Instructions,,,,,,
,,,,,,,
,SME means:,A,E,Theory,Single choice,Marketing:SME::,
, Small and Medium Enterprises,,,,,,
, Small scale Marketing Entities,,,,,,
, Small & Medium Establishments,,,,,,
, None of the Above,,,,,,
,,,,,,,
,The customer wants an inexpensive car. What type of need is this?,A,M,Theory,Single choice,Marketing:Needs:Types of Needs:Types,
, Stated,,,,,,
, Real,,,,,,
, Unstated,,,,,,
, Delight,,,,,,
,,,,,,,
,"The customer wants a car whose operating cost, not initial price, is low. What type of need is this?",B,M,Theory,Single choice,Marketing:Needs:Types of Needs:Types,
, Stated,,,,,,
, Real,,,,,,
, Unstated,,,,,,
, Delight,,,,,,
,,,,,,,
,The customer expects good service from the dealer. What type of need is this?,C,M,Theory,Single choice,Marketing:Needs:Types of Needs:Types,
, Stated,,,,,,
, Real,,,,,,
, Unstated,,,,,,
, Delight,,,,,,
,,,,,,,
,The customer would like the dealer to include an onboard GPS navigation system. What type of need is this?,D,M,Theory,Single choice,Marketing:Needs:Types of Needs:Types,
, Stated,,,,,,
, Real,,,,,,
, Unstated,,,,,,
, Delight,,,,,,
,,,,,,,
,The customer wants friends to see him or her as a savvy consumer. What type of need is this?,B,M,Theory,Single choice,Marketing:Needs:Types of Needs:Types,
, Stated,,,,,,
, Secret,,,,,,
, Unstated,,,,,,
, Delight,,,,,,
,,,,,,,
,Customer value triad comprises of:,A,M,Theory,Single choice,Marketing:Needs:Value:Customer,
," Quality, Service, Price",,,,,,
," Quality, Service, Value",,,,,,
," Value, Service, Price",,,,,,
," Quality, Value, Price",,,,,,
,,,,,,,
,The newest addition to the external audit i.e. analysis of broad macro-environment trends includes:,C,H,Theory,Single choice,Marketing:External:MacroEconomic:,
, Economic factors,,,,,,
, Environmental factors,,,,,,
, Ecological factors,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"Which marketing channel deliver and receive messages from target buyers and include newspapers, magazines, radio, television, mail, telephone, billboards, posters, fliers, CDs, audiotapes, and the Internet?",A,E,Theory,Single choice,Marketing:Channels: :,
, Communication channel,,,,,,
, Distribution channel,,,,,,
, Service channel,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"Which marketing channel is used to display, sell, or deliver the physical product or service(s) to the buyer or user?",B,M,Theory,Single choice,Marketing:Channels: :,
, Communication channel,,,,,,
, Distribution channel,,,,,,
, Service channel,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"Which marketing channel include warehouses, transportation companies, banks, and insurance companies?",C,H,Theory,Single choice,Marketing:Channels: :,
, Communication channel,,,,,,
, Distribution channel,,,,,,
, Service channel,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"__________ environment includes the actors engaged in producing, distributing, and promoting the offering.",C,M,Theory,Single choice,Marketing:Channels: :,
, Distribution,,,,,,
, Broad,,,,,,
, Task,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"__________ environment consists of six components: demographic environment, economic environment, social-cultural environment, natural environment, technological environment, and political- legal environment.",B,M,Theory,Single choice,Marketing:Environment::,
, Task,,,,,,
, Broad,,,,,,
, Distribution,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"What is the correct order of Marketing Planning Process?
  A) Managing the Marketing Effort
  B) Developing Marketing Programs
  C) Analyzing Marketing Opportunities
  D) Designing Marketing Strategies
  E) Selecting Target Markets
  F) Re-evaluating and controlling",C,H,Theory,Single choice,Marketing:Planning::,
, C -> E -> B -> D -> A,,,,,,
, C -> B -> E -> A -> D,,,,,,
, C -> E -> D -> B -> A,,,,,,
, C -> B -> E -> A -> D,,,,,,
,,,,,,,
,The concept which holds that consumers prefer products that are widely available and inexpensive?,A,M,Theory,Single choice,Marketing:Concumer::,
, Production,,,,,,
, Product,,,,,,
, Selling,,,,,,
, Marketing,,,,,,
,,,,,,,
,"The concept which proposes that consumers favor products offering the most quality, performance, or innovative features?",B,M,Theory,Single choice,:::,
, Production,,,,,,
, Product,,,,,,
, Selling,,,,,,
, Marketing,,,,,,
,,,,,,,
,The concept which is practiced most aggressively with unsought goods—goods buyers don’t normally think of buying such as insurance and cemetery plots?,C,M,Theory,Single choice,Marketing:Consumer:Selling:Concepts,
, Production,,,,,,
, Product,,,,,,
, Selling,,,,,,
, Marketing,,,,,,
,,,,,,,
,"The concept which is customer-centered, sense-and-respond philosophy?",D,M,Theory,Single choice,Marketing:Consumer:Selling:Concepts,
, Production,,,,,,
, Product,,,,,,
, Selling,,,,,,
, Marketing,,,,,,
,,,,,,,
,"The concept which is based on the development, design, and implementation of marketing programs, processes, and activities that recognize their breadth and interdependencies?",D,M,Theory,Single choice,Marketing:Consumer:Selling:Concepts,
, Production,,,,,,
, Product,,,,,,
, Marketing,,,,,,
, Holistic Marketing,,,,,,
,,,,,,,
,"The dimension of holistic marketing which is focused on sales revenue, ethics, environment, brand & customer equity is:",C,H,Theory,Single choice,Marketing:Consumer:Dimensions:Types of marketing,
, Internal Marketing,,,,,,
, Integrated Marketing,,,,,,
, Performance Marketing,,,,,,
, Relationship Marketing,,,,,,
,,,,,,,
,"The dimension of holistic marketing which is focused on customers, channels, partners is:",D,H,Theory,Single choice,Marketing:Consumer:Dimensions:Types of marketing,
, Internal Marketing,,,,,,
, Integrated Marketing,,,,,,
, Performance Marketing,,,,,,
, Relationship Marketing,,,,,,
,,,,,,,
,"The dimension of holistic marketing which is focused on communications, product & services, channels is:",B,H,Theory,Single choice,Marketing:Consumer:Dimensions:Types of marketing,
, Internal Marketing,,,,,,
, Integrated Marketing,,,,,,
, Performance Marketing,,,,,,
, Relationship Marketing,,,,,,
,,,,,,,
,"The dimension of holistic marketing which is focused on senior management, marketing department and other departments is:",A,H,Theory,Single choice,Marketing:Consumer:Dimensions:Types of marketing,
, Internal Marketing,,,,,,
, Integrated Marketing,,,,,,
, Performance Marketing,,,,,,
, Relationship Marketing,,,,,,
,,,,,,,
,Which of the following are undertaken by the R&D department:,D,H,Theory,Single choice,Marketing:GK::,
, They spend time meeting customers and listening to their problems.,,,,,,
, They benchmark competitors’ products and seek “best of class” solutions.,,,,,,
, They proactively search for the best suppliers.,,,,,,
, Both 1 & 2,,,,,,
,,,,,,,
,Which of the following aren't undertaken by the Purchasing department:,C,M,Theory,Single choice,Marketing:Sales: :Department,
, They proactively search for the best suppliers.,,,,,,
, They don’t compromise quality for price savings.,,,,,,
, They continuously improve and refine the product on the basis of market feedback.,,,,,,
," They build long-term relationships with fewer but more reliable, high-quality suppliers.",,,,,,
,,,,,,,
,Which of the following are undertaken by the Manufacturing department:,D,M,Theory,Single choice,Marketing:Sales: :Department,
, They invite customers to visit and tour their plants.,,,,,,
, They continuously search for ways to produce goods faster and/or at lower cost.,,,,,,
," They continuously improve product quality, aiming for zero defects.",,,,,,
, All of the Above,,,,,,
,,,,,,,
,Which of the following are undertaken by the Sales department:,A,H,Theory,Single choice,Marketing:Sales: :Department,
, They serve the same customers for a long period of time.,,,,,,
," They prepare invoices tailored to customer needs and answer customer queries courteously
  and quickly.",,,,,,
, They tailor the financial package to the customer’s financial requirements.,,,,,,
, They send out favorable news about the company and “damage control” unfavorable news.,,,,,,
,,,,,,,
,Which of the following are undertaken by the Marketing department:,D,M,Theory,Single choice,Marketing:Sales: :Department,
, They study customer needs and wants in well-defined market segments.,,,,,,
, They develop winning offers for each target segment.,,,,,,
," They continuously gather and evaluate ideas for new products, product improvements, and services.",,,,,,
, All of the Above,,,,,,
,,,,,,,
,Which of the following are undertaken by the Logistics department:,B,M,Theory,Single choice,Marketing:Sales: :Department,
, They make quick decisions on customer creditworthiness.,,,,,,
, They set a high standard for service delivery time and meet this standard consistently.,,,,,,
, They send out favorable news about the company and “damage control” unfavorable news.,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Which of the following are undertaken by the Accounting department:,C,M,Theory,Single choice,Marketing:Sales: :Department,
, They send out favorable news about the company and “damage control” unfavorable news.,,,,,,
, They strive to give the customer “the best solution.”,,,,,,
, They prepare invoices tailored to customer needs and answer customer queries courteously and quickly.,,,,,,
, They tailor the financial package to the customer’s financial requirements.,,,,,,
,,,,,,,
,Which of the following are not undertaken by the Finance department:,A,M,Theory,Single choice,Marketing:Sales: :Department,
, They act as an internal customer and public advocate for better company policies and practices.,,,,,,
," They understand and support marketing expenditures (e.g., image advertising) that produce long-term customer preference and loyalty.",,,,,,
, They tailor the financial package to the customer’s financial requirements.,,,,,,
, They make quick decisions on customer creditworthiness.,,,,,,
,,,,,,,
,Which of the following are undertaken by the Public Relations department:,D,M,Theory,Single choice,:::,
, They measure company image and customer satisfaction on a continuous basis.,,,,,,
, They send out favorable news about the company and “damage control” unfavorable news.,,,,,,
, They act as an internal customer and public advocate for better company policies and practices.,,,,,,
, Both 2 & 3,,,,,,
,,,,,,,
,Which of the following corporate social initiativies involve supporting behavior change campaigns?,B,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Corporate social marketing,,,,,,
, Corporate philanthropy,,,,,,
, Socially responsible business practices,,,,,,
,,,,,,,
,"Which of the following corporate social initiativies involve promoting social issues through efforts such as sponsorships, licensing agreements, and advertising?",A,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Corporate social marketing,,,,,,
, Corporate philanthropy,,,,,,
, Socially responsible business practices,,,,,,
,,,,,,,
,Which of the following corporate social initiativies involve donating a percentage of revenues to a specific cause based on the revenue occurring during the announced period of support?,B,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Cause related marketing,,,,,,
, Corporate philanthropy,,,,,,
, Socially responsible business practices,,,,,,
,,,,,,,
,"Which of the following corporate social initiativies involve making gifts of money, goods, or time to help nonprofit organizations, groups, or individuals?",C,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Cause related marketing,,,,,,
, Corporate philanthropy,,,,,,
, Socially responsible business practices,,,,,,
,,,,,,,
,Which of the following corporate social initiativies involve providing in-kind or volunteer services in the community?,D,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Cause related marketing,,,,,,
, Corporate philanthropy,,,,,,
, Corporate community involvement,,,,,,
,,,,,,,
,Which of the following corporate social initiativies involve adapting and conducting business practices that protect the environment and human and animal rights?,B,H,Theory,Single choice,Marketing:Campaigns: :CSR,
, Cause marketing,,,,,,
, Socially responsible business practices,,,,,,
, Corporate philanthropy,,,,,,
, Corporate community involvement,,,,,,
,,,,,,,
,GOSPA is a corporate performance management process that implements and produces measurable results. What does 'P' in GOSPA stand for?,C,H,Theory,Single choice,Marketing:Process:Performance Managemennt:,
, Program,,,,,,
, Process,,,,,,
, Plan,,,,,,
, People,,,,,,
,,,,,,,
,Who proposed the value chain as a tool for identifying ways to create more customer value?,A,H,Theory,Single choice,Marketing:GK::,
, Michael Porter,,,,,,
, Philip Kotler,,,,,,
, James Mccarthy,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Which of the following form a part of the primary activities of the value chain?,D,H,Theory,Single choice,Marketing:Value chain:Activities:Primary,
, procurement,,,,,,
, technology development,,,,,,
, human resource management,,,,,,
, inbound logistics,,,,,,
,,,,,,,
,Which of the following form a part of the support activities of the value chain?,D,H,Theory,Single choice,Marketing:Value chain:Activities:Primary,
, procurement,,,,,,
, technology development,,,,,,
, human resource management,,,,,,
, All of the Above,,,,,,
,,,,,,,
,The core business process involving all the activities in gathering and acting upon information about the market:,A,M,Theory,Single choice,Marketing:Business Process: :Activities,
, Market-sensing process,,,,,,
, New-offering realization process,,,,,,
, Customer acquisition process,,,,,,
, Customer relationship management process,,,,,,
,,,,,,,
,"The core business process involving all the activities in researching, developing, and launching new high-quality offerings quickly and within budget:",B,M,Theory,Single choice,Marketing:Business Process: :Activities,
, Market-sensing process,,,,,,
, New-offering realization process,,,,,,
, Customer acquisition process,,,,,,
, Customer relationship management process,,,,,,
,,,,,,,
,The core business process involving all the activities in defining target markets and prospecting for new customers:,C,M,Theory,Single choice,Marketing:Business Process: :Activities,
, Market-sensing process,,,,,,
, New-offering realization process,,,,,,
, Customer acquisition process,,,,,,
, Customer relationship management process,,,,,,
,,,,,,,
,"The core business process involving all the activities in building deeper understanding, relationships, and offerings to individual customers:",D,M,Theory,Single choice,Marketing:Business Process: :Activities,
, Market-sensing process,,,,,,
, New-offering realization process,,,,,,
, Customer acquisition process,,,,,,
, Customer relationship management process,,,,,,
,,,,,,,
,"The core business process involving all the activities in receiving and approving orders, shipping the goods on time, and collecting payment:",C,M,Theory,Single choice,Marketing:Business Process: :Activities,
, Market-sensing process,,,,,,
, New-offering realization process,,,,,,
, Fulfillment management process,,,,,,
, Customer relationship management process,,,,,,
,,,,,,,
,SBU means:,B,E,Theory,Single choice,Marketing:Business Process: :SBU,
, Small Business Units,,,,,,
, Strategic Business Units,,,,,,
, Small scale Business Units,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Strategy used to gain more market share with its current products in their current markets is called:,A,E,Theory,Single choice,Marketing:Strategy:Penetration:Diversififcation,
, Market-penetration,,,,,,
, Market development,,,,,,
, Product development,,,,,,
, Diversification,,,,,,
,,,,,,,
,Strategy used to find or develop new markets for its current productss is called:,B,E,Theory,Single choice,Marketing:Strategy:Penetration:Diversififcation,
, Market-penetration,,,,,,
, Market development,,,,,,
, Product development,,,,,,
, Diversification,,,,,,
,,,,,,,
,Strategy used to develop new products of potential interest to its current markets is called:,C,E,Theory,Single choice,Marketing:Strategy:Penetration:Diversififcation,
, Market-penetration,,,,,,
, Market development,,,,,,
, Product development,,,,,,
, Diversification,,,,,,
,,,,,,,
,Strategy where firm will review opportunities to develop new products for new markets is called:,D,E,Theory,Single choice,Marketing:Strategy:Penetration:Diversififcation,
, Market-penetration,,,,,,
, Market development,,,,,,
, Product development,,,,,,
, Diversification,,,,,,
,,,,,,,
