,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,political announcements,,,,,,
,corporate aid,,,,,,
,news leaks,,,,,,
,,,,,,,
,A publicity stunt is an example of which PR strategy?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Crisis Management,,,,,,
,lobbying,,,,,,
,community,,,,,,
,News Management,,,,,,
,,,,,,,
,"A ______________ is a specific type of leak, in which the source reveals that some major policy is being considered",C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Disclosure,,,,,,
,News Hook,,,,,,
,Trial Baloon,,,,,,
,exclusive,,,,,,
,,,,,,,
,The primary activities of PR practitioners include,A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,"research, counseling, and communication",,,,,,
,"advertising, counseling, and fundraising",,,,,,
,"writing, speaking, and organizing",,,,,,
,All of the above,,,,,,
,,,,,,,
,The main goal of early press agentry was to,B,H,Theory,Single Choice,Marketing: Advertising : Public Relations,
,impress upon the public the importance of publicity,,,,,,
,use hype to generate publicity for clients,,,,,,
,resolve scandals by being as truthful as possible with the public,,,,,,
,make corporate clients appear to be interested in social responsibility,,,,,,
,,,,,,,
,Public relations people who use video news releases take advantage of the fact that,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,the reporters hired to make them have many industry contacts,,,,,,
,many news organizations don't review them before broadcasting,,,,,,
,their production values may be better than those of local stations,,,,,,
,they can cover stories some local news operations aren't able to,,,,,,
,,,,,,,
,"Jayadip, a sales person from Toyota develops a list of potential customers and evaluates them on the basis of their ability, willingness, and authority to purchase Etios. This process is called __________.",C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Sales Preparation,,,,,,
,Segmentation,,,,,,
,Prospecting,,,,,,
,Customer Search,,,,,,
,,,,,,,
,A ___________ audit is used to assess a company's image among the organization’s publics or to evaluate the effect of a specific program.,A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Public Relations,,,,,,
,Networking,,,,,,
,Social,,,,,,
,Image,,,,,,
,,,,,,,
,In many instances the MOST appropriate way to cope with a negative event that may lead to negative publicity is to __________,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Discourage news coverage of the event,,,,,,
,Encourage news Coverage,,,,,,
,Ignore the issue and highlight positives,,,,,,
,Go to the Court,,,,,,
,,,,,,,
,What are the three basic elements of the FTC’s current policy determining whether or not an ad is deceptive?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,"Injury, not avoidable, material",,,,,,
,"Misleading, reasonable consumer, material",,,,,,
,"Misleading, material representation, omission",,,,,,
,"Injury, probable consumer, misleading",,,,,,
,,,,,,,
,Point-of-purchase displays accomplish which of the following for retailers?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Extend the amount of time consumers spend in the store,,,,,,
,Reinforce the brand image,,,,,,
,Encourage consumers to switch brands,,,,,,
,Deliver useful information and simplify the consumer shopping process,,,,,,
,,,,,,,
,"What involves marketing communication investments for the purpose of
 achieving different corporate objectives.",B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Objective PR,,,,,,
,Sponsorship,,,,,,
,Integrated Marketing Communication,,,,,,
,Advertising,,,,,,
,,,,,,,
,`Which among the following do not form a part of Marketing Public Relations?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Planning against Competitive Initiatives,,,,,,
,Creating brand equity,,,,,,
,Creating Brand Awareness,,,,,,
,Reaching Purchase influentials,,,,,,
,,,,,,,
,What characteristic of a completed promotion program is best assessed by determining the total units of the promoted items that were sold during the promotion period?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Efficiency,,,,,,
,Expense,,,,,,
,Effectiveness,,,,,,
,Ease of execution,,,,,,
,,,,,,,
,"Promotion mix includes Sales Promotion, Personal Selling, Advertising and",A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Publicity,,,,,,
,Marketing,,,,,,
,Sales,,,,,,
,None of the above,,,,,,
,,,,,,,
,___________ media can give 24 hour exposure to the public eye.,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Television,,,,,,
,Print,,,,,,
,Internet,,,,,,
,Flex Board,,,,,,
,,,,,,,
,Purchasing space in media is called?,D,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Media Scheduling,,,,,,
,Media Spacing,,,,,,
,Media Buying,,,,,,
,Media Purchasing,,,,,,
,,,,,,,
,"If a company gives false message to the customers, it is known as",A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Deception,,,,,,
,Sublimal Ads,,,,,,
,Obcene Ads,,,,,,
,None of the above,,,,,,
,,,,,,,
,"What is the plan that show time, place and date of an advertisement called?",C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Media Plan,,,,,,
,Media Space,,,,,,
,Media Schedule,,,,,,
,Media Time,,,,,,
,,,,,,,
,If there are a series of advertisement messages sharing the same theme. What are they called??,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Ad Clusters,,,,,,
,Ad Campaigns,,,,,,
,Ad group,,,,,,
,Ad series,,,,,,
,,,,,,,
,______________ are also called Point-of -Purchase Ads.,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Stock Advertising,,,,,,
,In-store Advertising,,,,,,
,Spontaneous Advertising,,,,,,
,Ready Advertising,,,,,,
,,,,,,,
,What is the process of craeing an image among the target focus group called?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Advertising,,,,,,
,Branding,,,,,,
,Positioning,,,,,,
,Marketing,,,,,,
,,,,,,,
,What is the specific carrier within a medium called?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Media Carrer,,,,,,
,Media Bus,,,,,,
,Media Vehicle,,,,,,
,Media Van,,,,,,
,,,,,,,
,Which is not a mechanical Test among the Following?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Camera Test,,,,,,
,Consumer Dairy test,,,,,,
,Psychogalvanometer,,,,,,
,Techistoscope,,,,,,
,,,,,,,
,When was the first advertisement for Apple Released?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,1988,,,,,,
,1984,,,,,,
,1999,,,,,,
,1992,,,,,,
,,,,,,,
,Which of the following is more of personal medium of advertisement?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Internet Advertisement,,,,,,
,Direct Mail Advertising,,,,,,
,Broadcast Media,,,,,,
,Print Media,,,,,,
,,,,,,,
,Selection of most appropriate cost-effective medium in advertisement is,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Media Selection,,,,,,
,Media Scheduling,,,,,,
,Media Buying,,,,,,
,None of the abvee,,,,,,
,,,,,,,
,_________ is direct communications with carefully targeted individual consumers to obtain an,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Public Relations,,,,,,
,Direct Marketing,,,,,,
,Sales Promotion,,,,,,
,Personal Selling,,,,,,
,,,,,,,
,One problem with in- or on-package sampling is that it,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,excludes customers who do not buy the carrying brand,,,,,,
,does not reach the best potential customers,,,,,,
,does not reach the best potential customers,,,,,,
,is more expensive than other sampling methods,,,,,,
,,,,,,,
,What is a distinguishing feature of yellow page advertising?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Their black-on-yellow ads,,,,,,
,The limits on possible creative executions,,,,,,
,The limit on full color ads,,,,,,
,Their flexible purchasing plans,,,,,,
,,,,,,,
,Which is not true about Sales Promotions?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Create Long-term effects,,,,,,
,Entail incentives,,,,,,
,End user consumers are encouraged,,,,,,
,Supplemets other macro functions,,,,,,
,,,,,,,
,Which of the following promotional forms is often described as being too impersonal and only a one-way communication form?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Public Relations,,,,,,
,Advertising,,,,,,
,Personal Selling,,,,,,
,Sales promotions,,,,,,
,,,,,,,
,A __________ is a promotion strategy that calls for using the sales force and trade promotion to move the product through channels.,B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Pull Strategy,,,,,,
,Push Strategy,,,,,,
,Integrated Strategy,,,,,,
,None of the abve,,,,,,
,,,,,,,
,"If a company wants to build a good “corporate image,” it will probably use which of the following marketing communications mix tools?",D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Sales Promotion,,,,,,
,Advertising,,,,,,
,Direct Marketing,,,,,,
,Public Relations,,,,,,
,,,,,,,
,Which tool of the promotional mix consists of short-term incentives to encourage the purchase or sale of a product or service?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,sales promotion,,,,,,
,public relations,,,,,,
,advertising,,,,,,
,direct marketing,,,,,,
,,,,,,,
,Which relates to an Advertising Agency the best?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Independent organization of creative people for advertisement and promotional tools,,,,,,
,Dependent organization of creative people for advertisement and promotional tools,,,,,,
,Dependent organization of creative people for advertisement but not promotional tools,,,,,,
,Independent organization of creative people for advertisement but not promotional tools,,,,,,
,,,,,,,
,Which of the following strategies is usually followed by B2C companies with respect to promotion strategy?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Blocking strategy,,,,,,
,Push strategy,,,,,,
,Integrated strategy,,,,,,
,Pull strategy,,,,,,
,,,,,,,
,Marketing management must make four important decisions when developing an advertising program. All of the following would be among those decisions EXCEPT:,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Conducting advertising culture audit,,,,,,
,Setting advertising objectives.,,,,,,
,Setting the advertising budget.,,,,,,
,Developing advertising strategy,,,,,,
,,,,,,,
,Set advertising objectives : is the ______________________ step in an Advertising Program,C,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,3rd,,,,,,
,2nd,,,,,,
,1st,,,,,,
,Not a step,,,,,,
,,,,,,,
,A specific communication task to be accomplished with a specific target audience during a specific period of time is called an:,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Advertising evaluation.,,,,,,
,Advertising criterion.,,,,,,
,Advertising campaign.,,,,,,
,Advertising objective.,,,,,,
,,,,,,,
,"A company's total marketing communications mix consists of a special blend of advertising, sales promotion, public relations, personal selling, and direct-marketing tools that the company uses to communicate customer value and build customer relationships. This is also called ________.",D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Integrated Marketing,,,,,,
,Direct Marketing,,,,,,
,Competition Marketing,,,,,,
,Promotion Mix,,,,,,
,,,,,,,
,Which of the following is not an aspect of the promotion mix?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Advertising,,,,,,
,Direct Marketing,,,,,,
,Public Relations,,,,,,
,Srtrategic Positioning,,,,,,
,,,,,,,
,All of the following are reasons that marketers are losing confidence in television advertising except ________.,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,younger consumers are using different media,,,,,,
,television offers a high cost per exposure,,,,,,
,mass media costs continue to increase,,,,,,
,audience size is on the decline,,,,,,
,,,,,,,
,What does BOGOFF stand for?,A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Buy One Get One For Free.,,,,,,
,Beginning of Great Offer.,,,,,,
,Bought on Good Offers,,,,,,
,None of the above,,,,,,
,,,,,,,
,All of the following would be major sales force management decision steps (as shown in the model in the text) EXCEPT:,A,H,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Global management and marketing structures,,,,,,
,Designing sales force strategy and structure.,,,,,,
,Recruiting and selecting salespeople.,,,,,,
,Supervising salespeople.,,,,,,
,,,,,,,
,"With the use of integrated marketing communications, a company's mass-market advertisements, Web site, email, and personal selling communications all have ________.",D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,equal portions of the advertising budget,,,,,,
,independent communications directorsz,,,,,,
,separate marketing objectives,,,,,,
,"the same message, look, and feel",,,,,,
,,,,,,,
,"Which of the following qualifies as advertising, according to the definition given by the American Marketing Association?",A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,television commercials for products,,,,,,
,product placement in movies and television,,,,,,
,designers' name and logo on clothing,,,,,,
,All of the above,,,,,,
,,,,,,,
,"In the late 1800's, _______________, which had a business message on one side and artwork on the other were given out at the counters of department stores.",D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Trade Ads,,,,,,
,Hand Bills,,,,,,
,Display ads,,,,,,
,trade cards,,,,,,
,,,,,,,
,"The term ""circulation waste"" refers to",A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,circulation of ads that are not well received or effective,,,,,,
,advertising that interests more consumers than the advertiser is prepared to sell to,,,,,,
,more advertising than is necessary to reach a targeted market,,,,,,
,advertising that is received by people whom the advertisers has no interest in reaching,,,,,,
,,,,,,,
,Which type of ad agency is built into the product manufacturer's corporate structure?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,boutique agency,,,,,,
,full service agency,,,,,,
,in-house agency,,,,,,
,All of the Above,,,,,,
,,,,,,,
,Which of the following belongs to Print Advertising?,D,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Periodical,,,,,,
,Direct Mail,,,,,,
,Flyers,,,,,,
,All of the Above,,,,,,
,,,,,,,
,Any type of advertising that reaches the consumer when he or she is outside of the home is called?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Guerilla Advertising,,,,,,
,Outdoor Advertising,,,,,,
,Visible Advertising,,,,,,
,Broadcast Advertising,,,,,,
,,,,,,,
,"What type of advertising is this? If you have ever seen a movie and wondered ""wow, they sure are driving a lot of Ford cars in this scene,"" or ""does everyone in this TV show drink Pepsi?""",B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Outdoor,,,,,,
,Product Placement Advertising,,,,,,
,Indirect Advertising,,,,,,
,Broadcast Advertising,,,,,,
,,,,,,,
,Companies use product advertising when they want to:,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,introduce new products,,,,,,
,announce changes to existing products,,,,,,
,increase sales of those products,,,,,,
,All of the above,,,,,,
,,,,,,,
,Which is an example for a response mechanism?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,reply coupon,,,,,,
,telephone number,,,,,,
,email address,,,,,,
,All of the above,,,,,,
,,,,,,,
,An ad first shown during a Super Bowl broadcast for a product called HeadOn remains the classic example of this advertising technique Identify,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Repetition,,,,,,
,Product Advertising,,,,,,
,Broadcasting,,,,,,
,Fianacial Advertising,,,,,,
,,,,,,,
,"Any paid form of promotion of services, goods or ideas and non-personal presentation by an identified sponsor can be stated as",B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Sales promotion,,,,,,
,Advertising,,,,,,
,Publicity,,,,,,
,Public Relations,,,,,,
,,,,,,,
,Pride appeal is which type of appeal?,A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Informative,,,,,,
,Rational,,,,,,
,Non-Informational,,,,,,
,Emotional,,,,,,
,,,,,,,
,Which among the following is a hidden type of advertisement?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Comparitive,,,,,,
,Surrogating,,,,,,
,Concealing,,,,,,
,Competitive,,,,,,
,,,,,,,
,Which among the following is an Advertising Objective?,C,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,To persuade,,,,,,
,To create Humour,,,,,,
,To Entertain,,,,,,
,To increase goodwill,,,,,,
,,,,,,,
,Which among the following is not an advertising agency?,D,H,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Out house Agency,,,,,,
,In house Agency,,,,,,
,Creative Boutique,,,,,,
,La Carte Agency,,,,,,
,,,,,,,
,Who is the Father of Modern Advertising?,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Thomas J. Baratt,,,,,,
,Kelvin Flukes,,,,,,
,Volney B.Palmer,,,,,,
,None of the above,,,,,,
,,,,,,,
,Find the one which is not a traditional Broadcast media from the following:,C,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Television,,,,,,
,Radio,,,,,,
,Internet,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following can be said to have a rational appeal?,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Price,,,,,,
,Quality,,,,,,
,Feature,,,,,,
,Brand,,,,,,
,,,,,,,
,Which of the followingis not a current development in Advertising?,B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Brand Advertising,,,,,,
,Newspaper,,,,,,
,Political Advertising,,,,,,
,None of the above,,,,,,
,,,,,,,
,Envelope Enclosure belong to what type of Advertising?,A,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Outdoor Media,,,,,,
,Indoor Media,,,,,,
,Internet,,,,,,
,Direct Advertising,,,,,,
,,,,,,,
,Find the form of direct advertising media from the following:,B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Newspapers,,,,,,
,Catalogues,,,,,,
,Magazines,,,,,,
,Radio,,,,,,
,,,,,,,
,Which among the following is the ODD one out.,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Neon Sign,,,,,,
,Sandwichner,,,,,,
,Vehicular Advertising,,,,,,
,Television,,,,,,
,,,,,,,
,Which among the following is not an objective of Advertising?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Informative,,,,,,
,Brand Switch,,,,,,
,Generic,,,,,,
,Persuasive,,,,,,
,,,,,,,
,Particular communication that must be achieved within definite target audience within specific time is classified as,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Message Decision,,,,,,
,Advertising Objective,,,,,,
,Advertising Evaluation,,,,,,
,Media Decision,,,,,,
,,,,,,,
,Possible objectives of advertising include,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Persuasive Advertising,,,,,,
,Reminder Advertising,,,,,,
,Specific Advertising,,,,,,
,All of the Above,,,,,,
,,,,,,,
,"The approach of a message execution that follows a format of style, tone, words and format to execute message of advertising is classified as",C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Rational,,,,,,
,Creative,,,,,,
,Execution,,,,,,
,Persuasive,,,,,,
,,,,,,,
,"What type of Advertising is it? In a film, the main character can use an item or other of a definite brand, as in the movie Minority Report, where Tom Cruise's character John Anderton owns a phone with the Nokia logo clearly written in the top corner, or his watch engraved with the Bulgari logo",B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Embedded,,,,,,
,Covert,,,,,,
,Hidden,,,,,,
,Surrogate,,,,,,
,,,,,,,
,"What type of Advertising is it? In ""Fantastic Four: Rise of the Silver Surfer"", the main transport vehicle shows a large Dodge logo on the front. Blade Runner includes some of the most obvious product placement; the whole film stops to show a Coca-Cola billboard",B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Embedded,,,,,,
,Covert,,,,,,
,Hidden,,,,,,
,Surrogate,,,,,,
,,,,,,,
,"Advertising printed on small tangible items such as coffee mugs, T-shirts, pens, bags is:",A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Novelty Advertising,,,,,,
,Embedded Advertising,,,,,,
,Hidden Advertising,,,,,,
,Giftshop Advertising,,,,,,
,,,,,,,
,Unpaid Advertising is also called ?,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Hidden Advertising,,,,,,
,Direct Advertising,,,,,,
,Publicity Advertising,,,,,,
,None of the above,,,,,,
,,,,,,,
,True or False: Good companies always speaks first and performs later,B,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True of False Online advertising began with unsolicited bulk e-mail advertising known as ""e-mail spam""",A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Large scale production assumed by advertising enables the seller to sell products at a lower cost: True or False,A,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True of False: Advertising prepares necessary ground for a salesman to begin his workeffectively.,A,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False: Domain name advertising is most commonly done through pay per click web search engines, however, advertisers often lease space directly on domain names that generically describe their products",A,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"In ancient China, the earliest advertising known was oral. True or False",A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False? Advertising in the financial or business sections of newspapers and magazines can raise awareness of your company among analysts, shareholders, potential investors and advisers",A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False? Repetition is a simple yet effective technique used to build identity awareness and customer memory,A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False Product advertisements must reflect the interests of the target audience,A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False Prospects evaluate the company as well as the product when they are choosing a supplier,A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The promotion of branded goods and services within the context of a show or movie, rather than as an explicit advertisement is called Product Placement Advertising",A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False Direct mail can be a fantastic way to engage the customer, if it is creative and intelligently conceived and executed.",A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False PR is more than simply blitzing the media with your press releases.,A,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False Guerrilla Advertising is also called Ambient Media,B,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,FALSE,,,,,,
,TRUE,,,,,,
,,,,,,,
,"True or False Current trends in mobile advertising involve major use of social media such as Twitter, Instagram, Snapchat, and Facebook.",A,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,True or False Informative Advertising is used heavily when introducing a new product category.,B,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,FALSE,,,,,,
,TRUE,,,,,,
,,,,,,,
,News leaks are often planned to publicize information without attributions to a source.,A,E,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Greenwashing is the practice of a corporation refusing to be associated with environmental actions.,B,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Attribution is the act of accusing an individual of making a bogus statement.,B,M,Reasoning,Single Choice,Marketing: Advertising : Public Relations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
