,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,"While conducting an appraisal interview with an employee who is satisfactory, but not
promotable, Which incentive would be the least effective for maintaining
satisfactory performance in this situation?",C,M,Logical,Single Choice,Performance Management,
, Compliments,,,,,,
, Small bonus,,,,,,
, Additional professional development,,,,,,
, Time off,,,,,,
,,,,,,,
,Another term for 360-degree feedback :,D,H,Theory,Single Choice,Performance Management,
, upward feedback,,,,,,
, circle feedback,,,,,,
, feedback loop,,,,,,
, Multisource assessment,,,,,,
,,,,,,,
,"The process which allows top management to diagnose the management styles of supervisors,
identify potential ""people"" problems, and take corrective action with individual supervisors is :",B,M,Theory,Single Choice,Performance Management,
, MBO,,,,,,
, Upward feedback,,,,,,
, Organisational development,,,,,,
, Strategic performance appraisal,,,,,,
,,,,,,,
,"Peer appraisals might be having many benefits, but one problem is _____ , when several peers collaborate
to rate each other highly.",D,H,Theory,Single Choice,Performance Management,
, group think,,,,,,
, alliance forging,,,,,,
, social loafing,,,,,,
, Logrolling,,,,,,
,,,,,,,
,"The big five personality trait which is associated with performance appraisal ratings that are too
lenient :",B,M,Theory,Single Choice,Performance Management,
, Openness,,,,,,
, Agreeableness,,,,,,
, Extraversion,,,,,,
, conscientiousness ,,,,,,
,,,,,,,
,"Goals should be challenging, but not impossible or unrealistic.",A,E,Logical,Single Choice,Performance Management,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,"The following Performance appraisal technique lists traits and range of performance values for each
trait :-",B,M,Theory,Single Choice,Performance Management,
, BARS,,,,,,
, Graphic rating scale,,,,,,
, Critical incident,,,,,,
, Forced distribution,,,,,,
,,,,,,,
,"""A graphic rating scale is the most appropriate performance appraisal tool for Swati to use"". Which of the following supports the argument.",A,H,Theory,Single Choice,Performance Management,
," Swati wants a quantitative rating of each employee based on competencies important to
the firm, such as problem-solving skills.",,,,,,
," Swati wants to ensure that the firm is protected from employee discrimination lawsuits,
so she has conducted a job analysis of each position.",,,,,,
," Employees in Swati's department who are categorized in the bottom 10% of the firm's
employees will be immediately dismissed.",,,,,,
," The firm wants Suzanne to evaluate her subordinates on an ongoing basis and to keep a log
of critical incidents.",,,,,,
,,,,,,,
,"The _____tool requires supervisors to categorize employees from best to
worst on various traits :",C,M,Theory,Single Choice,Performance Management,
, graphic rating scale,,,,,,
, critical incident method,,,,,,
, alternation ranking method,,,,,,
, graphic rating scale,,,,,,
,,,,,,,
,"Tool being used when a supervisor places predetermined
percentages of rates into various performance categories:",C,M,Theory,Single Choice,Performance Management,
, behaviorally anchored rating scale,,,,,,
, graphic ranking scale,,,,,,
, forced distribution,,,,,,
, alternation ranking,,,,,,
,,,,,,,
,"Kamal needs to rate 5 of his subordinates. He makes a chart of all possible pairs of
employees for each trait to be evaluated. Then, he indicates the better employee of each pair with
a positive symbol on the chart. Finally, he totals the number of positive symbols for each employee.
Which method of performance appraisal has Kamal most likely used?",A,M,Theory,Single Choice,Performance Management,
, paired comparison,,,,,,
, alternation ranking,,,,,,
, graphic ranking scale,,,,,,
, comparison ranking scale,,,,,,
,,,,,,,
,"Rajeev, the supervisor of the manufacturing department at a FMCG firm, is in the process of
evaluating his staff's performance. He has determined that 10% of the group will be identified as
high performers, 20% as above average performers, 40% as average performers, 20% as below
average performers, and 10% as poor performers. Which performance appraisal tool has Rajeev
chosen to use?",B,E,Theory,Single Choice,Performance Management,
, Alternation ranking,,,,,,
, Forced distribution,,,,,,
, MBO,,,,,,
, BARS,,,,,,
,,,,,,,
,1st step in developing a BARS is :,C,E,Theory,Single Choice,Performance Management,
, compare subordinates,,,,,,
, develop performance dimensions,,,,,,
, generate critical incidents,,,,,,
, reallocate incidents,,,,,,
,,,,,,,
,"Vinayak Consulting is a management consulting firm with seventy employees. As associate vice president of marketing, Sandhya Bhandari is responsible for conducting performance appraisals of the twelve employees under her direct supervision. Sandhya plans to use the critical incident method to evaluate the performance of her subordinates. Which of the following, if true, supports the argument that the critical incident method is the most appropriate performance appraisal tool for
Sandhya to use?",D,M,Theory,Single Choice,Performance Management,
," Employee performance standards are closely aligned with Vinayak Consulting's long-term
strategic plans.",,,,,,
," Other departments at Vinayak Consulting have seen employee performance improve as a
result of providing ongoing evaluations.",,,,,,
," Sandhya will be conducting performance appraisals in conjunction with the HR manager to
ensure EEO compliance.",,,,,,
," Due to economic issues, the firm will be laying off the three lowest performing employees
in Suzanne's department.",,,,,,
,,,,,,,
,______best describes a behaviorally anchored rating scale :,A,M,Theory,Single Choice,Performance Management,
, combination of narrative critical incidents and quantified performance scales,,,,,,
, chart of paired subordinates ranked in order of performance,,,,,,
, diary of positive and negative examples of a subordinate's work performance,,,,,,
, predetermined percentages of subordinates in various performance categories,,,,,,
,,,,,,,
,"Stuti is using a behaviorally anchored rating scale as a performance appraisal tool. She has
already asked employees and supervisors to describe critical incidents of effective and ineffective
job performance. What should be the next step?",B,M,Reasoning,Single Choice,Performance Management,
, reallocate the incidents,,,,,,
, develop performance dimensions,,,,,,
, rank employees from high to low,,,,,,
, create a final appraisal instrument,,,,,,
,,,,,,,
,"Vinayak Consulting is a management consulting firm with seventy employees. As associate vice
president of marketing, Sandhya Bhandari is responsible for conducting performance appraisals of the
twelve employees under her direct supervision. Sandhya plans to use the behaviorally anchored
rating scale (BARS) to evaluate the performance of her subordinates. Which of the following, if true,
supports the argument that BARS is the most appropriate performance appraisal tool for Sandhya to
use?",D,M,Logical,Single Choice,Performance Management,
," Vinayak Consulting provides training to all supervisors regarding legally defensible
performance appraisals.",,,,,,
," Vinayak Consulting recently installed an electronic performance monitoring system to help
supervisors conduct appraisals.",,,,,,
," Sandhya encourages her subordinates to review and make comments about their appraisal
during a formal appeals process.",,,,,,
," Sandhya wants to provide her subordinates with specific examples of their good and poor job
performance during the appraisal interview.",,,,,,
,,,,,,,
,Primary demerit of developing a behaviorally anchored rating scale:,B,E,Theory,Single Choice,Performance Management,
, lack of feedback for subordinates,,,,,,
, unreliable,,,,,,
, time consuming,,,,,,
, Costly,,,,,,
,,,,,,,
,"____ refers to setting specific measurable goals with each employee
and then periodically reviewing the progress made:",A,E,Theory,Single Choice,Performance Management,
, MBO,,,,,,
, Forced distribution,,,,,,
, BARS,,,,,,
, Narrative form technique,,,,,,
,,,,,,,
,_________ problem that occurs when a supervisor's rating of a subordinate on one trait biases the rating of that person on other traits :,B,M,Theory,Single Choice,Performance Management,
, Recency effect,,,,,,
, Halo effect,,,,,,
, Central tendency,,,,,,
, Discrimination,,,,,,
,,,,,,,
,"HR divisions and components in firms are usually liable for a number of deeds, including employee",D,E,Theory,Single Choice,Recruitment,
, Recruitment,,,,,,
, Training,,,,,,
, Development,,,,,,
, all the above,,,,,,
,,,,,,,
,The most important external factor governing recruitments is _____.,C,M,Theory,Single Choice,Recruitment,
, Labour market,,,,,,
, Unemployment rate,,,,,,
, Supply and demand,,,,,,
, none of these,,,,,,
,,,,,,,
,"_______ is of prime importance while recruiting for non - managerial, supervisory and middle - management positions.",C,M,Theory,Single Choice,Recruitment,
, Growth and expansion,,,,,,
, Unemployment rate,,,,,,
, Labour market,,,,,,
, Politican and legal factors,,,,,,
,,,,,,,
,The major internal factor determining the success of the recruiting programme is whether the company engages in ,A,E,Theory,Single Choice,Recruitment,
, HR Planning,,,,,,
, selection,,,,,,
, induction,,,,,,
, none of these,,,,,,
,,,,,,,
,The process of identifying and attracting job seekers so as to build a pool of qualified job applicants is known as:,A,E,Theory,Single Choice,Recruitment,
, Recruitment,,,,,,
, selection,,,,,,
, induction,,,,,,
, training,,,,,,
,,,,,,,
,The relationship of applicant inputs to outputs at various decision points is:,B,M,Theory,Single Choice,HR Analytics,
, Number of contacts,,,,,,
, Yield ratios,,,,,,
, Type of contacts,,,,,,
, Technological sophistitication,,,,,,
,,,,,,,
,______are the decisions to be made while devising the strategies to hire.,D,H,Theory,Single Choice,Recruitment,
, sequencing recruitment process activities,,,,,,
, make or buy employees,,,,,,
, Geographic distribution of labour markets comprising job seekers,,,,,,
, all the above,,,,,,
,,,,,,,
,Company's HR department can create an 'advisory' relationship through:,B,M,Theory,Single Choice,Recruitment,
, line authority,,,,,,
, staff authority,,,,,,
, hiring authority,,,,,,
, all the above,,,,,,
,,,,,,,
,Assistance to top level management for strategic plans is given by:,C,H,Theory,Single Choice,Organization Development,
, Center of expertise,,,,,,
, Embedded HR group,,,,,,
, Corporate HR group,,,,,,
, Transactional HR group,,,,,,
,,,,,,,
,_______ assists other managers in HR functions of management process.,C,M,Theory,Single Choice,Organization Development,
, line supervisor,,,,,,
, line manager,,,,,,
, staff manager,,,,,,
, all the above,,,,,,
,,,,,,,
,The operational function of HRM does not include:,D,M,Theory,Single Choice,Organization Development,
, HRP,,,,,,
, HRIS,,,,,,
, Employee safety,,,,,,
, Employee engagement,,,,,,
,,,,,,,
,Developmental function of HRM includes:,D,M,Theory,Single Choice,Organization Development,
, HRD,,,,,,
, Training and development,,,,,,
, Total quality management,,,,,,
, all the above,,,,,,
,,,,,,,
,"Identify right people in rival companies, offer them better terms and lure them. This phenomena is:",C,M,Theory,Single Choice,Hiring,
, competition,,,,,,
, acquisition,,,,,,
, poaching,,,,,,
, none of these,,,,,,
,,,,,,,
,_______is an alternative to recruitments.,C,M,Theory,Single Choice,Recruitment,
, Contractors,,,,,,
, Trade associations,,,,,,
, Employee leasing,,,,,,
, none of these,,,,,,
,,,,,,,
,"The process of differentiating between applicants in order to identify and hire those with a greater likelihood of success in
a job is:",B,M,Theory,Single Choice,Hiring,
, False negative error,,,,,,
, Selection,,,,,,
, Training,,,,,,
, none of these,,,,,,
,,,,,,,
,"Selection is ______ in nature in terms of application, when it seeks to eliminate as many unqualified applications as possible in order to identify the right candidates.",B,H,Theory,Single Choice,Hiring,
, positive,,,,,,
, negative,,,,,,
, Both the above,,,,,,
, none of the above,,,,,,
,,,,,,,
,Rejection of an applicant who had fair chances of succeeding is,D,H,Theory,Single Choice,Recruitment,
, True positive error,,,,,,
, True negative error,,,,,,
, False positive error,,,,,,
, False negative error,,,,,,
,,,,,,,
,"The type of error in which failure is predicted and it happens, is:",B,M,Theory,Single Choice,Recruitment,
, True positive error,,,,,,
, True negative error,,,,,,
, False positive error,,,,,,
, False negative error,,,,,,
,,,,,,,
,"Rearrange the steps in selection process - 
i. External environment
ii. Internal environment
iii. Preliminary interview
iv. Selection test
v. Employment interview
vi. Reference and background analysis
vii. Selection decision
viii. Physical examination
ix. Job offer
x. Employment contract
xi. Evaluation",A,H,Theory,Single Choice,Recruitment,
," v, i, xi, ii, iv, iii, vi, viii, x, ix, vii",,,,,,
," i, iii, iv, v, vii, ix, xi, ii, vi, viii, x",,,,,,
," i, ii, iii, iv, v, vi, vii, viii, ix, x, xi",,,,,,
," xi, x, ix, viii, vii, vi, v, iv, iii, ii, i",,,,,,
,,,,,,,
,____ test assesses an individual's achievement and motivational levels.,B,H,Theory,Single Choice,Recruitment,
, Guilford - Zimmerman Temperament Survey,,,,,,
, Thematic Apperception Test,,,,,,
, Minnesota Multiphasic Personality,,,,,,
, Thurstone Temperament Survey,,,,,,
,,,,,,,
,"When an interviewer judges an applicant's entire potential for job performance on the basis of a single trait, such as how the applicant dresses or talks, it is called ___",A,M,Theory,Single Choice,Recruitment,
, Halo - effect,,,,,,
, Stress producing interview,,,,,,
, unstructured interview,,,,,,
, none of these,,,,,,
,,,,,,,
, _________ seeks to ratify the usefulness of the characteristics that the person brings to the new job.,B,M,Theory,Single Choice,Recruitment,
, Divestiture orientation,,,,,,
, Investiture orientation,,,,,,
, Individual or collective,,,,,,
, none of these,,,,,,
,,,,,,,
,"Process of identifying, assessing and developing leadership is :",C,M,Theory,Single Choice,Leadership Development,
, HR Planning,,,,,,
, Employment planning,,,,,,
, succession planning,,,,,,
, All of above,,,,,,
,,,,,,,
,Relationship between two variables can be identified by:,B,E,Theory,Single Choice,Hiring,
, Ratio analysis,,,,,,
, Scatter plot,,,,,,
, Trend analysis,,,,,,
, All of above,,,,,,
,,,,,,,
,Process consisting of how and what positions are to be filled is,D,M,Theory,Single Choice,Hiring,
, HR Planning,,,,,,
, Employment planning,,,,,,
, succession planning,,,,,,
, All of above,,,,,,
,,,,,,,
,Study of different employment needs of company is,C,M,Theory,Single Choice,Hiring,
, Ratio analysis,,,,,,
, Scatter plot,,,,,,
, Trend analysis,,,,,,
, All of above,,,,,,
,,,,,,,
,_______ indicates the degree to which a tool or test measures what it is supposed to measure.,D,H,Theory,Single Choice,Recruitment,
, goodness of fit,,,,,,
, dependability,,,,,,
, reliability,,,,,,
, validity,,,,,,
,,,,,,Recruitment,
,Which of the following is the most serious problem that might arise due to excessive reliance on internal recruitment?,A,H,Theory,Single Choice,,
, internal resistance,,,,,,
, lack of motivation,,,,,,
, high labour turnover,,,,,,
, reduced job performance,,,,,Recruitment,
,,,,,,,
,Sources used for internal recruiting includes,D,M,Theory,Single Choice,,
, organizational databases,,,,,,
, job posting,,,,,,
, job transfers,,,,,Recruitment,
, All of above,,,,,,
,,,,,,,
,______ uses workers as recruiting sources who are not considered as traditional employees :,A,M,Theory,Single Choice,,
, flexible staffing,,,,,,
, compression staffing,,,,,Recruitment,
, affirmative staffing,,,,,,
, marginal staffing,,,,,,
,,,,,,,
,Internal recruitment method in which employers notifies job opening to employees to be responded is classified as:,B,M,Theory,Single Choice,,
, job analysis,,,,,Recruitment,
, job posting,,,,,,
, job affirmation,,,,,,
, job margin,,,,,,
,,,,,,,
,Individuals from which selection can be done after applying all recruitment strategies are classified as,A,H,Theory,Single Choice,Recruitment,
, labor force population,,,,,,
, applicant population,,,,,,
, applicant pool,,,,,,
, labor market,,,,,,
,,,,,,,
,Rate which is used to represent that how much organization is successful at hiring candidates is classified as,D,M,Theory,Single Choice,Recruitment,
, selection rate,,,,,,
, yield rate,,,,,,
, success base rate,,,,,,
, acceptance rate,,,,,,
,,,,,,,
,____is used to measure long term effectiveness of employees :,A,E,Theory,Single Choice,Recruitment,
, success base rate,,,,,,
, acceptance rate,,,,,,
, selection rate,,,,,,
, yield rate,,,,,,
,,,,,,,
,"Rearrange the following steps involved in the Human resource planning :
A. HR Programming
B. HR Demand Forecast
C. Environmental Scanning
D. Control and evaluation of programme
E. Surplus - restricted hiring
F. HRP implementation
G. HR supply forecast
H. Organisational objectives and Policies
I. Shortage - Recruitments and Selection",C,M,Theory,Single Choice,Recruitment,
, IHGFEDCBA,,,,,,
, IHDEBCAFG,,,,,,
, CHBGAFDEI,,,,,,
, ABCDEFGHI,,,,,,
,,,,,,,
,Estimating the quantity and quality of people required to meet future needs of the organisation is known as:,A,E,Theory,Single Choice,Recruitment,
, Demand forecasting,,,,,,
, Supply forecasting,,,,,,
, Environmental forecasting,,,,,,
, none of these,,,,,,
,,,,,,,
,"Complete the following formula to calculate turnover rate.

(Number of separations during one year / ______) X 100 .",C,M,Theory,Single Choice,Recruitment,
, Average number of persons X number of working days,,,,,,
, Average number of working days,,,,,,
, Average number of employees during the year,,,,,,
, Average number of leaves,,,,,,
