,Question,Answer,Level,Category,Type,Skill,Answer Description,Type
16,The precise measure of an investment's performance is called:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, an indexed performance ranking.,,,,,,,
,total return.,,,,,,,
,capital gain.,,,,,,,
, income return,,,,,,,
,,,,,,,,
1,Internal rate of return assumes that the intermediate cash inflows will be reinvested at:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, the required rate of return,,,,,,,
, the internal rate of return,,,,,,,
, the risk-free rate of return,,,,,,,
, none of the above.,,,,,,,
,,,,,,,,
2,The discount rate that the payback period uses for cash inflows that occur after the critical period is,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, zero,,,,,,,
, infinite,,,,,,,
, the cost of capital,,,,,,,
, the risk-free rate,,,,,,,
,,,,,,,,
3,A disadvantage of the payback period is:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, it weights early cash inflows the same as all later cash inflows,,,,,,,
, the critical period is arbitrary,,,,,,,
, all cash flows are treated equally,,,,,,,
,all of the above,,,,,,,
,,,,,,,,
4,To a financial analyst the relevant measure of inflows and outflows is:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, accrual based.,,,,,,,
,cash based,,,,,,,
, calendar year based.,,,,,,,
, fiscal year based.,,,,,,,
,,,,,,,,
5,To a financial analyst the relevant measure of inflows and outflows is:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, accrual based.,,,,,,,
,cash based,,,,,,,
, calendar year based.,,,,,,,
, fiscal year based.,,,,,,,
,,,,,,,,
6,Financing costs are ignored in the calculation of cash flows in capital budgeting analysis because:,A,E,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
," in effect, those costs are included in the opportunity costs imbedded in the cost of capital calculations",,,,,,,
,capital is treated as a non- cash item for capital budgeting analysis.,,,,,,,
, it is more important to measure the risk inherent in a project,,,,,,,
, all of the above,,,,,,,
,,,,,,,,
7,"Two firms have identical EBITDA but Firm A has $80 more cash flow than Firm B. Both firms are subject to the same 32% marginal tax rate. If the difference between the two cash flows is related to differing depreciation expense levels, which of the following is a possibility for the difference?",C,E,reasoning,Single Choice,Corporate Finance: financial analysis,,
, Firm B has depreciation expense of $250 and Firm A has depreciation expense of $0,,,,,,,
, Firm A has depreciation expense of $250 and Firm B has depreciation expense of $0,,,,,,,
, Firm A has depreciation expense of $300 and Firm B has depreciation expense of $50.,,,,,,,
, both b and c are possibilities,,,,,,,
,,,,,,,,
8,The key point concerning sensitivity analysis is that it attempts to:,A,H,Theory,Single Choice,Corporate Finance: financial analysis: financial reporting,,
,change one variable while holding all others constant in order to ascertain the effect of that one variable change.,,,,,,,
,change many variables in order to ascertain the effect of that multi-variable change,,,,,,,
,quantify the effect of many different scenario changes at a time.,,,,,,,
,none of the above.,,,,,,,
,,,,,,,,
9,"At a basic level, operating leverage is really a function of:",B,E,Theory,Single Choice,Corporate Finance: financial analysis: financial reporting,,
,how much debt the firm utilizes in its capital structure..,,,,,,,
, the degree to which the firm utilizes fixed costs versus variable costs,,,,,,,
,the degree to which the firm is research and development based.,,,,,,,
,none of the above.,,,,,,,
,,,,,,,,
10,An increase in the sales price will affect the break-even unit sales level by:,B,M,Theory,Single Choice,Corporate Finance: financial analysis: financial reporting,,
,increasing the break-even sales level.,,,,,,,
,decreasing the break-even sales level.,,,,,,,
, its effect on the variable cost..,,,,,,,
,its negative effect on the contribution margin.,,,,,,,
,,,,,,,,
18,"In the beginning, some companies receive equity investment from wealthy individuals. The wealthy individuals are called",A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,angel investors.,,,,,,,
,corporate investors,,,,,,,
,venture capitalists,,,,,,,
,venture capital firms,,,,,,,
,,,,,,,,
19,Firms that invest in new companies as they try to grow are called,D,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,spinning,,,,,,,
,underwriters,,,,,,,
,venture capitalists,,,,,,,
,venture capital firms,,,,,,,
,,,,,,,,
20,The normalized version of covariance is called,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,Regression,,,,,,,
, correlation,,,,,,,
,cross-section,,,,,,,
,spread,,,,,,,
,,,,,,,,
1,The key point concerning sensitivity analysis is that it attempts to:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,change one variable while holding all others constant in order to ascertain the effect of that one variable change.,,,,,,,
, change many variables in order to ascertain the effect of that multi-variable change.,,,,,,,
, quantify the effect of many different scenario changes at a time.,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
2,A security firm that raises capital for firms is called a,A,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,primary security issue,,,,,,,
,secondary security offering.,,,,,,,
,prospectus,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
3,Bonds sold by foreign corporations to US investors are called,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,Eurobonds,,,,,,,
,Samurai bonds,,,,,,,
, Yankee Bonds,,,,,,,
,Bail bonds,,,,,,,
,,,,,,,,
4,The risk that refers to the variability of a company's cash flows is called:,D,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, financial risk,,,,,,,
, systematic risk,,,,,,,
, Market risk,,,,,,,
, Business risk,,,,,,,
,,,,,,,,
5,The complete termination of the firm as a going concern is called a:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Merger,,,,,,,
,Reorganization,,,,,,,
, Divestiture,,,,,,,
, Liquidation,,,,,,,
,,,,,,,,
6,The market's reaction to the announcement to a change in the firm's dividend policy is explained by which model of dividends?,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,Signalling Model,,,,,,,
,Agency cost model,,,,,,,
,Irrelevance of dividend model,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
7,"When a firm is short of cash yet it wishes to distribute something to shareholders, it should consider a:",C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, cash dividend.,,,,,,,
, liquidating dividend.,,,,,,,
, stock dividend..,,,,,,,
,,,,,,,,
8,A negative covenant is a,B,H,Theory,Single Choice,Corporate Finance: financial analysis,,
,requirement a borrower must meet to secure a loan.,,,,,,,
,restriction a borrower must accept in order to secure a loan.,,,,,,,
,option to a venture capitalist to sell their shares back to the entrepreneur.,,,,,,,
,none of the above.,,,,,,,
,,,,,,,,
9,A venture capital fund that is the subsidiary of a financial institution is called a(n):,D,E,Theory,Single Choice,Corporate Finance: financial analysis: venture capital,,
,angel capitalist.,,,,,,,
, corporate venture capital fund.,,,,,,,
, institutional venture capital fund.,,,,,,,
,financial venture capital fund.,,,,,,,
,,,,,,,,
10,The right given to a venture capitalist to force the company to buy back the shares held by the venture capitalist is called:,B,M,Theory,Single Choice,Corporate Finance: financial analysis: venture capital,,
,a participation right,,,,,,,
,repurchase right.,,,,,,,
, stock option plan..,,,,,,,
,none of the above,,,,,,,
,,,,,,,,
11,A venture capital fund that is the subsidiary of a financial institution is called a(n):,D,M,Theory,Single Choice,Corporate Finance: financial analysis: venture capital,,
,angel capitalist.,,,,,,,
,corporate venture capital fund,,,,,,,
,institutional venture capital fund.,,,,,,,
,financial venture capital fund,,,,,,,
,,,,,,,,
12,Which among these is a factor that affects a Company's capital structure decision?,A:B:C:D,E,theory,Multiple Choice,Corporate Finance: financial analysis,,
, Business Risk,,,,,,,
,Financial flexibility,,,,,,,
,Management style,,,,,,,
, Market conditions,,,,,,,
,,,,,,,,
13,________ is the incremental difference in the rate of return over a company's cost of capital,b,E,theory,Single Choice,Corporate Finance: financial analysis,,
,WACC,,,,,,,
,EVA,,,,,,,
,NOPAT,,,,,,,
,ROCE,,,,,,,
,,,,,,,,
14,"TCS has 40,000 shares outstanding and a net income of $200,000. The current stock price is $80. What effect does a 5% stock repurchase have on the price per share of TCS's stock?",a,E,numerical,Single Choice,Corporate Finance: financial analysis : trading,,
,price of stock increased by $0.26,,,,,,,
,price of stock decreased by $0.26,,,,,,,
,price of stock increased by $0.52,,,,,,,
,price of stock decreased by $0.52,,,,,,,
,,,,,,,,
15,"Assume ITC's preferred stock pays a dividend of $10 per share and sells for $300 per share. If the cost to ITC to issue new shares is 5%, what is ITC's cost of preferred stock?",c,M,numerical,Single Choice,Corporate Finance: financial analysis : trading,,
,11.26%,,,,,,,
,6.54%,,,,,,,
,10.53%,,,,,,,
,12.24%,,,,,,,
,,,,,,,,
16,Which among the following is a difference between financial lease and operating lease?,C,E,theory,Single Choice,Corporate Finance: financial analysis,,
,There is often a call option in financial lease,,,,,,,
, There is often an option to buy in an operating lease,,,,,,,
,An operating lease is often cancellable by the lessee,,,,,,,
,A financial lease is often cancellable by the lessee,,,,,,,
,,,,,,,,
1,A combination of competitors within the same geographic market is called a(n):,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,horizontal merger,,,,,,,
,vertical merger.,,,,,,,
, market extension merger.,,,,,,,
,bust up.,,,,,,,
,,,,,,,,
2,The efficiency enhancing effect resulting from a strategic merger is called the:,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,merger effect.,,,,,,,
,acquisition effect.,,,,,,,
, synergy effect,,,,,,,
,efficiency effect.,,,,,,,
,,,,,,,,
3,"In corporate finance, pecking order theory (or pecking order model) postulates that",B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,the cost of financing decreases with asymmetric information,,,,,,,
,the cost of financing increases with asymmetric information,,,,,,,
,the cost of financing increases with symmetric information,,,,,,,
,the cost of financing decreases with asymmetric information,,,,,,,
,,,,,,,,
6,The pecking order theory explains,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, The direct relationship between profitability and debt ratios,,,,,,,
, The inverse relationship between profitability and debt ratios,,,,,,,
, The inverse relationship between profitability and equity ratios,,,,,,,
, The direct relationship between profitability and equity ratios,,,,,,,
,,,,,,,,
7,Which of the following is not part of the capital structure substitution theory,D,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,Earnings,,,,,,,
,Stock Price,,,,,,,
,Capital Structure,,,,,,,
, Balance Sheet,,,,,,,
,,,,,,,,
8,The CSS theory is only applicable in markets where share repurchases are allowed,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,FALSE,,,,,,,
,TRUE,,,,,,,
,,,,,,,,
9,Investors use CSS theory to,A,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, to identify undervalued stocks,,,,,,,
, to identify overvalued stocks,,,,,,,
, To identify defective assets,,,,,,,
, To identify company potential,,,,,,,
,,,,,,,,
10,The CSS theory suggests that company share prices are set by,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,Shareholders,,,,,,,
,Bondholders,,,,,,,
, Market Dynamics,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
11,Beta decay refers to,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,the tendency for a company with a high beta coefficient (β > 1) to have its beta coefficient decline to the market beta,,,,,,,
,the tendency for a company with a Low beta coefficient (β < 1) to have its beta coefficient decline to the market beta,,,,,,,
,the tendency for a company with a Low beta coefficient (β < 1) to have its beta coefficient increase to the market beta,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
12,What are the Assumptions of the Walter mode,D,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,"Retained earnings are the only source of financing investments in the firm, there is no external finance involved.",,,,,,,
,"The cost of capital, k e and the rate of return on investment, r are constant i.e. even if new investments decisions are taken, the risks of the business remains same",,,,,,,
,The firm's life is endless i.e. there is no closing down.,,,,,,,
, All of the above,,,,,,,
,,,,,,,,
13,What are Assumptions of the Gordon model,C,H,Theory,Single Choice,Corporate Finance: financial analysis,,
,The product of retention ratio b and the rate of return r gives us the growth rate of the firm g,,,,,,,
,"The cost of capital ke, is not only constant but greater than the growth rate i.e. ke>g.",,,,,,,
, Both A and B,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
14,In the software business :,B,M,Logical,Single Choice,Corporate Finance: financial analysis: IT strategy,,
," gross margins are very low, while net profit margins are considerably lower",,,,,,,
," gross margins are very high, while net profit margins are considerably lower",,,,,,,
," gross margins are very high, while net profit margins are considerably higher",,,,,,,
," gross margins are very low, while net profit margins are considerably higher",,,,,,,
,,,,,,,,
15,"A company is forecasting an increase in sales and is using the AFN model to forecast
 the additional capital that they need to raise. Which of the following factors are likely to
 increase the additional funds needed (AFN)?",B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,The company has a lot of excess capacity.,,,,,,,
,The company has a high dividend payout ratio.,,,,,,,
,"The company has a lot of spontaneous liabilities that increase as sales
 increase",,,,,,,
,The company has a high profit margin,,,,,,,
,,,,,,,,
1,"Consider three investment alternatives: a perpetuity, an ordinary annuity, and an
 annuity due. All three have the same payment amount. The annuity due and the
 ordinary annuity have the same number of payments and the number of payments is
 greater than one. The interest rate is positive and the same for all three investments.
 Given this information which of the following statements is correct?",A,E,logical,Single Choice,Corporate Finance: financial analysis: investment banking : trading,,
,"The present value of the ordinary annuity is less than the present value of
 the perpetuity.",,,,,,,
,"The present value of the perpetuity is less than the present value of the ordinary
 annuity",,,,,,,
, The perpetuity and the ordinary annuity have the same present value.,,,,,,,
,"The present value of the annuity due is less than the present value of the
 ordinary annuity",,,,,,,
,,,,,,,,
2,"A 10-year bond has a 10 percent annual coupon and a yield to maturity of 12 percent. The bond can be called in 5 years at a call price of $1,050 and the bond’s face value is $1,000. Which answer best describes the above situation?",D,E,numerical,Single Choice,Corporate Finance: financial analysis,,
,The bond’s current yield is greater than 10 percent.,,,,,,,
,The bond’s yield to call is less than 12 percent.,,,,,,,
,The bond is selling at a price below par.,,,,,,,
,Both answers a and c are correct.,,,,,,,
,,,,,,,,
3,"If interest rates fall from 8 percent to 7 percent, which of the following bonds will have the largest price increase in its value?",A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
,A 10-year zero coupon bond.,,,,,,,
,A 10-year bond with a 10 percent annual coupon,,,,,,,
,A 5-year zero coupon bond,,,,,,,
,A 5-year zero coupon bond,,,,,,,
,,,,,,,,
5,"IF an analyst uses the constant dividend growth model to value a stock, which of the
 following (holding everything else constant) is certain to cause the analyst to decrease
 her estimate of the current value of the stock?",B,M,numerical,Single Choice,Corporate Finance: financial analysis,,
,Increasing the estimate of the amount of next year’s dividend,,,,,,,
,Increasing the required rate of return for the stock,,,,,,,
,Increasing the expected dividend growth rate.,,,,,,,
,"All of the above (a, b, and c) would cause the analyst to decrease her estimate",,,,,,,
,,,,,,,,
6,Capital Budgeting is a part of,A,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
,Investment Decision,,,,,,,
, Working Capital Management,,,,,,,
, Marketing Management,,,,,,,
, Capital Structure,,,,,,,
,,,,,,,,
7,Capital Budgeting deals with:,A,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Long-term Decisions,,,,,,,
, Short-term Decisions,,,,,,,
, Both (a) and (b),,,,,,,
, Neither (a) nor (b),,,,,,,
,,,,,,,,
8,Which of the following is not used in Capital Budgeting?,C,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Time Value of Money,,,,,,,
, Sensitivity Analysis,,,,,,,
, Net Assets Method,,,,,,,
, Cash Flows,,,,,,,
,,,,,,,,
10,Which of the following is not incorporated in Capital Budgeting?,D,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Tax-Effect,,,,,,,
, Time Value of Money,,,,,,,
, Required Rate of Return,,,,,,,
, Rate of Cash Discount,,,,,,,
,,,,,,,,
11,Which of the following is not a capital budgeting decision?,D,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Expansion Programme,,,,,,,
, Merger,,,,,,,
, Replacement of an Asset,,,,,,,
, Inventory Level,,,,,,,
,,,,,,,,
12,A sound Capital Budgeting technique is based on:,A,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Cash Flows,,,,,,,
,Accounting Profit,,,,,,,
, Interest Rate on Borrowings,,,,,,,
, Last Dividend Paid,,,,,,,
,,,,,,,,
13,Which of the following is not a relevant cost in Capital Budgeting?,D,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Sunk Cost,,,,,,,
, Opportunity Cost,,,,,,,
, Allocated Overheads,,,,,,,
, Both (a) and (c) above,,,,,,,
,,,,,,,,
14,Capital Budgeting Decisions are based on:,B,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Incremental Profit,,,,,,,
, Incremental Cash Flows,,,,,,,
, Incremental Assets,,,,,,,
, Incremental Capital,,,,,,,
,,,,,,,,
15,Which of the following does not affect cash flows proposal?,D,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Salvage Value,,,,,,,
, Depreciation Amount,,,,,,,
, Tax Rate Change,,,,,,,
, Method of Project Financing,,,,,,,
,,,,,,,,
16,Which of the following is not true with reference capital budgeting?,C,H,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Capital budgeting is related to asset replacement decisions,,,,,,,
, Cost of capital is equal to minimum required return,,,,,,,
, Existing investment in a project is not treated as sunk cost,,,,,,,
, Timing of cash flows is relevant,,,,,,,
,,,,,,,,
1,Which of the following is not followed in capital budgeting?,C,E,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Cash flows Principle,,,,,,,
, Interest Exclusion Principle,,,,,,,
, Accrual Principle,,,,,,,
, Post-tax Principle,,,,,,,
,,,,,,,,
2,Depreciation is incorporated in cash flows because it:,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Is unavoidable cost,,,,,,,
, Is a cash flow,,,,,,,
, Reduces Tax liability,,,,,,,
, Involves an outflow,,,,,,,
,,,,,,,,
3,Which of the following is not true for capital budgeting?,B,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Sunk costs are ignored,,,,,,,
,Opportunity costs are excluded,,,,,,,
,Incremental cash flows are considered,,,,,Corporate Finance: financial analysis: budgeting,,
,Relevant cash flows are considered,,,,,,,
,,,,,,,,
4,Which of the following is not applied in capital budgeting?,C,E,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Cash flows be calculated in incremental terms,,,,,,,
, All costs and benefits are measured on cash basis,,,,,,,
, All accrued costs and revenues be incorporated,,,,,,,
, All benefits are measured on after-tax basis,,,,,,,
,,,,,,,,
5,Evaluation of Capital Budgeting Proposals is based on Cash Flows because:,C,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Cash Flows are easy to calculate,,,,,,,
,Cash Flows are suggested by SEBI,,,,,,,
, Cash is more important than profit,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
6,Which of the following is not included in incremental A flows?,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Opportunity Costs,,,,,,,
,Sunk Costs,,,,,,,
, Change in Working Capital,,,,,,,
, Inflation effect,,,,,,,
,,,,,,,,
7,A proposal is not a Capital Budgeting proposal if it,C,E,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, is related to Fixed Assets,,,,,,,
, brings long-term benefits,,,,,,,
, brings short-term benefits only,,,,,,,
, has very large investments,,,,,,,
,,,,,,,,
8,"In Capital Budgeting, Sunk cost is excluded because it is:",B,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, of small amount,,,,,,,
, not incremental,,,,,,,
, not reversible,,,,,,,
, All of the above,,,,,,,
,,,,,,,,
9,Savings in respect of a cost is treated in capital budgeting as,A,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, An Inflow,,,,,,,
, An Outflow,,,,,,,
, Nil,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
10,"In capital budgeting, the term Capital Rationing implies:",B,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, That no retained earnings available,,,,,,,
, That limited funds are available for investment,,,,,,,
, That no external funds can be raised,,,,,,,
, That no fresh investment is required in current year,,,,,,,
,,,,,,,,
11,Feasibility Set Approach to Capital Rationing can be applied in,A,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, Accept-Reject Situations,,,,,,,
, Divisible Projects,,,,,,,
, Mutually Exclusive Projects,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
12,"In case of divisible projects, which of the following can be used to attain maximum NPV?",C,M,Theory,Single Choice,Corporate Finance: financial analysis : corporate banking,,
, Feasibility Set Approach,,,,,,,
, Internal Rate of Return,,,,,,,
, Profitability Index Approach,,,,,,,
, Any of the above,,,,,,,
,,,,,,,,
13,"Profitability Index, when applied to Divisible Projects, impliedly assumes that:",D,M,Theory,Single Choice,Corporate Finance: financial analysis: financial reporting,,
,Project cannot be taken in parts,,,,,,,
, NPV is linearly proportionate to part of the project taken up,,,,,,,
, NPV is additive in nature,,,,,,,
, Both (b) and (c),,,,,,,
,,,,,,,,
14,"If there is no inflation during a period, then the Money Cashflow would be equal to:",B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Present Value,,,,,,,
, Real Cashflow,,,,,,,
, Real Cashflow + Present Value,,,,,,,
, Real Cashflow - Present Value,,,,,,,
,,,,,,,,
15,The Real Cash Flows must be discounted to get the present value at a rate equal to:,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Money Discount Rate,,,,,,,
, Inflation Rate,,,,,,,
, Real Discount Rate,,,,,,,
, Risk free rate of interest,,,,,,,
,,,,,,,,
1,Real rate of return is equal to:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Nominal Rate x Inflation Rate,,,,,,,
, Nominal Rate Inflation Rate,,,,,,,
, Nominal Rate - Inflation Rate,,,,,,,
,Nominal Rate + Inflation Rate,,,,,,,
,,,,,,,,
3,"If the Money Discount Rate is 19% and Inflation Rate is 12%, then the Real Discount Rate is:",D,M,Numerical,Single Choice,Corporate Finance: financial analysis,,
, 7%,,,,,,,
, 5%,,,,,,,
, 5.70%,,,,,,,
, 6.25%,,,,,,,
,,,,,,,,
4,Money Discount Rate is equal to,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, (1 + Inflation Rate) (1 + Real Rate)-1,,,,,,,
, (1 + Inflation Rate) 4- (1 + Real Rate)-1,,,,,,,
, (1 + Real Rate) 4- (1 + Inflation Rate)-1,,,,,,,
, (1 + Real Rate) + (1 + Inflation Rate)-1,,,,,,,
,,,,,,,,
5,Real Discount Rate is equal to:,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
