,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Cost per Completed View,,,,,,
,Cost per Customer View,,,,,,
, Cost per Customer Viewership,,,,,,
,,,,,,,
,What is CPCV?,A,H,Theory,Single Choice,Marketing: Advertising,
,The price paid by an advertiser to the publisher once a video has been viewd through completion.,,,,,,
,The price paid by a publisher to the advertiser once a video has been viewd through completion.,,,,,,
,The price paid by an advertiser to the publisher once a teaser video has been viewd through completion.,,,,,,
,The price paid by a publisher to an advertiser once a teaser video has been viewd through completion.,,,,,,
,,,,,,,
,Name the association whose members are Ad agencies?,D,M,Theory,Single Choice,Marketing: Advertising,
,American Academy of Advertising Agencies,,,,,,
,American Association of Advertisers Agencies,,,,,,
,American Academy of Advertisers Agencies,,,,,,
,American Association of Advertising Agencies,,,,,,
,,,,,,,
,What do you mean by Advertising elasticity?,B,M,Theory,Single Choice,Marketing: Advertising,
,The relationship between a change in advertising budget and the resulting change in product profits,,,,,,
,The relationship between a change in advertising budget and the resulting change in product sales.,,,,,,
,The relationship between a change in advertising content and the resulting change in product sales.,,,,,,
,The relationship between a change in advertising content and the resulting change in product profits.,,,,,,
,,,,,,,
,What do you mean by Advertorial?,A,M,Theory,Single Choice,Marketing: Advertising,
,"An advertisement that has the appearance of a news article or editorial, in a print publication",,,,,,
,"An editorial that has the appearance of a news article , in a print publication",,,,,,
,"An advertisement that has the appearance of a news article or editorial, in amagazine publication",,,,,,
,"An editorial that has the appearance of a news article or advertisement, in a print publication",,,,,,
,,,,,,,
,What is Agate Line?,C,M,Theory,Single Choice,Marketing: Advertising,
,"A measure of newspaper advertising space, one column wide and 1/28th inch deep.",,,,,,
,"A measure of newspaper advertising space, one column wide and 1/4th inch deep.",,,,,,
,"A measure of newspaper advertising space, one column wide and 1/14th inch deep.",,,,,,
,"A measure of newspaper advertising space, one column wide and 1/10th inch deep.",,,,,,
,,,,,,,
,AIDA stands for___________________________,B,M,Theory,Single Choice,Marketing: Advertising,
," Attention,Interest,Desire and Affection",,,,,,
," Attention,Interest,Desire and Action",,,,,,
," Attentiveness,Interest,Desire and Action",,,,,,
," Attentiveness,Interest,Desire and Affection",,,,,,
,,,,,,,
,What is Aided Recall?,D,M,Theory,Single Choice,Marketing: Advertising,
,A research method frequently used to determine what consumers does not remember about an advertisement they have seen or heard,,,,,,
,A research method frequently used to determine what consumers does not like about an advertisement they have seen or heard,,,,,,
,A research method frequently used to determine what consumers like about an advertisement they have seen or heard,,,,,,
,A research method frequently used to determine what consumers remember about an advertisement they have seen or heard,,,,,,
,,,,,,,
,ADI in advertisement stands for ______________________,D,H,Theory,Single Choice,Marketing: Advertising,
,Arena of Dominant Influence,,,,,,
,Area of Dominant Interest,,,,,,
,Arena of Dominant Interest,,,,,,
, Area of Dominant Influence,,,,,,
,,,,,,,
,Which of the following is not a characteristic of a great slogan?,B,E,Theory,Single Choice,Marketing: Advertising,
,It differentiates the brand,,,,,,
,It should be said by a celebrity,,,,,,
,It includes a key benefit,,,,,,
,It's memorable,,,,,,
,,,,,,,
,Just Do it' is a tagline given by __________________,B,E,Theory,Single Choice,Marketing: Advertising,
,Adidas,,,,,,
,Nike,,,,,,
,Loreal,,,,,,
,Reebok,,,,,,
,,,,,,,
,Because you're worth it' is a tagline of _________________________,C,M,Theory,Single Choice,Marketing: Advertising,
,Adidas,,,,,,
,Nike,,,,,,
,Loreal,,,,,,
,Reebok,,,,,,
,,,,,,,
, Impossible is Nothing' is a tagline of _____________________,A,E,Theory,Single Choice,Marketing: Advertising,
,Adidas,,,,,,
,Nike,,,,,,
,Loreal,,,,,,
,Reebok,,,,,,
,,,,,,,
,"""There are some things money can't buy. For everything else, there's ______________"".",C,E,Theory,Single Choice,Marketing: Advertising,
,Verizon,,,,,,
,Rupay,,,,,,
,Mastercard,,,,,,
,Visa,,,,,,
,,,,,,,
,The Ultimate Driving Machine' is the tagline of _______________________,B,E,Theory,Single Choice,Marketing: Advertising,
,Volkswagen,,,,,,
,BMW,,,,,,
,Maruti Alto,,,,,,
, Hyundai i10,,,,,,
,,,,,,,
,Das Auto' is the tagline of _______________________,A,E,Theory,Single Choice,Marketing: Advertising,
,Volkswagen,,,,,,
,BMW,,,,,,
,Maruti Alto,,,,,,
, Hyundai i10,,,,,,
,,,,,,,
,What is Ben Day process?,D,H,Theory,Single Choice,Marketing: Advertising,
, A painting used in any advertisement,,,,,,
, A pencil sketch pattern,,,,,,
,A crayon pattern on a drawing,,,,,,
, A shading or dot pattern on a drawing,,,,,,
,,,,,,,
,What is Bait Advertising?,D,H,Theory,Single Choice,Marketing: Advertising,
,"Advertising a product at a very high price, when it is possible to obtain the product for the price advertised.",,,,,,
,"Advertising a product at a very high price, when it is possible to obtain the profit on the product for the price advertised.",,,,,,
,"Advertising a product at a loss-making price, when it is difficult or even impossible to obtain the product for the price advertised.",,,,,,
,"Advertising a product at a very low price, when it is difficult or even impossible to obtain the product for the price advertised.",,,,,,
,,,,,,,
,What is Brand Development Index?,C,M,Theory,Single Choice,Marketing: Advertising,
,A comparison of the percent of a brand's sales in a market to the percent of the national population in the similar market in any other country,,,,,,
,A comparison of the percent of a brand's sales in a market to the percent of the national population in competitor's market,,,,,,
,A comparison of the percent of a brand's sales in a market to the percent of the national population in that same market,,,,,,
,A comparison of the percent of a brand's sales in a market to the percent of the population in any other market,,,,,,
,,,,,,,
,Transition from one scene to another in a commercial orprogram is known as ______________,A,H,Theory,Single Choice,Marketing: Advertising,
, Bridge,,,,,,
,Halftone,,,,,,
,Gatefold,,,,,,
,Claymation,,,,,,
,,,,,,,
,"A method of reproducing a black and white photograph or illustration, by representing various shades of gray as a series of black and white dots is known as ___________________",B,H,Theory,Single Choice,Marketing: Advertising,
, Bridge,,,,,,
,Halftone,,,,,,
,Gatefold,,,,,,
,Claymation,,,,,,
,,,,,,,
,"Double or triple-size pages, generally in magazines, that fold out into a large advertisement is known as _________________",C,H,Theory,Single Choice,Marketing: Advertising,
, Bridge,,,,,,
,Halftone,,,,,,
,Gatefold,,,,,,
,Claymation,,,,,,
,,,,,,,
,An animation method that uses clay figurines is known as _______________________,D,E,Theory,Single Choice,Marketing: Advertising,
, Bridge,,,,,,
,Halftone,,,,,,
,Gatefold,,,,,,
,Claymation,,,,,,
,,,,,,,
,"Print advertising that is limited to certain classes of goods and services, and usually limited in size and content is known as ____________________",D,M,Theory,Single Choice,Marketing: Advertising,
,Consumer Advertising,,,,,,
,Comparative Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,"Advertising directed at a person who will actually use the product for their own benefit, rather than to a business or dealer is known as _____________________",A,M,Theory,Single Choice,Marketing: Advertising,
,Consumer Advertising,,,,,,
,Comparative Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,An advertising appeal that consists of explicitly comparing one product brand to a competitive brand is known as ________________________,B,M,Theory,Single Choice,Marketing: Advertising,
,Consumer Advertising,,,,,,
,Comparative Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,Advertising that involves commercial interests rather than advocating a social or political cause is known as ________________________,C,M,Theory,Single Choice,Marketing: Advertising,
,Consumer Advertising,,,,,,
,Comparative Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,"An advertising rate charged to a local advertiser , by local media and publications, as distinguished from a national rate that is charged to a national advertiser is known as _____________",D,M,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Earned Rate,,,,,,
,Flat Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,"A special media pricing arrangement that involves purchasing space or time on more than one vehicle, in a package deal is known as _______________________",A,H,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Earned Rate,,,,,,
,Flat Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,"A discounted media rate, based on volume or frequency of media placement is known as __________________________",B,E,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Earned Rate,,,,,,
,Flat Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,A media rate that allows for no discounts is known as _______________________,C,E,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Earned Rate,,,,,,
,Flat Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,"What is used to determine the cost effectiveness of advertising in a newspaper; reached by multiplying the cost per agate line by one million, then dividing by the circulation?",C,H,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Earned Rate,,,,,,
,Milline Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,A system by which ad costs are divided between two or more parties. Name that system.,D,H,Theory,Single Choice,Marketing: Advertising,
,Standard Advertising Unit System,,,,,,
,Pantone Matching System,,,,,,
,Controlled Circulation,,,,,,
,Cooperative Program,,,,,,
,,,,,,,
,A set of uniform advertising procedures developed by the American Newspaper Publishers Association.Name it.,A,M,Theory,Single Choice,Marketing: Advertising,
,Standard Advertising Unit System,,,,,,
,Pantone Matching System,,,,,,
,Controlled Circulation,,,,,,
,Cooperative Program,,,,,,
,,,,,,,
,"A system that precisely characterizes a color, so that a color can be matched, even by different printers.Name it.",B,H,Theory,Single Choice,Marketing: Advertising,
,Standard Advertising Unit System,,,,,,
,Pantone Matching System,,,,,,
,Controlled Circulation,,,,,,
,Cooperative Program,,,,,,
,,,,,,,
,"Publications, generally business-oriented, that are delivered only to readers who have some special qualifications is known as _______________________-",C,M,Theory,Single Choice,Marketing: Advertising,
,Standard Advertising Unit System,,,,,,
,Pantone Matching System,,,,,,
,Controlled Circulation,,,,,,
,Cooperative Program,,,,,,
,,,,,,,
,"Scheduling advertisements to appear regularly, so that consumers are constantly reminded of the brand is known as __________________________",B,M,Theory,Single Choice,Marketing: Advertising,
,Consumer Advertising,,,,,,
,Continuous Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,Advertising that takes a position contrary to an advertising message that preceded it is known as __________________________,A,H,Theory,Single Choice,Marketing: Advertising,
,Counter Advertising,,,,,,
,Continuous Advertising,,,,,,
,Commercial Advertising,,,,,,
,Classified Advertising,,,,,,
,,,,,,,
,"""India’s International Bank"" is a tagline of _______________________",A,M,Theory,Single Choice,Marketing: Advertising,
,Bank of Baroda,,,,,,
,HSBC,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,""" The World's Local Bank"" is a tagline of _______________________",B,H,Theory,Single Choice,Marketing: Advertising,
,Bank of Baroda,,,,,,
,HSBC,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,"Hum hai na,Khyal Apka"" is a tagline of_____________________",C,M,Theory,Single Choice,Marketing: Advertising,
,Bank of Baroda,,,,,,
,HSBC,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,"""Badhti ka naam zindagi"" is a tagline of___________________",D,H,Theory,Single Choice,Marketing: Advertising,
,Bank of Baroda,,,,,,
,HSBC,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,""" The name you can bank upon"" is a tagline of ___________________________",A,H,Theory,Single Choice,Marketing: Advertising,
,Punjab National Bank,,,,,,
,HSBC,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,"""Together We Can"" is a tagline of ______________________",B,H,Theory,Single Choice,Marketing: Advertising,
,Punjab National Bank,,,,,,
,Canara Bank,,,,,,
,ICICI Bank,,,,,,
,Axis Bank,,,,,,
,,,,,,,
,The percentage of individuals that renew their print media subscriptions to extend beyond the previous expiration date is known as _______________________,B,H,Theory,Single Choice,Marketing: Advertising,
,Combination Rate,,,,,,
,Renewal Rate,,,,,,
,Flat Rate,,,,,,
,Local Rate,,,,,,
,,,,,,,
,A premium offered to customers for helping sell a product or service to a friend or acquaintance is known as _______________________,D,H,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Collectibles,,,,,,
,Advance Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,A type of premium that consumers may desire to have as a part of a greater collection of similar goods is known as _____________________,B,H,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Collectibles,,,,,,
,Advance Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,"A premium provided to a consumer, on the condition of some later purchase is known as _____________________",C,H,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Collectibles,,,,,,
,Advance Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,A premium offer paid by the consumer whose total cost including handling fees are paid for in the basic sales transaction is known as ___________________________,A,H,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Collectibles,,,,,,
,Advance Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,"Special product packaging, where the package itself acts as a premium of value to the consumer is known as __________________",B,E,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Container Premium,,,,,,
,Advance Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,A premium provided to the consumer at the same time as the purchase is known as ________________________,C,M,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Container Premium,,,,,,
,Direct Premium,,,,,,
,Referral Premium,,,,,,
,,,,,,,
,"A premium attached to a product, in or on the packaging is known as ________________________",D,H,Theory,Single Choice,Marketing: Advertising,
,Self-Liquidating Premium,,,,,,
,Container Premium,,,,,,
,Direct Premium,,,,,,
,Factory Pack,,,,,,
,,,,,,,
,"A premium included in the packaging of another product (e.g., buy a can of shaving cream and get a free razor in the same package) is known as ________________________",A,H,Theory,Single Choice,Marketing: Advertising,
,In-Pack Premium,,,,,,
,Container Premium,,,,,,
,Direct Premium,,,,,,
,Factory Pack,,,,,,
,,,,,,,
,"A premium used to induce a consumer to take some action, such as completing a survey or trying a product is known as ________________",C,H,Theory,Single Choice,Marketing: Advertising,
,In-Pack Premium,,,,,,
,Container Premium,,,,,,
,Keeper,,,,,,
,Factory Pack,,,,,,
,,,,,,,
,Products not associated with a private or national brand name is known as _______________________,D,M,Theory,Single Choice,Marketing: Advertising,
,Product Brand,,,,,,
,Logotype,,,,,,
,Family Brand,,,,,,
, Generic Brand,,,,,,
,,,,,,,
,"Product brand owned by a retailer, wholesaler, or merchant, as opposed to a manufacturer or producer, and bearing it's own company name exclusively is known as ___________________",A,M,Theory,Single Choice,Marketing: Advertising,
,Private Brand,,,,,,
,Logotype,,,,,,
,Family Brand,,,,,,
, Generic Brand,,,,,,
,,,,,,,
,A brand name that is used for more than one product is known as __________________,C,E,Theory,Single Choice,Marketing: Advertising,
,Private Brand,,,,,,
,Logotype,,,,,,
,Family Brand,,,,,,
, Generic Brand,,,,,,
,,,,,,,
,A nationally distributed product brand name which may also be distributed regionally or locally is known as _______________________,B,M,Theory,Single Choice,Marketing: Advertising,
,Private Brand,,,,,,
,National Brand,,,,,,
,Family Brand,,,,,,
, Generic Brand,,,,,,
,,,,,,,
,The federal agency responsible for regulating broadcast and electronic communications.Name the agency.,A,H,Theory,Single Choice,Marketing: Advertising,
,Federal Communications Commission,,,,,,
,Full-service agency,,,,,,
,House Agency,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,"An advertising agency owned and operated by an advertiser, which handles the advertiser's account.Name the agency.",C,H,Theory,Single Choice,Marketing: Advertising,
,Federal Communications Commission,,,,,,
,Full-service agency,,,,,,
,House Agency,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,"An agency that handles all aspects of the advertising process, including planning, design, production, and placement.Name the agency.",B,M,Theory,Single Choice,Marketing: Advertising,
,Federal Communications Commission,,,,,,
,Full-service agency,,,,,,
,House Agency,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,The federal agency primarily responsible for regulating national advertising.Name the agency.,D,M,Theory,Single Choice,Marketing: Advertising,
,Federal Communications Commission,,,,,,
,Full-service agency,,,,,,
,House Agency,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,An agency or advertiser's authorization for a publisher to run a specific ad in a specific print publication on a certain date at a specified price.Name the agency.,C,H,Theory,Single Choice,Marketing: Advertising,
,Federal Communications Commission,,,,,,
,Full-service agency,,,,,,
,Insertion order,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,"Rather than provide all advertising services for one price, an agency may provide only the services that a client wishes to purchase.Name the agency.",A,M,Theory,Single Choice,Marketing: Advertising,
,Ala-carte services,,,,,,
,Full-service agency,,,,,,
,Insertion order,,,,,,
,Federal Trade Commission,,,,,,
,,,,,,,
,"The process by which a vehicle reviews an advertisement for legal, ethical, and taste standards, before accepting the ad for publication.Name it.",A,M,Theory,Single Choice,Marketing: Advertising,
, Clearance,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,A printing process that uses an etched printing cylinder.Name the process.,D,H,Theory,Single Choice,Marketing: Advertising,
, Clearance,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,"A printing process that combines differing amounts of each of four colors (red, yellow, blue & black) to provide a full-color print.Nmae it.",C,E,Theory,Single Choice,Marketing: Advertising,
, Clearance,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,A description or explanation of the chain-of-events involved in communicating information from one party to another.Name the process.,B,M,Theory,Single Choice,Marketing: Advertising,
, Clearance,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,DAGMAR stands for_______________________________________.,D,H,Theory,Single Choice,Marketing: Advertising,
,Defining Advertising Goals for Measured Advertising Rights,,,,,,
,Defining Advertising Goals for Monitoring Advertising Results,,,,,,
,Defining Advertising Goals for Monitoring Advertising Rights,,,,,,
,Defining Advertising Goals for Measured Advertising Results,,,,,,
,,,,,,,
,Which of the following is a planographic printing process?,A,H,Theory,Single Choice,Marketing: Advertising,
, Offset Lithography,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,"The process used by advertising to influence audience or prospect attitudes, especially purchase intent and product perception by appealing to reason or emotion.Name it.",A,M,Theory,Single Choice,Marketing: Advertising,
, Persuasion Process,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,A process of creating animation through the use of still photographs.Name it.,A,M,Theory,Single Choice,Marketing: Advertising,
, Photoanimation,,,,,,
,Communication Process,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,The process of making letterpress printing plates by photochemical means.Name it.,B,H,Theory,Single Choice,Marketing: Advertising,
, Photoanimation,,,,,,
,Photoengraving,,,,,,
,Four-colour Process,,,,,,
,Gravure,,,,,,
,,,,,,,
,A process which converts original art material into printing plates that are required to print ads.Name it.,C,H,Theory,Single Choice,Marketing: Advertising,
, Photoanimation,,,,,,
,Photoengraving,,,,,,
,Photoplatemaking,,,,,,
,Gravure,,,,,,
,,,,,,,
,The process of using live and animated characters within an advertisement.Name it.,D,H,Theory,Single Choice,Marketing: Advertising,
, Photoanimation,,,,,,
,Photoengraving,,,,,,
,Photoplatemaking,,,,,,
,Rotoscoping,,,,,,
,,,,,,,
,"A process in TV production where an image, words, or phrases are imposed over another image.Name the process.",B,H,Theory,Single Choice,Marketing: Advertising,
, Photoanimation,,,,,,
,Superimposition (super),,,,,,
,Photoplatemaking,,,,,,
,Rotoscoping,,,,,,
,,,,,,,
,The combined cumulative audience exposed to an advertisement.Name the term.,A,H,Theory,Single Choice,Marketing: Advertising,
,Net Unduplicated audience,,,,,,
,Holdover audience,,,,,,
,Gross Audience,,,,,,
,Duplicated Audience,,,,,,
,,,,,,,
,The percent of a program's audience that watched or listened to the immediately preceding program on the same station.Name the kind of audience talked about.,B,H,Theory,Single Choice,Marketing: Advertising,
,Net Unduplicated audience,,,,,,
,Holdover audience,,,,,,
,Gross Audience,,,,,,
,Duplicated Audience,,,,,,
,,,,,,,
,"The audiences of all vehicles or media in a campaign, combined is called_______________________.",C,M,Theory,Single Choice,Marketing: Advertising,
,Net Unduplicated audience,,,,,,
,Holdover audience,,,,,,
,Gross Audience,,,,,,
,Duplicated Audience,,,,,,
,,,,,,,
,That portion of an audience that is reached by more than one media vehicle is called___________________.,D,M,Theory,Single Choice,Marketing: Advertising,
,Net Unduplicated audience,,,,,,
,Holdover audience,,,,,,
,Gross Audience,,,,,,
,Duplicated Audience,,,,,,
,,,,,,,
,"The percent of audiences that are tuned into a particular medium at a given time, e.g. the number of people watching television between the hours of 8:00 p.m. to 11:00 p.m is called______.",B,H,Theory,Single Choice,Marketing: Advertising,
,Net Unduplicated audience,,,,,,
,Share-of-audience,,,,,,
,Gross Audience,,,,,,
,Duplicated Audience,,,,,,
,,,,,,,
,Who is known as the 'Father of Advertising'?,D,E,Theory,Single Choice,Marketing: Advertising,
,Alyque Padamsee,,,,,,
,Edward Barneys,,,,,,
,Philip Kotler,,,,,,
,David Ogilvy,,,,,,
,,,,,,,
,Who is known as 'Father of Indian Advertising'?,A,H,Theory,Single Choice,Marketing: Advertising,
,Alyque Padamsee,,,,,,
,Padamsee Shahzan,,,,,,
,Sharon Prabhakar,,,,,,
,Prahlad Kakkar,,,,,,
,,,,,,,
,Clear hai' is the tagline of _____________________.,D,E,Theory,Single Choice,Marketing: Advertising,
,Mountain Dew,,,,,,
,Pepsi,,,,,,
, Coke India,,,,,,
,Limca,,,,,,
,,,,,,,
,Change the game' is the tagline of ______________.,B,E,Theory,Single Choice,Marketing: Advertising,
,Mountain Dew,,,,,,
,Pepsi,,,,,,
, Coke India,,,,,,
,Limca,,,,,,
,,,,,,,
,Open happiness' is the tagline of ______________________.,C,E,Theory,Single Choice,Marketing: Advertising,
,Mountain Dew,,,,,,
,Pepsi,,,,,,
, Coke India,,,,,,
,Limca,,,,,,
,,,,,,,
,Darr k aage jeet hai' is the tagline of ________________________.,A,E,Theory,Single Choice,Marketing: Advertising,
,Mountain Dew,,,,,,
,Pepsi,,,,,,
, Coke India,,,,,,
,Limca,,,,,,
,,,,,,,
,An abbreviation for net cumulative audience is _________________________.,B,H,Theory,Single Choice,Marketing: Advertising,
,Cumua,,,,,,
,Cumes,,,,,,
,Cuma,,,,,,
,NCA,,,,,,
,,,,,,,
,Programming time the network controls on each of its affiliate stations is called ________________________.,D,H,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Fringe time,,,,,,
,Prime Time,,,,,,
,Network option Time,,,,,,
,,,,,,,
,"A Federal Communications Commission requirement that when a broadcaster allows a political candidate broadcast a message, opposing candidates must be offered _____________.",A,M,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Fringe time,,,,,,
,Prime Time,,,,,,
,Network option Time,,,,,,
,,,,,,,
,_____________________ refers to morning and afternoon times when consumers are driving to and from work.,B,H,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Drive time,,,,,,
,Prime Time,,,,,,
,Network option Time,,,,,,
,,,,,,,
,"Time periods immediately before and after a television program, normally used as a commercial break between programs is called _________________________.",C,H,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Drive time,,,,,,
,Adjacencies,,,,,,
,Network option Time,,,,,,
,,,,,,,
,"__________ refers to a time during months of November, March, and May, when both Nielson & Arbitron survey all local market broadcast media to ratethe stations and their programming.",D,H,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Drive time,,,,,,
,Adjacencies,,,,,,
,Sweeps,,,,,,
,,,,,,,
,"A time period directly preceding and directly following prime time, on television is called ____________________.",C,M,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Drive time,,,,,,
,Fringe time,,,,,,
,Sweeps,,,,,,
,,,,,,,
,The broadcast periods viewed or listened to by the greatest number of persons and for which a station charges the most for air time is called__________________.,D,M,Theory,Single Choice,Marketing: Advertising,
,Equal Time,,,,,,
,Drive time,,,,,,
,Fringe time,,,,,,
,Prime Time,,,,,,
,,,,,,,
,"A comparison of the percent of sales of a product category in a market, to the percent of population in that market is called _______________________.",A,M,Theory,Single Choice,Marketing: Advertising,
,Category Development Index,,,,,,
, Brand Development Index,,,,,,
,Loyalty Index,,,,,,
, Advertisement popularity index,,,,,,
,,,,,,,
,Frequency of listenership of a particular broadcast station is measured by________________________.,C,M,Theory,Single Choice,Marketing: Advertising,
,Category Development Index,,,,,,
, Brand Development Index,,,,,,
,Loyalty Index,,,,,,
, Advertisement popularity index,,,,,,
,,,,,,,
,A comparison of the percent of a brand's sales in a market to the percent of the national population in that same market is called _____________________.,B,M,Theory,Single Choice,Marketing: Advertising,
,Category Development Index,,,,,,
, Brand Development Index,,,,,,
,Loyalty Index,,,,,,
, Advertisement popularity index,,,,,,
,,,,,,,
,A station's option to place a commercial in any time slot that they choose is called_________________________,D,H,Theory,Single Choice,Marketing: Advertising,
,Creative schedule,,,,,,
,Staggered schedule,,,,,,
,Flighting,,,,,,
,Run-of-Schedule,,,,,,
,,,,,,,
,A schedule of advertisements in a number of periodicals which have different insertion dates is called _________________________,B,M,Theory,Single Choice,Marketing: Advertising,
,Creative schedule,,,,,,
,Staggered schedule,,,,,,
,Flighting,,,,,,
,Run-of-Schedule,,,,,,
,,,,,,,
,A media schedule that involves more advertising at certain times and less advertising during other time periods is called _________________________,C,H,Theory,Single Choice,Marketing: Advertising,
,Creative schedule,,,,,,
,Staggered schedule,,,,,,
,Flighting,,,,,,
,Run-of-Schedule,,,,,,
,,,,,,,
