,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
, Price bundling,,,,,,
, Price elasticity,,,,,,
, None of the above,,,,,,
,,,,,,,
,"Which of the following is generally affected by magnitude and frequency of purchase, the perceptions of fairness the price set, price presentation.",B,H,Theory,Single Choice,Marketing::Pricing:,
, Price consciousness,,,,,,
, Willingness to pay ,,,,,,
, Price perception,,,,,,
, Brand awareness,,,,,,
,,,,,,,
,"A company ABC manufactures Mobile phones, in the month of march the sales of 2+ model were dropped by 10% compared to previous month. The ABC realized that this drop was because of increase in the price by 10%. Which effect was experienced by the ABC in this case",A,H,Theory,Single Choice,Marketing::Pricing:,
, Unit price of elasticity of demand,,,,,,
, Zero price elasticity of demand,,,,,,
, Indefinite price elasticity of demand,,,,,,
, Infinite price elasticity of demand,,,,,,
,,,,,,,
,"Out of the mentioned options below, which one is not part of benefits of branding especially for B2B marketing",D,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Self expressive ,,,,,,
, Emotional Advantages,,,,,,
, Product use benefits and functional benefits,,,,,,
, Ethical advantages,,,,,,
,,,,,,,
,"There are certain elements involved in deleoping a business brand, Which of the following is not part of those elements?",C,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Symbolic devices,,,,,,
, Behaviour,,,,,,
, Services,,,,,,
, Communication,,,,,,
,,,,,,,
,Which brands are sold across different markets of different countries through decentralized controlling,B,H,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Global,,,,,,
, Multidomestic,,,,,,
, Domestic,,,,,,
, International brands,,,,,,
,,,,,,,
,"Which of the following is used to differentiate from other players market to understand the brand, not just to remember the name of brand",D,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, family branding,,,,,,
, Brand heritage,,,,,,
, Brand extension,,,,,,
, Brand positioning,,,,,,
,,,,,,,
,Which of the following is not an element of brand equity,C,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Brand loyalty,,,,,,
, Brand association,,,,,,
, Brand heritage,,,,,,
, Brand awareness,,,,,,
,,,,,,,
,"While evaluating the wealth of brand, which of the following a measure of strenth and value of a brand",A,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Brand equity,,,,,,
, Brand heritage,,,,,,
, Brand stretching,,,,,,
, Name of the brand,,,,,,
,,,,,,,
,The name of the organization is used for all brands of company under umbrella branding. This is known as,B,M,Theory,Single Choice,Marketing:Brand Managementing:Brand Management:Brand Management Management,
, Family branding,,,,,,
, Corporate branding,,,,,,
, manufacture branding,,,,,,
, Individual branding,,,,,,
,,,,,,,
,The rate at the companies are able to adopt an innovation is,B,M,Theory,Single Choice,Marketing:Product Management:Process:Diffusion,
, Adoption process,,,,,,
, Process of diffusion,,,,,,
, Adoption Life cycle,,,,,,
, Process of differentiation,,,,,,
,,,,,,,
,"Which of the following products are associated with high risk, expensiveness, and bought very frequently",D,H,Theory,Single Choice,Marketing:Product Management:Process:,
, Branded products,,,,,,
, Generic products,,,,,,
, Shopping products,,,,,,
, Speciality products,,,,,,
,,,,,,,
,"In which of the following process, consumer tries to accept new propositions of the product and use it",C,M,Theory,Single Choice,Marketing:Consumer:Process:,
, Awareness,,,,,,
, Acquisition,,,,,,
, Adoption,,,,,,
, Decision,,,,,,
,,,,,,,
,"Which of the following products are associated with high customer risk, repetitiveness, and bought rarely",A,H,Theory,Single Choice,Marketing:Consumer:Product Management :,
, Durable products,,,,,,
, Speciality products,,,,,,
, Impulse Products,,,,,,
, Non-durable products,,,,,,
,,,,,,,
,Which of the following are bought with little consideration or pre-thinking and they are also non-durable products,D,M,Theory,Single Choice,Marketing:Consumer:Product Management :,
, Manufacturer products,,,,,,
, Impulse products,,,,,,
, Luxury Products,,,,,,
, Convenience products,,,,,,
,,,,,,,
,Which of the following process is used to launch a new product using another successful brand?,B,M,Theory,Single Choice,Marketing:Consumer:Product Management :,
, Product Item,,,,,,
, Product mix,,,,,,
, Marketing mix,,,,,,
, Product mix width,,,,,,
,,,,,,,
,"Which of the following products are associated with Low levels of purchase risk, low price, One time usability, and bought frequently",C,E,Theory,Single Choice,Marketing:Consumer:Product Management :,
, Speciality products,,,,,,
, Durable products,,,,,,
, Nondurable,,,,,,
, Luxury,,,,,,
,,,,,,,
,Which of the following may purchase directly from manufacturer and sell directly to the end customers,A,E,Theory,Single Choice,Marketing:Channel Managements::,
, Retailers,,,,,,
, Distributors,,,,,,
, Franchaises,,,,,,
, None of the above,,,,,,
,,,,,,,
,"In a direct channel of distribution, the product goes from directly form?",B,E,Theory,Single Choice,Marketing:Distribution:Channel Management:,
, Distributor to end consumer,,,,,,
, Manufacturer to end consumer,,,,,,
, Retailer to end consumer,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following offers wide range products of both grocery and households that service the purchasing of customers in the last minute?,C,M,Theory,Single Choice,Marketing:GK::,
, Category killer stores,,,,,,
, Supermarkets,,,,,,
, Convenience Shops,,,,,,
, Retail stores,,,,,,
,,,,,,,
,Which of the following best describes the network of McDonald's and KFC?,D,E,Theory,Single Choice,Marketing:Distribution:Channel Management:,
, Distributors,,,,,,
, Retail stores,,,,,,
, Merchants,,,,,,
, Franchising,,,,,,
,,,,,,,
,Which kind of distribution facilitated the customers to place the order at as many locations as possible to maximize the opportunity to avail the service?,A,M,Theory,Single Choice,Marketing:Distribution:Channel Management:,
, Intensive distribution,,,,,,
, Extensive distribution,,,,,,
, Direct distribution,,,,,,
, Selective distribution,,,,,,
,,,,,,,
,Which of the following describes best that where the sale of unauthorized branded products diverted from a distributor?,B,M,Theory,Single Choice,Marketing:Distribution:Channel Management:,
, Authorized distribution,,,,,,
, Grey marketing or distribution,,,,,,
, Stealth marketing,,,,,,
, Niche distribution,,,,,,
,,,,,,,
,Maximizing the availability of offerings for the consumer in the market refers to?,C,M,Theory,Single Choice,Marketing:Distribution:Channel Management:,
, Distribution,,,,,,
, Control,,,,,,
, Coverage,,,,,,
, Availability,,,,,,
,,,,,,,
,The companies given below follow family branding EXCEPT,A,H,Theory,Single Choice,Marketing:GK::,
, Sears,,,,,,
, GE,,,,,,
, Heinz,,,,,,
, Campbell Soup,,,,,,
,,,,,,,
,"When a company uses an established brand to introduce new product, it is called as",B,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:Mix,
, Brand mix,,,,,,
, Brand extension,,,,,,
, Sub-brand,,,,,,
, Brand Posture,,,,,,
,,,,,,,
,The most important element having 25% weightage in Interbrand's strength formula?,D,H,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:Mix,
, Geographic spread,,,,,,
, Trend,,,,,,
, Stability,,,,,,
, Leadership,,,,,,
,,,,,,,
,Which of the following is a most enduring asset of any organization?,C,H,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:Asset,
, It's culture,,,,,,
, Leadership,,,,,,
, Brand,,,,,,
, It's shareholders,,,,,,
,,,,,,,
,_________________has a structured way of evaluating its sources with results of brand equity and all the marketing activities are aligned in the same way to create the brand,D,H,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Brand portfolio,,,,,,
, Brand positioning,,,,,,
, Brand life cycle,,,,,,
, Brand value chain,,,,,,
,,,,,,,
,"A customer's ability to recognize, recall about the brand and identify the brand is called?",B,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Brand Association,,,,,,
, Brand awareness,,,,,,
, Brand image,,,,,,
, Brand perception,,,,,,
,,,,,,,
,"Keeping the holistic marketing activities in the mind, which of the following created wide opportunities for personal marketing",C,H,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Internet,,,,,,
, Standardization,,,,,,
, Globalization,,,,,,
, None of the above,,,,,,
,,,,,,,
,When an element of brand is used to introduce new product in same or different product lines that brand element is called as,C,H,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Adaptable,,,,,,
, Memorable,,,,,,
, Transferable,,,,,,
, Likable,,,,,,
,,,,,,,
,"Which of the following focuses on customers personal evaluations and opinions according to ""Six Brand Building Blocks""?",A,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Brand judgements,,,,,,
, Brand imagery,,,,,,
, Sailence of the brand,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is added value endowed to its services or products?,D,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Brand awareness,,,,,,
, Brand Loyalty,,,,,,
, Brand Identity,,,,,,
, Brand equity,,,,,,
,,,,,,,
,"Strong brands have different marketing benefits, which of the following is not a benefit?",B,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Larger margin,,,,,,
, Guaranteed profits,,,,,,
, More loyalty towards the brand,,,,,,
, Both A and B,,,,,,
,,,,,,,
,Where do the group of marketers meet to improve their product perception and try to attract the consumers?,C,E,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Conferences,,,,,,
, Board meetings,,,,,,
, Exhibitions,,,,,,
, Advertising,,,,,,
,,,,,,,
,Which of the following better describes that the marketers try to express the benefits of particular product and its vision ,D,M,Theory,Single Choice,Marketing:Brand Management :Brand Managementing:,
, Brand equity,,,,,,
, Brand mission,,,,,,
, Brand positioning,,,,,,
, Brand promise,,,,,,
,,,,,,,
,"Which of the following communication from marketers, offers a direct involvement and encouragement to customers to buy their product through incentives",B,M,Theory,Single Choice,Marketing::Promotions:,
, Direct Marketing,,,,,,
, Sales Promotion,,,,,,
, Advertising,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following provides users a platform to create content and enables them to involve more with the brand,C,E,Theory,Single Choice,Marketing:Seling::,
, Telemarketing,,,,,,
, Personal selling,,,,,,
, Online communities,,,,,,
, Door-to-door selling,,,,,,
,,,,,,,
,Which type of marketer looks ahead of what may the future needs of consumers?,C,E,Theory,Single Choice,Marketing:Needs:Consumer:,
, Responsive,,,,,,
, Laidback,,,,,,
, Anticipative,,,,,,
, Creative,,,,,,
,,,,,,,
,Which of the following defense strategies tell about expansion of markets and diversification?,A,M,Theory,Single Choice,Marketing :Defence strategies:Strategies:,
, Flank defence,,,,,,
, Mobile defence,,,,,,
, Counteroffensive defence,,,,,,
, Position defence,,,,,,
,,,,,,,
,A company traditionally a bottled water manufacturing company recently ventured into fruit juice segment a way before than any of its competitors. This is an example of?,D,H,Theory,Single Choice,Marketing:Attack Strategies:Strategies:,
, Guerilla attack,,,,,,
, Frontal attack,,,,,,
, Flank attack,,,,,,
, Bypass attack,,,,,,
,,,,,,,
,Guerilla attack strategy comprises of ,D,H,Theory,Single Choice,Marketing:Attack Strategies:Strategies:,
, selective price cuts,,,,,,
, Occasional legal action  ,,,,,,
, Intense promotional activities,,,,,,
," All A, B and C",,,,,,
,,,,,,,
,Which of the following refers to copying the market leaders strategy but differentiates oly in external visibility,B,E,Theory,Single Choice,Marketing:Attack Strategies:Strategies:Market leader,
, Cloner,,,,,,
, Imitator,,,,,,
, Innovator,,,,,,
, Counterfeiter,,,,,,
,,,,,,,
,Which of the following best relates that a player want to be a market leader in smaller markets rather than being a market follower in bigger ones.,C,M,Theory,Single Choice,Marketing:Attack Strategies:Strategies:Market leader,
, Market Challenger,,,,,,
, Market king,,,,,,
, Market nicher,,,,,,
, Market entrant,,,,,,
,,,,,,,
,"Where the market leader's strategy is to achieve high sales volume, what is the strategy of market nicher?",D,M,Theory,Single Choice,Marketing:Attack Strategies:Strategies:Market leader,
, MediumPricing,,,,,,
, High promotability,,,,,,
, High sales volumes,,,,,,
, Higher margins,,,,,,
,,,,,,,
,Which phase of a product life cycles face low sales growth and mere profits,A,M,Theory,Single Choice,Marketing:Product Management: :,
, Introduction,,,,,,
, Mature,,,,,,
, Growth,,,,,,
, Declining,,,,,,
,,,,,,,
,Which phase of a product life cycles experiences market acceptance and higher profits,C,E,Theory,Single Choice,Marketing:Product Management: :,
, Introduction,,,,,,
, Mature,,,,,,
, Growth,,,,,,
, Declining,,,,,,
,,,,,,,
,What kind of strategy is used when a product is in the growth stage of its life cycle?,B,H,Theory,Single Choice,Marketing:Growth:Strategies:,
, Dispensing the non-profitable stores or outlets,,,,,,
, Establishing intense distribution,,,,,,
, Increasing brand awareness,,,,,,
, None of the above,,,,,,
,,,,,,,
,"During which stage of product life cycle, profits stabilize or decline because of competition?",B,M,Theory,Single Choice,Marketing:Product Management: :,
, Introduction,,,,,,
, Mature,,,,,,
, Growth,,,,,,
, Declining,,,,,,
,,,,,,,
,Which of the following is the best strategy in the recession and should be adopted by marketers?,C,H,Theory,Single Choice,Marketing:Strategy::,
, Aim to expand the customer base but not on retaining existing customers,,,,,,
, Increase the budget of marketing,,,,,,
, Try to communicate the brand value and quality of the product ,,,,,,
, None of the above,,,,,,
,,,,,,,
,Sales volume can be increased by increasing the usage rate among existing customers. What can another way to increase sales volume?,D,H,Theory,Single Choice,Marketing:Strategy::,
, Acquire competitors customers,,,,,,
, Convert non-users into users,,,,,,
, Expanding products to new markets,,,,,,
, Having the consumers who use the products more often,,,,,,
,,,,,,,
,Sales volume can be increased by expanding the customer base. What can another way to increase sales volume?,A,H,Theory,Single Choice,Marketing:Strategy::,
, Acquire competitors customers,,,,,,
, Convert non-users into users,,,,,,
, Expanding products to new markets,,,,,,
, Having the consumers who use the products more often,,,,,,
,,,,,,,
,Which phase of a product life cycles experiences downward sales and lesser profits,D,E,Theory,Single Choice,Marketing:Product Management: :,
, Introduction,,,,,,
, Mature,,,,,,
, Growth,,,,,,
, Declining,,,,,,
,,C,,,,,
,What does a job shop specialist do?,,,Theory,Single Choice,:::,
, Has specialization in serving one channel of distribution,,,,,,
, Generally offers one or more services compared to competitors,,,,,,
, Does the customization according to individual's preferences,,,,,,
, None of the above,,,,,,
,,,,,,,
,"In what kind of strategy, a player spots segments where the competitor is under performing?",B,H,Theory,Single Choice,Marketing :Defence strategies:Strategies:,
, Frontal attack,,,,,,
, Flank geographic attack,,,,,,
, flank attack,,,,,,
, Encirclement attack,,,,,,
,,,,,,,
,Which of the following strategy is deployed when the company is no longer able to protect its market share and tries to exit weak markets and consolidate their stronger territories?,C,M,Theory,Single Choice,Marketing :Defence strategies:Strategies:,
, Flank defense,,,,,,
, Position,,,,,,
, Contraction defense,,,,,,
, Preemptive defence,,,,,,
,,,,,,,
,Market leaders try to expand to new market keeping in the mind that those new markets can serve defense as well offense centers in future. This is known as?,A,H,Theory,Single Choice,Marketing :Defence strategies:Strategies:,
, Mobile defense,,,,,,
, Counteroffensive defense,,,,,,
, Position defense,,,,,,
, Flank defense,,,,,,
,,,,,,,
,Position defense refers to,C,M,Theory,Single Choice,Marketing :Defence strategies:Strategies:,
, Occupying the most attractive markets,,,,,,
, Intangible benefits of brand comes into picture,,,,,,
, Both A and B,,,,,,
, None of the above,,,,,,
,,,,,,,
,When the customer base of whole market get expanded who will benefit the most from this.?,D,M,Theory,Single Choice,Marketing :Market :Strategies:,
, Market follower,,,,,,
, Market nicher,,,,,,
, New entrant to the market,,,,,,
, Market Leader,,,,,,
,,,,,,,
,Which of the following trains and motivates its employees to serve the consumers weel,B,M,Theory,Single Choice,Marketing :Market :Strategies:,
, Promotional marketing,,,,,,
, Internal marketing,,,,,,
, External marketing,,,,,,
, Interactive marketing,,,,,,
,,,,,,,
,Where does the company tries to explain the skills of its employees to customers?,D,H,Theory,Single Choice,Marketing :Market :Strategies:,
, Promotional marketing,,,,,,
, Internal marketing,,,,,,
, External marketing,,,,,,
, Interactive marketing,,,,,,
,,,,,,,
,Which of the following brand elements are used to make service and benefits more tangible?,D,E,Theory,Single Choice,Marketing:Brand Management:Brand Management elements:,
, Characters,,,,,,
, Symbols,,,,,,
, Logos,,,,,,
, All of the above,,,,,,
,,,,,,,
,"Irrespective of segmentation schemes, key element of market program to recognize?",C,M,Theory,Single Choice,Marketing:Brand Management:Brand Management elements:,
, Saturated markets,,,,,,
, Disposable income earned by the targeted group,,,,,,
, Differences between the customers,,,,,,
, None of the above,,,,,,
,,,,,,,
,National level advertising campaigns look irrelevant to the people who prefer localized markets because,A,H,Theory,Single Choice,Marketing:Advertising :Advertising Campaigns:,
, They don't represent the local needs,,,,,,
, It depicts the logistics problem,,,,,,
, It contains two conflicting messages of marketing,,,,,,
, Both A and C,,,,,,
,,,,,,,
,"Marketing techniques involving student ambassadors, online events and street level program to reach their target customers. Here the marketing manager is try to reach ..?",C,M,Theory,Single Choice,Marketing::ing:,
, Generation X,,,,,,
, Generation Z,,,,,,
, Generation Y,,,,,,
, both Generation X and Y,,,,,,
,,,,,,,
