,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,     None of the above,,,,,,
,,,,,,,
,     Which of the following involves sending a message to someone because it is newsworthy and is published or broadcast without charge to the sender? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Publicity,,,,,,
,     Sales promotion,,,,,,
,      Public relation,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following is often confused with publicity? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Sales promotion,,,,,,
,     Marketing public relation,,,,,,
,      Direct marketing,,,,,,
,     Public relation,,,,,,
,,,,,,,
,     Which of the following builds brand equity or good will to the brand according to few marketers? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Public relation,,,,,,
,     Trade promotion,,,,,,
,      Publicity,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following cuts out the middleman and allows the manufacture to reach out to the customer directly? ,c,M,Theory,Single Choice,Marketing: Adveritising,
,     Public relation,,,,,,
,     Publicity,,,,,,
,      Direct marketing,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following is not mentioned in starch model theory regarding characteristic of advertisement? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Seen,,,,,,
,     Read,,,,,,
,      Believed,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     AIDA model stresses on ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Attention,,,,,,
,     Interest,,,,,,
,      Desire,,,,,,
,     All the above,,,,,,
,,,,,,,
,     Sales promotion schemes are generally targeted at ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Sales force,,,,,,
,     Trade,,,,,,
,      Customer,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which is following is a monetary reward paid to the retail outlet based on the units sold over a period of time? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Push money,,,,,,
,     Pay loader,,,,,,
,      Dealer loader,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is a premium given by the manufacturer to a dealer for buying a certain quantity of merchandize? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Push money,,,,,,
,     Pay loader,,,,,,
,      Dealer loader,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is a legal certificate offered by companies and retailers that grand specified savings on some products when presented for redemption? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Sweepstakes,,,,,,
,     Coupons,,,,,,
,      Mail Premium,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following scheme calls for some proofs of purchase and payment before the announced gifts arrive? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Sweepstakes,,,,,,
,     Coupons,,,,,,
,      Mail premium,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following involves call for continuous purchase or use of a service? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Speciality items,,,,,,
,     Continuity programs,,,,,,
,      Consumer care,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"   The HLL brand Lux had its brand ambassador and actress, Aishwarya Rai on the bill board, enticing passerby with the words ",A,M,Theory,Single Choice,Marketing: Adveritising,
,     Meri tarah jiyoge,,,,,,
,     Thandurusti hain vaham,,,,,,
,      Swad zindagi ka,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   According which of the following can be linked with a brand name ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Product attributes,,,,,,
,     Intangibles,,,,,,
,      Relative price,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Brand equity can be measured by its ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Effectiveness,,,,,,
,     Comprehensiveness,,,,,,
,      Intensiveness,,,,,,
,     All the above,,,,,,
,,,,,,,
,"   Which of the following refers to the total number of people who have thoughts, feelings or sensations evoked by the product? ",A,M,Theory,Single Choice,Marketing: Adveritising,
,     Effectiveness,,,,,,
,     Comprehensiveness,,,,,,
,      Intensiveness,,,,,,
,     All the above,,,,,,
,,,,,,,
,"   Which of the following refers to the generalizability of the thoughts, sensations and feelings evoked by the brand? ",B,M,Theory,Single Choice,Marketing: Adveritising,
,     Effectiveness,,,,,,
,     Comprehensiveness,,,,,,
,      Intensiveness,,,,,,
,     All the above,,,,,,
,,,,,,,
,"   Which of the following refers to the strength ofthe thoughts, feelings and sensations evoked by the brand? ",C,M,Theory,Single Choice,Marketing: Adveritising,
,     Effectiveness,,,,,,
,     Comprehensiveness,,,,,,
,      Intensiveness,,,,,,
,     All The above,,,,,,
,,,,,,,
,     Which of the following can be defined as those groups of people whose approval we all seek as human beings? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Society,,,,,,
,     Social class,,,,,,
,      Reference group,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following person’s belief and attitudes are considered right and held in esteem by people who an interest in some specific activity? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Consultants,,,,,,
,     Opinion leader,,,,,,
,      Cine stars,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"     While McDonald entered India with Mutton based burger in India, which of the following is its core product world wide? ",C,M,Theory,Single Choice,Marketing: Adveritising,
,     Chicken,,,,,,
,     Cheese,,,,,,
,      Beef,,,,,,
,     All the above,,,,,,
,,,,,,,
,     Which of the following is a study of symbols and the meanings they convey ? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Semiotic research,,,,,,
,     Motivational research,,,,,,
,      Both a and b,,,,,,
,     Niether a nor b,,,,,,
,,,,,,,
,     Which of the following is used by ICICI Prudential life Insurance? ,a,M,Theory,Single Choice,Marketing: Adveritising,
,     Symbolic Gesture,,,,,,
,     Emotion,,,,,,
,      Feelings,,,,,,
,     All the above,,,,,,
,,,,,,,
,     The consumer research methods broadly consist of ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Experiments,,,,,,
,     Survey techniques,,,,,,
,      Observations,,,,,,
,     All the above,,,,,,
,,,,,,,
,"     In which of the following sampling, population is divided into mutually exclusive groups and random samples are drawn from these groups? ",B,M,Theory,Single Choice,Marketing: Adveritising,
,     Simple random sampling,,,,,,
,     Stratified random sampling,,,,,,
,      Cluster sampling,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"     In which of the following sampling, population is divided into mutually exclusive groups and then the researcher draws a sample from the groups to be interviewed? ",C,M,Theory,Single Choice,Marketing: Adveritising,
,     Simple random sampling,,,,,,
,     Stratified random sampling,,,,,,
,      Cluster sampling,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"     Which of the following sampling, the researcher selects the most accessible population member from whom to obtain information? ",A,M,Theory,Single Choice,Marketing: Adveritising,
,     Convenience sampling,,,,,,
,     Judgement sampling,,,,,,
,      Quota sampling,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"   Which of the following sampling, the researcher uses his judgement to select people to gather information? ",B,M,Theory,Single Choice,Marketing: Adveritising,
,     Convenience sampling,,,,,,
,     Judgement sampling,,,,,,
,      Quota sampling,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"   Which of the following sampling, the researcher uses a prescribed number of respondents from one or many categories such as age, income group etc? ",C,M,Theory,Single Choice,Marketing: Adveritising,
,     Convenience sampling,,,,,,
,     Judgement sampling,,,,,,
,      Quota sampling,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the category has a desire for the finer things in life? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Actualizers,,,,,,
,     Fulfillers,,,,,,
,      Believers,,,,,,
,     Achievers,,,,,,
,,,,,,,
,"   Which of the category is conservative and practical as consumers and are concerned about functionality, value and durability? ",B,M,Theory,Single Choice,Marketing: Adveritising,
,     Actualizers,,,,,,
,     Fulfillers,,,,,,
,      Believers,,,,,,
,     Achievers,,,,,,
,,,,,,,
,"   Which of the category is conservative, conventional, with strong attachments to traditional institutions? ",C,M,Theory,Single Choice,Marketing: Adveritising,
,     Actualizers,,,,,,
,     Fulfillers,,,,,,
,      Believers,,,,,,
,     Achievers,,,,,,
,,,,,,,
,"   Which of the category is successful, work oriented, in control of their lives? ",D,M,Theory,Single Choice,Marketing: Adveritising,
,     Actualizers,,,,,,
,     Fulfillers,,,,,,
,      Believers,,,,,,
,     Achievers,,,,,,
,,,,,,,
,   Which of the following is considered to be a sado-masochistic need? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Aggression,,,,,,
,     Abetment,,,,,,
,      Both a and b,,,,,,
,     Neither a nor b,,,,,,
,,,,,,,
,   An effective communication aims at which of the following? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Motivating new behaviour,,,,,,
,     Reinforcing existing positive behaviour,,,,,,
,     Diffusing or neutralising negative behaviour,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following is also known as situation analysis research? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Positioning research,,,,,,
,     Competitive activity research,,,,,,
,     Perceptual mapping,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is not the characteristic of brainstorming which is extensively used in advertising? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     No ideas is criticized,,,,,,
,     Free wheeling is encouraged,,,,,,
,      Cross fertilisation,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is the key element of advertisement? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Captions,,,,,,
,     Panel,,,,,,
,     Slogan,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following person responsible for visual presentation of advertisement? ,a,M,Theory,Single Choice,Marketing: Adveritising,
,     Art director,,,,,,
,     Graphic designer,,,,,,
,      Illustrator,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Who of the following is also called as Precision specialist? ,b,M,Theory,Single Choice,Marketing: Adveritising,
,     Rt director,,,,,,
,     Graphic designer,,,,,,
,      Illustrator,,,,,,
,     All the above,,,,,,
