,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,,,,,,,
,"In__________, internal workshop consisting of important aspects of ‘detailed strategic definition’ and ‘objectives of the brand’ is arranged.",A,M,Theory,Single Choice,Marketing:Brand Management,
, Brand chartering  ,,,,,,
, Brand planning,,,,,,
, Brand extension ,,,,,,
, Brand equity,,,,,,
,,,,,,,
,"To keep your brand into recognition, it is important to __ according to an effective through plan.",A,H,Theory,Single Choice,Marketing:Advertising,
, Advertise  ,,,,,,
, Position,,,,,,
, Place ,,,,,,
, Market,,,,,,
,,,,,,,
," __________ evokes a hierarchical set of customer response effects – i.e. building awareness, comprehension, intentions, and actions.",B,M,Theory,Single Choice,Marketing:Advertising:Marketing Communications,
, Distribution  ,,,,,,
, Communication,,,,,,
, Merchandizing  ,,,,,,
, Branding,,,,,,
,,,,,,,
,The term “story board” is specifically related to:,A,H,Theory,Single Choice,Marketing:Advertising:Marketing Communications,
, TV commercial ,,,,,,
, Newspaper Editorial,,,,,,
, Magazine ad  ,,,,,,
, Press release,,,,,,
,,,,,,,
,An effective advertising campaign:,D,M,Theory,Single Choice,Marketing:Advertising,
, Revolves around a strong single idea  ,,,,,,
, Should appeal to self interest of customer,,,,,,
, Must not wander off  ,,,,,,
, All of the given options,,,,,,
,,,,,,,
,Duration of __________ should be short and should not be repeated too often.,A,M,Theory,Single Choice,Marketing:Sales Promotion,
, Sales promos  ,,,,,,
, Market promos,,,,,,
, Brand promos  ,,,,,,
, Product promos,,,,,,
,,,,,,,
,Delivery services offered by restaurants and other food chains in our market on phone calls are examples of:,B,H,Theory,Single Choice,Marketing:Direct Marketing,
, Sales promotion  ,,,,,,
, Direct marketing,,,,,,
, Publicity ,,,,,,
, Personal selling,,,,,,
,,,,,,,
,Which of the following strategy give the benefit of premium pricing?,A,M,Theory,Single Choice,Marketing:Pricing Strategy,
, Umbrella strategy ,,,,,,
, Line brand strategy,,,,,,
, Product brand strategy,,,,,,
, Branding strategy,,,,,,
,,,,,,,
,_________ works best under the circumstances of high differentiation that gives you a sustainable advantage in a quality conscious market.,B,M,Theory,Single Choice,Marketing:Pricing Strategy,
, Value-in-use Pricing: ,,,,,,
, Skim Pricing,,,,,,
, Segment pricing  ,,,,,,
, Strategic account pricing,,,,,,
,,,,,,,
,________ lets you to have a clear picture of the number of customers or usage of your brand in comparison with competition.,A,M,Theory,Single Choice,Marketing,
, Market share  ,,,,,,
, Brand share,,,,,,
, Product share  ,,,,,,
, Customer share,,,,,,
,,,,,,,
,___ lets you to have your loyal customer’s lifetime worth in terms of your brand’s purchasing.,A,M,Theory,Single Choice,Marketing,
, Lifetime value of a customer ,,,,,,
, Lifetime value of a brand,,,,,,
, Lifetime value of a company  ,,,,,,
, Lifetime value of a market,,  ,,,,
,,,,,,,
,What purpose does an advertising copy serves?,D,M,Theory,Single Choice,Marketing:Advertising,
, Provides a degree of continuity in a brand’s advertising,,,,,,
, Help a brand achieve distinctiveness,,,,,,
, Provides a common benchmark on which all concerned in the company and the agency can evaluate the merits of advertising submissions,,,,,,
, All of the given options,,,,,,
,,,,,,,
,_____ of ad means how many times you should expose your target customers to your message.,A,M,Theory,Single Choice,Marketing:Advertising:Marketing Communications,
, Frequency  ,,,,,,
, Copy,,,,,,
, Copy strategy  ,,,,,,
, Media,,,,,,
,,,,,,,
,Advertising is part of sales promotion by creating awareness and comprehension that form a level of __________.,A,M,Theory,Single Choice,Marketing:Advertising,
, Customer pull,,,,,,
, Customer push,,,,,,
, Customer loyal,,,,,,
, Customer image,,,,,,
,,,,,,,
,___ is a mode of direct marketing owes to well structured communications in the form of catalogs.,A,M,Theory,Single Choice,Marketing:Telecom Marketing,
, Telemarketing  ,,,,,,
, Sales promotion,,,,,,
, Advertising ,,,,,,
, Publicity,,,,,,
,,,,,,,
,"If a company introducing a new brand under the source brand or endorsing brand strategy to gain the benefits of brand power, you again are in a position to charge a __.",A,M,Theory,Single Choice,Marketing:Pricing Strategy,
, Premium price,,,,,,
, Skimming price,,,,,,
, Market based price,,,,,,
, Retail price,,,,,,
,,,,,,,
,This pricing model offers opportunity to set different levels of pricing for different needs is known as __________.,A,H,Theory,Single Choice,Marketing:Pricing Strategy,
, Segment pricing,,,,,,
, Skim pricing,,,,,,
, Value-in-use pricing,,,,,,
, Strategic account pricing,,,,,,
,,,,,,,
,The brand stature construct is equivalent to:,A,M,Theory,Single Choice,Marketing:Brand Management,
, Esteem multiplied by knowledge,,,,,,
, Differentiation multiplied by knowledge,,,,,,
, Knowledge multiplied by relevance,,,,,,
, Esteem multiplied by differentiation,,,,,,
,,,,,,,
,The process of establishing and maintaining a distinctive place in the market for an organization or its specific product offers is known as __________.,D,M,Theory,Single Choice,Marketing,
, Profiling   ,,,,,,
, Profiling Segmentation,,,,,,
, Segmentation   ,,,,,,
, Positioning,,,,,,
