,Question,Answer,Level,Category,Type,Type,Answer Description
,Certificate of Deposits,,,,,,
,Masala Bonds,,,,,,
,Corporate Bonds,,,,,,
,,,,,,,
,Find the odd one out,D,E,Theory,Single Choice,Investment banking,
,Beta,,,,,,
,Risk Free Rate of Return,,,,,,
,Risk Premium,,,,,,
,Weighted Average Cost of capital,,,,,,
,,,,,,,
,"Fill in the blanks. Scottish economist and moral philosopher Adam Smith wrote ""An inquiry into the Nature and Causes of the _____.""",B,H,GK,Single Choice,Investment banking,
,Wealth of countries,,,,,,
,Wealth of the nations,,,,,,
,Wealth of the world,,,,,,
,Wealth of the Economies,,,,,,
,,,,,,,
,Which of the following statements is true,C,M,Theory,Single Choice,Investment banking,
,"If NPV of a project is greater than 0, its PI will be equal to 0",,,,,,
,"If IRR of a project is 0%, its NPV, using a discount rate k, greater than 0, will be 0",,,,,,
,"if the PI of a project is greater than 1, its NPV should be less than 0",,,,,,
,"if project has an IRR greater than 10%, its PI will be greater than 1",,,,,,
,,,,,,,
,"In context of annual reports of a company, MDA stands for",B,E,Theory,Single Choice,Investment banking,
,Management Debate and Analysis,,,,,,
,Management Discussion and Analysis,,,,,,
,Management Development and Analysis,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Interest rates are critical for a firm because with increase in interest rates, cost of fund acquisition ___ and income from assets ___",A,E,Theory,Single Choice,Investment banking,
,"increase, decrease",,,,,,
,"decrease, increase",,,,,,
,"decrease, decrease",,,,,,
,"increase, increase",,,,,,
,,,,,,,
,Which valuation ratio is most used in banking industry,A,M,GK,Single Choice,Investment banking,
,Price to Book Value,,,,,,
,EV/EBITDA,,,,,,
,EV/Sales,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is an example of a hostile takeover,D,E,GK,Single Choice,Investment banking,
,Exxon- Mobil,,,,,,
,Tata Motors- Corus plc,,,,,,
,ABInBev-SABMiller,,,,,,
,AOL and Time Warner,,,,,,
,,,,,,,
,"A company is selling shares of Rs.24 and have paid a dividend of Re.1 per share for the most recent year. Risk free rate is 4%, Beta=1.2, Equity risk premium=5%. Determine the constant dividend growth rate that would justify the market price of 24",B,M,Numerical,Single Choice,Investment banking,
,5.40%,,,,,,
,5.60%,,,,,,
,5.80%,,,,,,
,6%,,,,,,
,,,,,,,
,Stock Split has the following benefits except,C,E,Theory,Single Choice,Investment banking,
,It affects neither the reserves nor the shareholder's funds,,,,,,
,It provides liquidity to the company,,,,,,
,It has tax benefits,,,,,,
,All of the above,,,,,,
,,,,,,,
,"A company is considering purchasing a machinery for Rs. 5000. The required rate of return is 10% and it has the following return:
 Y1-Rs.3000 Y2- Rs.2000 Y3- Rs.2000. Calculate Profitability Index",B,M,Numerical,Single Choice,Investment banking,
,0.72,,,,,,
,1.17,,,,,,
,1.4,,,,,,
,1.72,,,,,,
,,,,,,,
,Weak form EMH suggests that stock prices fully reflect which of the following type of information,A,M,Logical,Single Choice,Investment banking,
,Market only,,,,,,
,Market and Public,,,,,,
,Public and Private,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is the most critical factor for assessing the peers of a firm,B,M,Theory,Single Choice,Investment banking,
,"similar in size, industry life cycle, and cyclicality",,,,,,
,derive their revenues from similar business activities,,,,,,
,are both grouped in same SIC classification,,,,,,
,None of these,,,,,,
,,,,,,,
,Which of the following statement is least accurate with respect to the factors that impact the P/E multiple for a stock,D,H,Theory,Single Choice,Investment banking,
,"the higher the market risk premium, the higher the P/E ratio will be",,,,,,
,"the higher the stock beta, the lower the P/E ratio will be",,,,,,
,"the lower the risk free rate, the higher will be the P/E ratio",,,,,,
,"the higher the growth rate in projected earnings, the higher the P/E ratio will be",,,,,,
,,,,,,,
,"Company A makes an offer to buy Company XYZ, which does not want to sell to Company A. Therefore it starts seeking other bidders. Company B comes forward as a potential buyer and appears much more willing to work with Company XYZ's terms for a sale. The two companies agree on a price and terms, at which point Company B turns around and brings Company A into the deal by obtaining funding from it. What strategy is this",D,M,Logical,Single Choice,Investment banking,
,Macaroni Defense,,,,,,
,Golden Parachute,,,,,,
,Poison Pill,,,,,,
,Lady Macbeth Strategy,,,,,,
,,,,,,,
,Find the odd one out,A,E,GK,Single Choice,Investment banking,
,Live Nation-TicketMaster,,,,,,
,ABInBev-SABMiller,,,,,,
,Flipkart-Myntra,,,,,,
,Facebook- Whatsapp,,,,,,
,,,,,,,
,Beta of a firm depends upon the following except,D,M,Theory,Single Choice,Investment banking,
,Operating leverage,,,,,,
,Nature of the business,,,,,,
,Financial leverage,,,,,,
,All of the above,,,,,,
,,,,,,,
,"Which of the following statements is true regarding FCF) Free cash flows are inclusive of Capital Structure.
 II) Free Cash flow is a cash flow that flows through the company after all cash expenses have been taken out.
 III) Free cash flows are exclusive of Capital structure.
 IV) Free Cash flows represent the total amount of cash that a company has left from its operations.",D,H,Theory,Single Choice,Investment banking,
,Only I and II,,,,,,
,Only II and III,,,,,,
,Only III and IV,,,,,,
,Only III,,,,,,
,,,,,,,
,All of the following are high Beta sectors except:,B,H,GK,Single Choice,Investment banking,
,Automobile sector,,,,,,
,Healthcare,,,,,,
,Banking sector,,,,,,
,Real estate sector,,,,,,
,,,,,,,
,This strategy is performed by purchasing an out of the money put option and writing an out of the money call option at the same time for the same underlying asset,D,M,Theory,Single Choice,Investment banking,
,Long Strangle,,,,,,
,Bear Put Spread,,,,,,
,Iron Butterfly,,,,,,
,Protective Collar,,,,,,
,,,,,,,
,"Fill in the blanks. When an investor buys more of a stock as the price goes down, he is _____.",B,E,Theory,Single Choice,Investment banking,
,Straddling,,,,,,
,Averaging Down,,,,,,
,Building a position,,,,,,
,Adding Up,,,,,,
,,,,,,,
,Which of the following statements is false,C,M,Theory,Single Choice,Investment banking,
,Beta represents systematic risk,,,,,,
,Standard deviation of returns is a measure of the total risk,,,,,,
,Unsystematic risk for diversified portfolio is huge,,,,,,
,Total risk for a diversified portfolio is essentially equal to its systematic risk,,,,,,
,,,,,,,
,What does ASR stands for,D,E,Theory,Single Choice,Investment banking,
,Adjusted Share Recovery,,,,,,
,Adaptive Share Recovery,,,,,,
,Adjusted Share Repurchase,,,,,,
,Accelerated Share Repurchase,,,,,,
,,,,,,,
,"If the fair value as per DCF comes to INR 380, and the current market price of the stock is INR 420 , this implies",A,M,Theory,Single Choice,Investment banking,
,Stock is overvalued - Sell Signal,,,,,,
,Stock is overvalued - Buy Signal,,,,,,
,Stock is undervalued - Buy signal,,,,,,
,Stock is undervalued - Sell Signal,,,,,,
,,,,,,,
,Which valuation ratio is most useful for a cement company,A,M,Theory,Single Choice,Investment banking,
,EV/ Tonne,,,,,,
,EV/EBITDA,,,,,,
,EV/Sales,,,,,,
,None of the above,,,,,,
,,,,,,,
,Nirma acquired Lafarge India cements for,D,H,GK,Single Choice,Investment banking,
,$1 bn,,,,,,
,$1.6bn,,,,,,
,$1.4 bn,,,,,,
,$2 bn,,,,,,
,,,,,,,
,Which of the following strategies should be adopted to cap the profits at Rs. 20 (assuming no premium involved)?,A,M,Theory,Single Choice,Investment banking,
,Buy a call at 100 & a put at 120,,,,,,
,Buy a put at 100 & sell a put at 90,,,,,,
,Buy a call at 100 & sell a call at 120,,,,,,
,All of the above,,,,,,
,,,,,,,
,"Revenues – INR 15,75,00,000
 Total Operating costs (includes depreciation) – INR 7,00,00,000
 Depreciation – INR 45,00,000
 Interest – INR 30,00,000
 Tax – 35%
 Capex – INR 80,00,000
 Change in WC – INR 40,00,000

 No debt repayments expected:",A,E,Numerical,Single Choice,Investment banking,
,"INR 4,64,50,000",,,,,,
,"INR 4,82,70,000",,,,,,
,"INR 4,75,60,000",,,,,,
,"INR 4,93,75,000",,,,,,
,,,,,,,
,All of the following are true for stock split except,A,E,Theory,Single Choice,Investment banking,
,It changes Reserves & Surplus,,,,,,
,It doesn't affect the market capitalisation of the firm,,,,,,
,The number of outstanding shares is increased,,,,,,
,Proportional ownership is unchanged,,,,,,
,,,,,,,
,Which of the following is the safest investment instrument,A,M,Theory,Single Choice,Investment banking,
,Government securities,,,,,,
,Stocks,,,,,,
,Crude Oil,,,,,,
,Options,,,,,,
,,,,,,,
,ICICI direct has revised the target price for Tata steel from 524 to 500. Identify the type of equity research report?,D,M,GK,Single Choice,Investment banking,
,IPO report,,,,,,
,Sector report,,,,,,
,Result update report,,,,,,
,Initial coverage report,,,,,,
,,,,,,,
,Who is the primary investor in Housing.com,B,E,GK,Single Choice,Investment banking,
,News Corp,,,,,,
,SoftBank,,,,,,
,TigerProp,,,,,,
,None of the above,,,,,,
,,,,,,,
,Ann aggressive stock would have beta which is,C,M,Logical,Single Choice,Investment banking,
,equal to 0,,,,,,
,less than 1,,,,,,
,greater than 1,,,,,,
,equal to 1,,,,,,
,,,,,,,
,"You invest $1000 to buy $1,500 worth of stock on margin. The value of the stock drops by 50%. You sell it. Approximately how much of your original $500 investment are you left with in the end?",A,E,Numerical,Single Choice,Investment banking,
,$250,,,,,,
,$500,,,,,,
,0,,,,,,
,None of these,,,,,,
,,,,,,,
,"Manawala Chemicals Limited, listed on BSE, has an expected growth rate of 8%. Each equity share just received an annual Rs.2.80 dividend. The required rate of return is 13%. Intrinsic value of a share is",B,M,Numerical,Single Choice,Investment banking,
,56,,,,,,
,60.48,,,,,,
,61.48,,,,,,
,56.66,,,,,,
,,,,,,,
,Which of the following is not a method for valuation of a company,D,M,Theory,Single Choice,Investment banking,
,Asset Valuation,,,,,,
,Discounted cash flow,,,,,,
,Industry rule of thumb,,,,,,
,Economic Climate Method,,,,,,
,,,,,,,
,"For a plain vanilla interest rate swap, a decrease in interest rates will most likely. Which of the following statements is/are correct?

 I) increase the value of the fixed leg of the swap
 II) decrease the value of the fixed leg of the swap
 III) leave the value of the floating leg unchanged",A,H,Logical,Single Choice,Investment banking,
,Only I,,,,,,
,Only II,,,,,,
,Only III,,,,,,
,Only I and III,,,,,,
,,,,,,,
,"If the Market value of a company is less than the intrinsic value, then the company is:",B,M,Theory,Single Choice,Investment banking,
,Overvalued,,,,,,
,Undervalued,,,,,,
,Fairly Valued,,,,,,
,Cannot be determined,,,,,,
,,,,,,,
,The Efficient Market MCQ states that,C,M,Theory,Single Choice,Investment banking,
,The past price movements partially reflect in the current market prices,,,,,,
,The past price movements do not reflect in the current market prices,,,,,,
,The past price movements fully reflect in the current market prices,,,,,,
,None of the above,,,,,,
,,,,,,,
,When would an investor like to purchase a put option ?,B,H,Theory,Single Choice,Investment banking,
,The price of the underlying equity may go up,,,,,,
,The price of the underlying equity may go down,,,,,,
,The price of the underlying equity may remain the same,,,,,,
,Both a & c,,,,,,
,,,,,,,
,Which of the following statements is true,B,H,logical,Single Choice,Investment banking,
,High growth sectors will have low EV/ EBITDA multiple,,,,,,
,Higher cost of capital will have lower EV/ EBITDA multiple,,,,,,
,high capital intensity firms will tend to have higher value/EBITDA ratios,,,,,,
,None of the above,,,,,,
,,,,,,,
,What does ABI stand for,A,M,GK,Single Choice,Investment banking,
,Absolute Breadth Index,,,,,,
,Absolute Breadth Indicator,,,,,,
,Analytical Breadth Indicator,,,,,,
,Analytical Breadth Index,,,,,,
,,,,,,,
,Which of the options represent the correct method of arriving at Equity Value from Enterprise Value?,C,E,Theory,Single Choice,Investment banking,
,EV (including non-core assets)+Cash-Debt-Pref shares+Minority Interest,,,,,,
,EV (excluding non-core assets)+Cash-Debt-Pref shares-Minority Interest,,,,,,
,EV (including non-core assets)+Cash-Debt-Pref shares-Minority Interest,,,,,,
,EV (excluding non-core assets)+Cash-Debt-Pref shares+Minority Interest,,,,,,
,,,,,,,
,Which of the following gives the correct relation,C,H,Theory,Single Choice,Investment banking,
,Crude oil and gold prices tend to move in different directions,,,,,,
,Crude oil and US dollar prices tend to move in the same direction,,,,,,
,Nickel prices and US dollar prices tend to move in different directions,,,,,,
,All of the above,,,,,,
,,,,,,,
,"____ has operations in India, and recently agreed to buy US based cloud services, ___ for more than Rs. 3,000 cr. Name firms X and Y",C,E,GK,Single Choice,Investment banking,
,"Oracle, Polycom",,,,,,
,"Cisco, NetSuite",,,,,,
,"Wipro, Appirio",,,,,,
,"Cisco, Adapt",,,,,,
,,,,,,,
,"Calculate the value per share given the following information:

 EV = $16,277.2
 Net Debt (cash) = ($563.8)
 Cash & Cash Equivalents = $648.3
 Value of minorities = $1,034.8
 Value of equity investments = $872.2
 Basic shares outstanding = 1,064.8
 Diluted shares outstanding = 1,101.0",B,M,Numerical,Single Choice,Investment banking,
,15,,,,,,
,15.15,,,,,,
,15.3,,,,,,
,15.45,,,,,,
,,,,,,,
,"Complete this quote from the 1987 Wall Street movie 
 The bulls make money, the bears make money, it's the ___ that get slaughtered.",B,E,Theory,Single Choice,Investment banking,
,Rabbits,,,,,,
,Pigs,,,,,,
,Eagles,,,,,,
,Raccoons,,,,,,
,,,,,,,
,Which has globally been the largest completed IPO since Alibaba?,C,E,GK,Single Choice,Investment banking,
,Agricultural Bank of China,,,,,,
,Industrial and Commercial Bank of China,,,,,,
,Postal Savings Bank of China,,,,,,
,Ferrari,,,,,,
,,,,,,,
,The 2008 economic crisis were blamed partly on what kind of derivatives,D,M,GK,Single Choice,Investment banking,
,Currency Swap,,,,,,
,Interest Swaps,,,,,,
,Equity Swaps,,,,,,
,Credit Default Swaps,,,,,,
,,,,,,,
,Which of the following is not a stock valuation method,B,E,Theory,Single Choice,Investment banking,
,Gordon Growth Model,,,,,,
,Markowitz Model,,,,,,
,Generalized Dividend Model,,,,,,
,One-period valuation Model,,,,,,
,,,,,,,
,If the intrinsic value of a share is Rs.15 and the share is trading at Rs.20. what should be the action taken by an investor,D,H,Logical,Single Choice,Investment banking,
,Investors should stay away from the stock as it is cheaper than the intrinsic value,,,,,,
,Investors should stay away from the stock as it is expensive than intrinsic value,,,,,,
,Investors should purchase the share as it is expensive than its intrinsic value,,,,,,
,Investors should purchase the stock as it is cheaper than its intrinsic value,,,,,,
,,,,,,,
,It is extremely peculiar when a firm’s actual bank balance is greater than the firm’s book. What is this phenomenon called,A,M,Theory,Single Choice,Investment banking,
,Profit float,,,,,,
,Excess float,,,,,,
,Profit spread,,,,,,
,Excess spread,,,,,,
,,,,,,,
,The difference between the bid and the ask prices of a stock is called,A,E,Theory,Single Choice,Investment banking,
,Spread,,,,,,
,Trough,,,,,,
,Shield,,,,,,
,Default,,,,,,
,,,,,,,
,"The Beta value of Joka Inc. is 2. The risk free rate is 5% and the expected return on the market portfolio is 15%. The company recently paid an annual dividend of $10 per share, and investors expect it to experience a growth in dividends of 7.5% per annum for many years to come.

What is the stock’s present market price per share, assuming the required rate of return is determined by the CAPM?",C,M,Numerical,Single Choice,Investment banking,
,39.09,,,,,,
,57.14,,,,,,
,61.43,,,,,,
,86.01,,,,,,
,,,,,,,
,"Rich Industries currently pays a dividend of $4. Richie Rich Jr. has asked an analyst to value his company. The analyst forecasts growth of 7% for the next four years, followed by 5% growth in perpetuity. The required return is 10%. 

Calculate the current value per share of Rich Industries as per the analyst",A,M,Numerical,Single Choice,Investment banking,
,83.31%,,,,,,
,90.14%,,,,,,
,90%,,,,,,
,91%,,,,,,
,,,,,,,
,Company A decides to purchase a 30 Yr-bond with face value of $1000 for $700 at a date 15 Yrs from the issue. The coupon is $30. The Yield to Maturity is,B,E,Numerical,Single Choice,Investment banking,
,3.88%,,,,,,
,5.88%,,,,,,
,6.00%,,,,,,
,5.00%,,,,,,
,,,,,,,
,Protective covenants are:,D,E,Theory,Single Choice,Investment banking,
,To protect employees.,,,,,,
,To protect the interests of the company.,,,,,,
,To protect shareholders.,,,,,,
,To protect bondholders,,,,,,
,,,,,,,
,"Which all items are deducted to get Free Cash Flows to the Firm

 I) Interest
 II) Depreciation
 III) Capex
 IV)Net Change in Working Capital",D,H,logical,Single Choice,Investment banking,
,Only I,,,,,,
,Only I and IV,,,,,,
,"I, III, IV",,,,,,
,"I, II, III, IV",,,,,,
,,,,,,,
,"Complete this quote from the 1987 Wall Street movie 
 The bulls make money, the bears make money, it's the ___ that get slaughtered.",B,E,GK,Single Choice,Investment banking,
,Rabbits,,,,,,
,Pigs,,,,,,
,Eagles,,,,,,
,Raccoons,,,,,,
,,,,,,,
,Which of the following is false,D,H,Theory,Single Choice,Investment banking,
,A deep out of the money put options has high volatility,,,,,,
,A stock’s gamma tends to increase as the options moves from deep out of the money to at the money,,,,,,
,A trader having a long call is expecting the volatility to increase in the future,,,,,,
,A stock’s delta is between 0.8 and 0.9 for an at the money option,,,,,,
,,,,,,,
,State which of the following is true,C,M,Theory,Single Choice,Investment banking,
,Accounting income is same as taxable income,,,,,,
,Accounting income is generally less than Taxable income,,,,,,
,Accounting income is generally more than Taxable income,,,,,,
,Can't say,,,,,,
,,,,,,,
,Which of the following statements is true,B,E,Theory,Single Choice,Investment banking,
,"Increase in WACC, increases NPV",,,,,,
,"Increase in WACC, decreases NPV",,,,,,
,"Decrease in WACC, decreases NPV",,,,,,
,None of the above,,,,,,
,,,,,,,
,What does CDO stand for,B,E,Gk,Single Choice,Investment banking,
,Compounded Debt Obligation,,,,,,
,Collateralized Debt Obligation,,,,,,
,Collateralized Debt Outstanding,,,,,,
,Compounded Debt Outstanding,,,,,,
,,,,,,,
,All of the following effects WACC except,D,E,Theory,Single Choice,Investment banking,
,Interest rates,,,,,,
,Financial Leverage,,,,,,
,Risk,,,,,,
,Operating Leverage,,,,,,
,,,,,,,
,Which of the following is not necessarily an input required for DCF valuation technique?,A,H,Theory,Single Choice,Investment banking,
,Terminal Value,,,,,,
,Sustainable growth rate,,,,,,
,WACC,,,,,,
,All of these are required,,,,,,
,,,,,,,
,Newly inaugurated India INX is a wholly owned subsidiary of,D,E,GK,Single Choice,Investment banking,
,Gujarat International Financial Tech (GIFT),,,,,,
,International Financial Service Centre (IFSC),,,,,,
,National Stock Exchange (NSE),,,,,,
,Bombay Stock Exchange (BSE),,,,,,
,,,,,,,
,"A company, which declared dividends of $2 last year, has a retention ratio of 50% and ROE of 8%. With a market beta of 1.2, risk premium of 5% and risk free rate of 8%, what could be the ideal per share value of the company?",B,M,Numerical,Single Choice,Investment banking,
,20.80%,,,,,,
,32%,,,,,,
,30.50%,,,,,,
,30%,,,,,,
,,,,,,,
,Which of the following companies cannot be relatively valued using P/E ratio,C,H,Theory,Single Choice,Investment banking,
,Infosys,,,,,,
,Sun Pharma,,,,,,
,SBI,,,,,,
,Tata Motors,,,,,,
,,,,,,,
,The proposed percentage of ownership to be available to public in bse ipo,A,E,GK,Single Choice,Investment banking,
,30%,,,,,,
,70%,,,,,,
,20%,,,,,,
,25%,,,,,,
,,,,,,,
,The floor value of a listed company is,C,H,Theory,Single Choice,Investment banking,
,Total assets of the company,,,,,,
,Total market capitalization of the company,,,,,,
,"Cash that remains after a company sells off its assets, shuts operation and pays off its creditors",,,,,,
,Cash that remains after a company sells off its assets and pays off its creditors,,,,,,
,,,,,,,
,If the intrinsic value of a share is Rs.15 and the share is trading at Rs.20. what should be the action taken by an investor,D,H,Logical,Single Choice,Investment banking,
,Investors should stay away from the stock as it is cheaper than the intrinsic value,,,,,,
,Investors should stay away from the stock as it is expensive than intrinsic value,,,,,,
,Investors should purchase the share as it is expensive than its intrinsic value,,,,,,
,Investors should purchase the stock as it is cheaper than its intrinsic value,,,,,,
,,,,,,,
,Which of these investment avenues is not considered to be safe haven,E,M,Theory,Single Choice,Investment banking,
,Gold,,,,,,
,US Treasury Securities,,,,,,
,USD CHF,,,,,,
,None of the above,,,,,,
,,,,,,,
,"CFO of Joka Inc wants to find the max valuation that can be offered to acquire the entire entity of Behala Corp, whilst avoiding EPS dilution. Use the information below to make the calculation, assuming that the deal is financed by using debt:

 Joka’s EPS forecast : $0.89
 Joka’s WASO forecast : $560.0 Mn
 Behala’s EPS forecast : $2.1
 Behala’s WASO forecast : $89.0 Mn
 Interest Rate (post-tax) on acquisition debt : 5.0%",B,M,Numerical,Single Choice,Investment banking,
,$ 4561 Mn,,,,,,
,$ 3738 Mn,,,,,,
,$ 5489 Mn,,,,,,
,$ 2489 Mn,,,,,,
,,,,,,,
,"XX Inc’s current operations have a beta of 0.8, and its cost of capital is 15%. The risk free rate is 7%. It has invested in a new project where company’s assets would be split between the two projects in the ratio 1:1. 

If the beta of the new project is 1.5 and the project does not lead to any other changes, what would be the cost of capital of the company",D,M,Numerical,Single Choice,Investment Banking,
,22%,,,,,,
,18%,,,,,,
,16%,,,,,,
,18.50%,,,,,,
,,,,,,,
,"The Mohenjo-Daro Stock Exchange (MSE) is trading at 1000, and the dividend yield for the present year is 5%. The current long term bond rate is 7.5%, and the expected long term nominal growth rate in the economy is 6%. Estimate the implied risk premium for equities",B,M,Numerical,Single Choice,Investment Banking,
,3.70%,,,,,,
,3.80%,,,,,,
,3.60%,,,,,,
,3.90%,,,,,,
,,,,,,,
,"Calculate the equity value for purpose of calculation of EV from the following data:

 Total no. of authorised shares: 3000
 Total no. of outstanding shares: 2000
 No. of convertible options: 100
 Strike Price: 5
 Current Share Price: 12",D,M,Numerical,Single Choice,Investment Banking,
,"25,200",,,,,,
,"24,000",,,,,,
,"24,500",,,,,,
,"24,700",,,,,,
,,,,,,,
,A DCM is described as a __,D,M,Theory,Single Choice,Investment Banking,
,Investment banking division which deals with the issuance and pricing of debt securities,,,,,,
,Secondary market where debt securities are traded,,,,,,
,Primary market for issuance of debt securities,,,,,,
,All of the above,,,,,,
,,,,,,,
