,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,_____ is when a different company employs the mark in order to degrade its quality.,B,E,Theory,Single choice,Marketing :Trademark:Trademark Control:,
,Blurring,,,,,,
,Tarnishment,,,,,,
,Cybersquatting,,,,,,
,,,,,,,
,________ is when an unaffiliated party purchases an Internet domain name consisting of the mark or name of a company for the purpose of relinquishing the right to that domain name to the legitimate owner for a price.,C,M,Theory,Single choice,Marketing :Trademark:Trademark Control:,
,Blurring,,,,,,
,Tarnishment,,,,,,
,Cybersquatting,,,,,,
,,,,,,,
,Dell's build-to-order computers are sold directly by the company over the Internet or over the phone. This is an example of _____.,B,M,Theory,Single choice,Marketing :Internet:One to One:,
,Permission marketing,,,,,,
,Mass customisation,,,,,,
,One-to-one marketing,,,,,,
,,,,,,,
,Southwest Airlines combined low fares with no frills but friendly service to become a powerful force in the airline industry. This is an example of _____.,A,M,Theory,Single choice,Marketing::Pricing:,
,Value pricing,,,,,,
,Product design,,,,,,
,Price equity,,,,,,
,Price design,,,,,,
,,,,,,,
,Direct channels are preferable when all of the following are present EXCEPT,D,M,Theory,Single choice,Marketing::Product:,
,Product customisation is high,,,,,,
,Purchase lot size is important,,,,,,
,Logistics are important,,,,,,
,Product is differentiated,,,,,,
,,,,,,,
,"By devoting marketing efforts to the end consumer, a manufacturer is said to employ _______.",B,M,Theory,Single choice,Marketing:Push:Pull:,
,Push strategy,,,,,,
,Pull strategy,,,,,,
,,,,,,,
,"When marketers devote their efforts to channel members, it is called ________.",A,M,Theory,Single choice,Marketing:Push:Pull:,
,Push strategy,,,,,,
,Pull strategy,,,,,,
,,,,,,,
,"When Goodyear introduced its Aquatred tire, it used a persuasive advertising campaign directed to consumers. This is an example of ________.",B,M,Theory,Single choice,Marketing:Push:Pull:,
,Push strategy,,,,,,
,Pull strategy,,,,,,
,,,,,,,
,Which of the following is not included in relationship marketing?,D,M,Theory,Single choice,Marketing:Types of Marketing:Types:,
,One-to-one marketing,,,,,,
,Experiential marketing,,,,,,
,Permission marketing,,,,,,
,None of these,,,,,,
,,,,,,,
,Moving up the sensory brand pyramid generates loyalty. What does the pyramid consist of?,A,E,Theory,Single choice,Marketing:Brand Management:Pyramid:,
,"Stimulate, enhance, bond",,,,,,
,"Stimulate, stimulate, stimulate",,,,,,
,"Stimulate, bond, create",,,,,,
,"Create, stimulate, bond",,,,,,
,,,,,,,
,Which of the following is NOT a purpose of Sensory branding?,D,E,Theory,Single choice,Marketing:Brand Management::,
,Emotional engagement,,,,,,
,Trademark,,,,,,
,Brand extension,,,,,,
,Creating a platform for brand extension,,,,,,
,,,,,,,
,What are the 4 R's of sensory branding?,A,E,Theory,Single choice,Marketing:4R:Sensory :,
,"Relevant, Real, Ritual, Recital",,,,,,
,"Renew, Real, Ritual, Recital",,,,,,
,"Relevant, Real, Raw, Recital",,,,,,
,"Relevant, Real, Ritual, Rare",,,,,,
,,,,,,,
,The _______ product level is a basic version of the product containing only those attributes which are absolutely necessary for its functioning.,B,M,Theory,Single choice,Marketing::Product:Attributes,
,Augmented,,,,,,
,Generic,,,,,,
,Core benefit,,,,,,
,Expected,,,,,,
,,,,,,,
,The _______ product level is a fundamental need or want that customers satisfy by consuming a product.,C,M,Theory,Single choice,Marketing::Product:Attributes,
,Augmented,,,,,,
,Generic,,,,,,
,Core benefit,,,,,,
,Expected,,,,,,
,,,,,,,
,Putting colour LCD screens into MP3 players makes it a ______ product.,A,M,Theory,Single choice,Marketing::Product:Attributes,
,Augmented,,,,,,
,Generic,,,,,,
,Core benefit,,,,,,
,Expected,,,,,,
,,,,,,,
,Sufficient cooling capacity and an acceptable energy efficiency rating are ________ level benefit for an AIR CONDITIONER.,D,E,Theory,Single choice,Marketing::Product:Attributes,
,Augmented,,,,,,
,Generic,,,,,,
,Core benefit,,,,,,
,Expected,,,,,,
,,,,,,,
,Ability to play music downloaded from the web or from CD collections is a _______ level benefit for an MP3 player.,B,E,Theory,Single choice,Marketing::Product:Attributes,
,Augmented,,,,,,
,Generic,,,,,,
,Core benefit,,,,,,
,Expected,,,,,,
,,,,,,,
,"Veera owns a diamond jewellery firm and started the tagline 'A diamond is forever'. She made it a household name as every couple identified the ring as a symbol of the eternity of their bond with each other. However, she wanted to create more demand. So, she started marketing the phrase 'Women of the world, raise your right hand' to identify the product with woman empowerment as well. Which marketing technique has she followed?",A,M,Theory,Single choice,Marketing:STP:Brand Management:Attributes,
,Creating a new niche,,,,,,
,Changing the positioning,,,,,,
,Creating a brand image,,,,,,
,Changing the brand personality,,,,,,
,,,,,,,
,Which of the following is NOT a challenge for brand builders?,D,E,Theory,Single choice,Marketing:STP:Brand Management:Attributes,
,Difficulty in differentiating,,,,,,
,Savvy customer,,,,,,
,Increasing cost of product introduction,,,,,,
,Decline of private labels,,,,,,
,,,,,,,
,When would you perform a brand audit?,C,E,Theory,Single choice,Marketing:STP:Brand Management:Attributes,
,While identifying brand positioning,,,,,,
,While planning marketing programs,,,,,,
,While measuring brand performance,,,,,,
,To grow brand equity,,,,,,
,,,,,,,
,When would you build awareness of your product among customers?,B,M,Theory,Single choice,Marketing:STP:Brand Management:Attributes,
,While identifying brand positioning,,,,,,
,While planning marketing programs,,,,,,
,While measuring brand performance,,,,,,
,To grow brand equity,,,,,,
,,,,,,,
,"""What comes to mind when you think of Apple laptops?"" ""User friendly."" This is a demonstration of Apple's _________.",C,M,Theory,Single choice,Marketing:STP:Brand Management:Attributes,
,Brand awareness,,,,,,
,Brand personality,,,,,,
,Brand image,,,,,,
,Brand reflection,,,,,,
,,,,,,,
,Which of the following is NOT a parameter which customers use to judge a brand's performance?,D,M,Theory,Single choice,:::,
,Reliability,,,,,,
,Durability,,,,,,
,Serviceability,,,,,,
,Tangibility,,,,,,
,,,,,,,
,Which of the following is not an example of building brand community?,D,M,Theory,Single choice,Marketing:STP:Brand Management:Examples,
,Apple's local user groups registered on the website,,,,,,
,Harley Davidson's Harley Owners Group,,,,,,
,Jeep Camp and Jeep Jamborees by Jeep,,,,,,
,Lufthansa's airport lounge,,,,,,
,,,,,,,
,"You would ask the customer, ""How much do you like people who use this brand?"" when you are trying to identify the brand's ________.",C,M,Theory,Single choice,Marketing:STP:Brand Management: ,
,Salience,,,,,,
,Performance,,,,,,
,Imagery,,,,,,
,Judgement,,,,,,
,,,,,,,
,Which of the following is NOT an objective of packaging?,D,M,Theory,Single choice,Marketing:Packaging:Brand Management: ,
,Assist at-home storage,,,,,,
,Aid product consumption,,,,,,
,Identify the brand,,,,,,
,Identify the brand tagline,,,,,,
,,,,,,,
,Which of the following cannot be influenced by packaging?,B,E,Theory,Single choice,Marketing:Packaging:Brand Management: ,
,Taste,,,,,,
,Price,,,,,,
,Value,,,,,,
,Consumption,,,,,,
,,,,,,,
,Which of the following is not an effect of goodwill?,C,E,Theory,Single choice,Marketing:Goodwill:Brand Management: ,
,Favourable attitude of distributors,,,,,,
,Support of wholesalers and retailers,,,,,,
,Support of credit rating agencies,,,,,,
,Propensity of consumer to buy the product,,,,,,
,,,,,,,
,Which of the following is a suitable formula for calculating goodwill?,A,M,Theory,Single choice,Marketing:Goodwill:Brand Management: ,
,Price paid-Book value,,,,,,
,Book value-Price paid,,,,,,
,Price paid-Market value,,,,,,
,Market value - Price paid,,,,,,
,,,,,,,
,Investment in which of the following leads to creation of a brand's identity?,D,E,Theory,Single choice,Marketing:Brand Management: :,
,Production,,,,,,
,Sales,,,,,,
,Distribution channels,,,,,,
,All of these,,,,,,
,,,,,,,
,A brand is an asset for the company because,D,E,Theory,Single choice,Marketing:Brand Management: :,
,It occupies a share in the mind of the consumer,,,,,,
,It has lasting effects on the company's activity,,,,,,
,It is consumable for a long time,,,,,,
,All of the above,,,,,,
,,,,,,,
,In which of the following purchases will the consumer seek a particular brand?,D,E,Theory,Single choice,Marketing:Brand Management: :,
,Felt tip pens,,,,,,
,Photocopy paper,,,,,,
,Sugar,,,,,,
,Furniture,,,,,,
,,,,,,,
,In which case will the need for a brand diminish?,C,E,Theory,Single choice,Marketing:Brand Management: :,
,Unit price is high,,,,,,
,Repercussions of a bad choice are high,,,,,,
,There is less perceived risk of purchase,,,,,,
,Purchase of long-lasting goods,,,,,,
,,,,,,,
,Which of the following is not a function of a brand?,D,M,Theory,Single choice,Marketing:Brand Management: :,
,Hedonistic satisfaction,,,,,,
,Confirmation of consumers' self-image,,,,,,
,Guarantee of quality,,,,,,
,None of these,,,,,,
,,,,,,,
,All of the following are generators of profit if the brand EXCEPT,B,E,Theory,Single choice,Marketing:Brand Management: :,
,Acceptable price premium,,,,,,
,Perceived price premium,,,,,,
,Differential of attraction and of loyalty,,,,,,
,Differential of margin,,,,,,
,,,,,,,
,Brand assets include all of the following EXCEPT,D,H,Theory,Single choice,Marketing:Brand Management: :,
,Brand awareness,,,,,,
,Level of perceived quality compared to competitors,,,,,,
,Attractiveness of images conjured by the brand,,,,,,
,Brand equity,,,,,,
,,,,,,,
,Which of the following is most suitable for calculating brand equity?,B,M,Theory,Single choice,Marketing:Brand Management: :,
,Brand equity = Brand assets + Brand added value - Cost of branding ,,,,,,
,Brand equity = Brand assets + Brand added value - Cost of branding - Cost of invested capital ,,,,,,
,Brand equity = Brand assets + Brand added value  ,,,,,,
,Brand equity = Brand assets ,,,,,,
,,,,,,,
,"Akriti is the owner of a company which produces salt and sells it under the brand X. She wishes to ensure that she retains market share and does not lose out to competitors. She has narrowed down the possible courses of action to the following. A-Invest in creativity, innovations, quality and R&D to give the product a differential advantage while at the same time communicating to a wide range of people to maximise exclusiveness. B- Reduce costs through improving productivity in an attempt to maintain the pressure on prices and deter entry of competitors. Which of these strategies is most appropriate for Akriti?",C,M,Theory,Single choice,Marketing:Brand Management: :,
,A,,,,,,
,B,,,,,,
,Both A and B,,,,,,
,Neither A nor B,,,,,,
,,,,,,,
,Which of the following is NOT true about branding?,D,H,Theory,Single choice,Marketing:Brand Management: :,
,Branding is a means as well as an end,,,,,,
,Branding transforms a product category,,,,,,
,Branding is a long term vision,,,,,,
,"Branding involves designers, graphic artists, advertising agencies",,,,,,
,,,,,,,
,Which of the following is NOT required of a brand?,C,H,Theory,Single choice,Marketing:Brand Management: :,
,Monitor needs and expectations of potential buyers,,,,,,
,React to technical progress to create competitive edge,,,,,,
,Committing to one brand slogan,,,,,,
,Give meaning to the brand and communicate its meaning,,,,,,
,,,,,,,
,Company A invests heavily to develop awareness and renown of its brand name. Company B invests machines and production. ,C,M,Theory,Single choice,Marketing:Brand Management: :,
,"B will show higher profits, A will have a better balance sheet",,,,,,
,"A will show higher profits, B will have a better balance sheet",,,,,,
,"A will be able to differentiate its product, B will have a better balance sheet",,,,,,
,None of these,,,,,,
,,,,,,,
,Which of the following is an example of co branding?,D,M,Theory,Single choice,Marketing:Brand Management: :,
,Bacardi and Coke advertising together,,,,,,
,Ariel and Whirlpool advertising campaign,,,,,,
,"Nestle's joint advertising campaign with Nescafe, Nesquik",,,,,,
,All of these,,,,,,
,,,,,,,
,A Brand image focuses on the way in which consumers perceive a brand.,C,M,Theory,Single choice,Marketing:Brand Management: :,
,"Brand identity is the brand's meaning, aim and self-image",,,,,,
,Only A is true,,,,,,
,Only B is true,,,,,,
,Both A and B are true,,,,,,
,,,,,,,
,Which of the following is not a deficiency of positioning?,D,H,Theory,Single choice,Marketing:STP:Positioning:,
,Positioning focuses on the product rather than all product lines,,,,,,
,Positioning does not reveal all the brand's richness,,,,,,
,Positioning allows communication to be entirely dictated by creative whims and fads,,,,,,
,Positioning does not indicate the subtle differences between a brand and its competitors,,,,,,
,,,,,,,
,Brand identity prism is a hexagonal prism consisting of its,A,H,Theory,Single choice,Marketing:Brand Management:Prism:,
,"Physique, personality, culture, self-image, reflection, relationship",,,,,,
,"Physique, personality, self-image, reflection, relationship",,,,,,
,"Physique, personality, culture, reflection, relationship",,,,,,
,"Physique, personality, culture, self-image, relationship",,,,,,
,,,,,,,
,Having a famous character represent a brand is a strategy for building,B,H,Theory,Single choice,Marketing:Brand Management: :,
,Brand physique,,,,,,
,Brand personality,,,,,,
,Brand culture,,,,,,
,Brand self-image,,,,,,
,,,,,,,
,"Mercedes embodies the German value that order must prevail. Even though the surrounding landscape may be whizzing by, the Mercedes remains stable. This reflects Mercedes'",C,H,Theory,Single choice,Marketing:Brand Management: :,
,Brand physique,,,,,,
,Brand personality,,,,,,
,Brand culture,,,,,,
,Brand self-image,,,,,,
,,,,,,,
,_______ is an image of the buyer or user which it seems to be addressing.,B,H,Theory,Single choice,Marketing:Brand Management: :,
,Brand image,,,,,,
,Brand reflection,,,,,,
,Brand personality,,,,,,
,Brand status,,,,,,
,,,,,,,
,"Coca-Cola has a much wider clientele than suggested by the narrow segment reflected in its brand (18 to 24 year olds)
A. The clientile is its target
B. Those presented in the ads is its brand reflecion",C,H,Theory,Single choice,Marketing:Brand Management: :,
,Only A is true,,,,,,
,Only B is true,,,,,,
,Both A and B are true,,,,,,
,Neither A nor B is true,,,,,,
,,,,,,,
,"In buying a Porsche, many Porsche owners simply want to prove to themselves that they have the ability to buy such a car. Which aspect of the Porsche brand is reflected here?",A,H,Theory,Single choice,Marketing:Brand Management: :,
,Customer's' self-image,,,,,,
,Brand reflection,,,,,,
,Brand personality,,,,,,
,Brand status,,,,,,
,,,,,,,
,Signature:Human personality :: Symbols : Brand essence,A,E,Reasoning,Single choice,Marketing:Brand Management: :,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is NOT an example of companies acting as brands?,D,M,Theory,Single choice,Marketing:Brand Management: :,
,Du Pont,,,,,,
,Philips,,,,,,
,IBM,,,,,,
,Mercedes Benz,,,,,,
,,,,,,,
,Company A invests heavily to develop awareness and renown of its brand name. Company B invests machines and production. ,C,H,Theory,Single choice,Marketing:Brand Management: :,
,"B will show higher profits, A will have a better balance sheet",,,,,,
,"A will show higher profits, B will have a better balance sheet",,,,,,
,"A will be able to differentiate its product, B will have a better balance sheet",,,,,,
,None of these,,,,,,
,,,,,,,
,"Even if they do not practice any sports, Lacoste clients inwardly picture themselves as members of a sports club. Which aspect of the Lacoste brand is reflected here?",A,H,Theory,Single choice,Marketing:Brand Management: :,
,Customers' self-image,,,,,,
,Brand reflection,,,,,,
,Brand personality,,,,,,
,Brand status,,,,,,
,,,,,,,
,Which of the following is NOT a function of brand emblem?,B,M,Theory,Single choice,Marketing:Brand Management: :,
,It helps in recognising a brand,,,,,,
,It helps in building brand status,,,,,,
,It helps in giving the brand durability,,,,,,
,It helps in differentiating the brand,,,,,,
,,,,,,,
,"Nestle's bunny rabbit, Mr Clean, Esso's tiger are examples of",A,H,Theory,Single choice,Marketing:Brand Management: :,
,Brand characters,,,,,,
,Brand reflection,,,,,,
,Brand personality,,,,,,
,Brand status,,,,,,
,,,,,,,
,A company's name is actually a brand when the ____ and ____ become equally important in the markets in which they operate.,A,H,Theory,Single choice,Marketing:Brand Management: :,
,"Purchaser, Financial analyst",,,,,,
,"Creditors, Financial analyst",,,,,,
,"Users, purchasers",,,,,,
,"Users, Consultants",,,,,,
,,,,,,,
,When can a product NOT be considered a failure?,A,E,Theory,Single choice,Marketing::Product:,
,hen its marketeers learned something to improve next time.,,,,,,
,hen its marketeers didn't have reasonable expectations from the market.,,,,,,
,hen it couldn't be recalibrated and tried again.,,,,,,
,hen its potential of opportunity does not warrant another try.,,,,,,
,,,,,,,
,Strategic intent' refers to how an organisation looks at itself tomorrow. Which of the following cannot be considered as examples of strategic intent?,D,H,Theory,Single choice,Marketing:Intent:Strategy:,
,'Encircle Caterpillar' strategy of Komatsu,,,,,,
,'Beat Xerox' of Canon,,,,,,
,'Second Ford' of Honda,,,,,,
,'Unbox happiness' of Snapdeal,,,,,,
,,,,,,,
,"Wherever involvement is high, loyalty is high. Hence new product's success on those categories is difficult.",A,E ,Reasoning,Single choice,Marketing::Product:,
,True,,,,,,
,False,,,,,,
,,,,,,,
,Which of the following is a good strategy for a high profit yielding product?,A,M,Theory,Single choice,Marketing::Product:,
,Increase volume turnover,,,,,,
,Repositioning,,,,,,
,Consolidation,,,,,,
,Recalibrating,,,,,,
,,,,,,,
,Which of the following is a good strategy for a medium profit yielding product?,B,M,Theory,Single choice,Marketing::Product:,
,Increase volume turnover,,,,,,
,Repositioning,,,,,,
,Change usage,,,,,,
,Recalibrating,,,,,,
,,,,,,,
,Which of the following is not a criteria for the success of a brand?,B,H,Theory,Single choice,Marketing:Brand Management: :,
,At the product level it should deliver benefits,,,,,,
,It should offer more intangibles than tangibles,,,,,,
,The benefits it offers must be consistent with its personality,,,,,,
,The benefits offered must be relevant to the customers,,,,,,
,,,,,,,
,Successful products all of the following characteristics except,B,H,Theory,Single choice,Marketing::Product:,
,Significant price advantage,,,,,,
,Price advantage,,,,,,
,Significant difference from existing brands,,,,,,
,Difference from existing brands,,,,,,
,,,,,,,
,"Traditionally, the detergent powder market was different from detergent cake market. After the entry of Nirma, consumers moved from high-price segment to low-price segment. This is a definition of",A,H,Theory,Single choice,Marketing:STP:Segmentation:,
,Segment redefinition,,,,,,
,Product redefinition,,,,,,
,Category redefinition,,,,,,
,Market redefinition,,,,,,
,,,,,,,
,"After the launch of Titan, a watch became a lifestyle product instead of just a chronometer. This is an example of",A,H,Theory,Single choice,Marketing:STP:Redefinition:,
,Segment redefinition,,,,,,
,Product redefinition,,,,,,
,Category redefinition,,,,,,
,Market redefinition,,,,,,
,,,,,,,
,Usually lower quantity shampoos cost more per gram than bigger packages. Brands like Velvette and Chik reversed this by offering greater quantity at the same price. This is an example of,B,H,Theory,Single choice,Marketing:STP:Redefinition:,
,Segment redefinition,,,,,,
,Product redefinition,,,,,,
,Category redefinition,,,,,,
,Market redefinition,,,,,,
,,,,,,,
,"Clinic Plus' success stems from the fact that it has not only handled competition from shampoos but also from hair wash soaps. In fact, shampoos have redefined the category of hair was which was for long a preserve of shikakai soaps and hand made preparations. This is a case of",C,H,Theory,Single choice,Marketing:STP:Redefinition:,
,Segment redefinition,,,,,,
,Product redefinition,,,,,,
,Category redefinition,,,,,,
,Market redefinition,,,,,,
,,,,,,,
,An expert is anyone who can offer an informed opinion about a brand's success. Who among the following is NOT an expert?,D,H,Theory,Single choice,Marketing:Brand Management : :,
,Competitors,,,,,,
,Consultants who assist marketing programs ,,,,,,
,Credit rating agencies which rate the company's financial instruments,,,,,,
,Individual consumers,,,,,,
,,,,,,,
,Brand power can be measured by using which of the following formulae?,C,M,Theory,Single choice,Marketing:Brand Management : :,
,Profits from brand - Profits from similar brands,,,,,,
,Profits from brand - Profits from other brands of company,,,,,,
,Profits from brand - Profits for a generic product in same category,,,,,,
,,,,,,,
,Which of the following is the best way to measure brand equity?,A,H,,,,
,Brand equity = ( Weighted average of brand profits X P/E of industry X brand strength),,,Theory,Single choice,Marketing:Brand Management : :Brand Management Equity,
,Brand equity = (average of brand profits X P/E of industry X brand strength),,,,,,
,Brand equity = (average of brand profits / (P/E of industry X brand strength)),,,,,,
,Brand equity = ( Weighted average of firm profits X P/E of industry X brand strength),,,,,,
,,,,,,,
,Which of the following is the best way to measure brand equity using price premium method?,D,H,,,,
,Profits from brand - Profits from similar brands,,,Theory,Single choice,Marketing:Brand Management : :,
,Profits from brand - Profits from other brands of company,,,,,,
,Retail price of brand - Retail price of similar brand,,,,,,
,Retail price of brand - Retail price of generic product in same category,,,,,,
,,,,,,,
,Can brand equity be negative? ,A,E,Reasoning,Single choice,Marketing:Brand Management : :Brand Management Equity,
,Yes,,,,,,
,No,,,,,,
,,,,,,,
,Which of the following ways cannot be used to define brand equity?,D,E,Theory,Single choice,Marketing:Brand Management : :Brand Management Equity,
,Cost based,,,,,,
,Price based,,,,,,
,Consumer based,,,,,,
,Managerial perspective based,,,,,,
,,,,,,,
,Cinthol soap launching a fresh lime version of cologne or becoming a talcum powder is an example of,A,M,Theory,Single choice,Marketing:Brand Management : :,
,Brand extension into related category,,,,,,
,Brand extension into unrelated category,,,,,,
,Unrelated extension,,,,,,
,Image related extension,,,,,,
,,,,,,,
,Which of the following is an example of brand extension?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Different sizes,,,,,,
,Different packaging,,,,,,
,Different flavours,,,,,,
,Different uses,,,,,,
,,,,,,,
,Marvel is an addition of Godrej toilet soap line which already has Cinthol and Fresca. This is an example of,B,M,Theory,Single choice,Marketing:Brand Management : :,
,Brand extension into related category,,,,,,
,Line extension,,,,,,
,Unrelated extension,,,,,,
,Image related extension,,,,,,
,,,,,,,
,Which of the following is not a reason for brand extension by a firm.,D,H,Theory,Single choice,Marketing:Brand Management : :,
,Energising a brand,,,,,,
,Expanding core promise to new users,,,,,,
,Inhibiting competition,,,,,,
,Increasing value to existing users,,,,,,
,,,,,,,
,Colgate toothbrush is acceptable as a brand extension of Colgate toothpaste because of,B,M,Theory,Single choice,Marketing:Brand Management : :,
,Product level consistency,,,,,,
,Concept consistency,,,,,,
,Brand consistency,,,,,,
,Line consistency,,,,,,
,,,,,,,
,Which of the following are NOT consequences of brand extension?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Risk is minimised from producers' side,,,,,,
,Risk is minimised from consumers' side,,,,,,
,Cost of extension is less,,,,,,
,Category demand falls,,,,,,
,,,,,,,
,Failure of an extension need not necessarily harm the parent brand. Which of the following can be considered as examples of the same?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Failure of Palmolive soap on its shaving cream,,,,,,
,Pond's soap's failure on its talcum powder,,,,,,
,Nirma bath's failure on its detergent,,,,,,
,All of the above,,,,,,
,,,,,,,
,"In which order should a brand's extension be followed?
1. Category related
2. Image related
3. Unrelated",A,H,Theory,Single choice,Marketing:Brand Management : :,
,1-2-3,,,,,,
,2-1-3,,,,,,
,1-3-2,,,,,,
,3-1-2,,,,,,
,,,,,,,
,"Bableen launched a new talcum powder Fresh&Fair in 2008 and soon became a grand success due to the great market reach and demand of the product. It has enjoyed a market share of more than 50% for almost 9 years now. However, the brand is losing its lustre. Volumes are slipping and Bableen suspects that it is lack of variety in the brand which is causing this. Competition from brands such as Pond's and Liril has also come too close. Which kind of extension should Bableen look for?",A,M,Theory,Single choice,Marketing:Brand Management : :,
,Brand extension into related category,,,,,,
,Brand extension into unrelated category,,,,,,
,Unrelated extension,,,,,,
,Image related extension,,,,,,
,,,,,,,
,Which of the following are pioneer brands in the Indian market which retain a high market share even today?,A,E,Theory,Single choice,Marketing:Brand Management : :,
,Lifebuoy,,,,,,
,Samsung,,,,,,
,Bajaj,,,,,,
,Suvega,,,,,,
,,,,,,,
,Which of the following is a good strategy for a low profit yielding product?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Increase volume turnover,,,,,,
,Repositioning,,,,,,
,Change usage,,,,,,
,Killing it,,,,,,
,,,,,,,
,Products that assist either through utility or through snob value gain success. Which of the following are NOT examples of similar products?  ,C,E,Theory,Single choice,Marketing:Brand Management : :,
,Maruti,,,,,,
,Maggi,,,,,,
,Pepsi,,,,,,
,VIP,,,,,,
,,,,,,,
,"On average, a customer jumps from Colgate to Promise at Rs 25. Promise's price is Rs 17.4. Calculate Colgate's brand equity.",25/17.4 - 1 = 43.7,H,Theory,Single choice,Marketing:Brand Management : :,
,40,C,,,,,
,143,,,,,,
,43,,,,,,
,69,,,,,,
,,,,,,,
,"If consumers can be accepted as the focus of brand equity, which of the following is correct?",A,H,Theory,Single choice,Marketing:Brand Management : :,
,Brand equity = Weighted sum of parameters used to judge brand awareness and brand image,,,,,,
,Brand equity = Sum of parameters used to judge brand awareness and brand image,,,,Single choice,,
,Brand equity = Average of parameters used to judge brand awareness and brand image,,,,,,
,Brand equity = Median of parameters used to judge brand awareness and brand image,,,,,,
,,,,,,,
,Which of the following would NOT be an acceptable extension product category for the following brands?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Bata - Leather handbags,,,,,,
,"Titan - Wall clock, refrigerator",,,,,,
,"Lux - Shampoo, Nail Paint",,,,,,
,Colgate - Face Wash,,,,,,
,,,,,,,
,It is difficult to extend a brand if it is too strong in a particular category because it will be generically identified with the parent category.,A,E,Reasoning,Single choice,Marketing:Brand Management : :,
,True,,,,,,
,False,,,,,,
,,,,,,,
,Very strong brands will find it as difficult to stretch as very weak brands though for altogether different reasons.,A,M,Reasoning,Single choice,Marketing:Brand Management : :,
,True,,,,,,
,False,,,,,,
,,,,,,,
,Which of the following are advantages of image-related extension?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Saves launching costs,,,,,,
,"Due to synergy between parent and extension, promotion is easy",,,,,,
,An extension need not start afresh to establish its identity,,,,,,
,Too many variants bring credibility to the brand,,,,,,
,,,,,,,
,Which of the following will NOT contribute to the failure of a brand extension?,C,H,Theory,Single choice,Marketing:Brand Management : :,
,Problems with floor space for display,,,,,,
,Problems with distribution,,,,,,
,Problems due to synergy,,,,,,
,Problems with logistics,,,,,,
,,,,,,,
,"Neeti launched a product X which is meant to provide essential nutrients to the human body which are not found in the Indian diet naturally. This product can be consumed by persons of all ages and is especially good for children and the aged. The product has gained enough popularity that it has become a common household name. In an interview, a 10 year old consumer of the product said 'X is like my grandfather'. Which aspect of the product has been reflected here?",B,M,Theory,Single choice,Marketing:Brand Management : :,
,Brand image,,,,,,
,Brand personality,,,,,,
,Brand equity,,,,,,
,Brand position,,,,,,
,,,,,,,
,You would ask the question 'What happens when this product becomes a human being?' in the case when you are trying to identify the _______ of a brand.,B,M,Theory,Single choice,Marketing:Brand Management : :,
,Brand image,,,,,,
,Brand personality,,,,,,
,Brand equity,,,,,,
,Brand position,,,,,,
,,,,,,,
,Which of the following characteristics are NOT part of brand personality?,D,M,Theory,Single choice,Marketing:Brand Management : :,
,Gender alikeness,,,,,,
