,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,"At which of the following stages of buyer decision modeling process, cognitive dissonance occurs?",C,M,Theory,Single Choice,Marketing: Market Research,
, Information search,,,,,,
, Evaluation of alternatives,,,,,,
, Post purchase behavior,,,,,,
, Need recognition,,,,,,
,,,,,,,
,In which of the following methods qualitative research start with subjects inorder to complete the incomplete prompt?,D,H,Theory,Single Choice,Marketing: Market Research,
, Brand personification,,,,,,
, Association of words,,,,,,
, visualization,,,,,,
, projective techniques,,,,,,
,,,,,,,
,"Which one provides diagnostic information about how and why we observe specific effects in the marketplace, and what that means to marketers.",D,E,Theory,Single Choice,Marketing: Market Research,
, Metrics of marketing,,,,,,
, MIS (marketing information systems),,,,,,
, Marketing channels,,,,,,
, Marketing insights,,,,,,
,,,,,,,
,"Which is the systematic analysis, collection, design, and reporting of data and findings relevant to a particular marketing situation facing by the company.",B,E,Theory,Single Choice,Marketing: Market Research,
, Market segmentation,,,,,,
, Marketing research,,,,,,
, Marketing communications,,,,,,
, Marketing planning,,,,,,
,,,,,,,
,"Rani, a beautician by profession, owns a salon in the small town of Mumbai. Every weekend, she makes it a point to visit the other salons in Mumbai to find out about the beauty services they offer to customers. Which kind of  market research conducted by Rani.?",C,E,Theory,Single Choice,Marketing: Market Research,
, forming alliances with competing firms,,,,,,
, studying customer behavior,,,,,,
, checking out rivals,,,,,,
, using experimental research techniques,,,,,,
,,,,,,,
,The process of marketing research begins with,A,E,Theory,Single Choice,Marketing: Market Research,
," identifying the problem, research objectives,  the decision alternatives",,,,,,
, Research plan development,,,,,,
, Acquiring knowledge from the market research journals,,,,,,
, analyzing the internal environment,,,,,,
,,,,,,,
,Marketing measures help marketers in,D,E,Theory,Single Choice,Marketing: Market Research,
, Quantifying,,,,,,
, Comparing with others,,,,,,
, Interpreting the performance,,,,,,
, All of the above,,,,,,
,,,,,,,
,What kind of marketing research will throw a real light nature of a problem and can suggest new ideas or viable solutions?,C,M,Theory,Single Choice,Marketing: Market Research,
, descriptive,,,,,,
, primary,,,,,,
, exploratory,,,,,,
, quantitative,,,,,,
,,,,,,,
,Which of the following does not call for decisions while designing a research plan?,B,M,Theory,Single Choice,Marketing: Market Research,
, research approaches,,,,,,
, research objectives,,,,,,
, data sources,,,,,,
, Instruments of research,,,,,,
,,,,,,,
,Which of the following approach uses concepts and tools of anthropology and other social science disciplines to have a great understanding of cultural understanding of how people live their life?,C,H,Theory,Single Choice,Marketing: Market Research,
, Inductive research,,,,,,
, Cognitive research,,,,,,
, Ethnographic research,,,,,,
, Archaeological research,,,,,,
,,,,,,,
,The main purpose of Ethnographic research is,B,H,Theory,Single Choice,Marketing: Market Research,
," study demographic variables such as age, gender, income, education, and so on, in relation to consumer buying patterns",,,,,,
, immerse the researcher into consumers' lives to uncover unarticulated desires that might not surface in any other form of research,,,,,,
, capture cause-and-effect relationships by eliminating competing explanations of the observed findings,,,,,,
, understand consumers' behavior by observing sample groups discussing various topics of interest at length,,,,,,
,,,,,,,
,Which of the following questionnaire allow respondents to give an answer in their own words and reveal their inner feelings?,B,M,Theory,Single Choice,Marketing: Market Research,
, Dichotomous questions,,,,,,
, Open-end questions,,,,,,
, Likert scale questions,,,,,,
, Semantic differential questions,,,,,,
,,,,,,,
,"Two bipolar words are connected in a sclae, which one of the following is that particular scale ",D,H,Theory,Single Choice,Marketing: Market Research,
, multiple-choice question,,,,,,
, Likert scale,,,,,,
, dichotomous question,,,,,,
, semantic differential,,,,,,
,,,,,,,
,"Asking ""why"" questions continuously in a series can extract what are the consumer motivations and deeper understanding of consumer. Which of the following tool does this?  ",C,M,Theory,Single Choice,Marketing: Market Research,
, visualizing,,,,,,
, word association,,,,,,
, laddering,,,,,,
, projection,,,,,,
,,,,,,,
,Disadvantage of Online Market Research,B,H,Theory,Single Choice,Marketing: Market Research,
, It lacks Less versatility,,,,,,
, Samples can be small and skewed.,,,,,,
, Online research is expensive.,,,,,,
, Online research is time-consuming.,,,,,,
,,,,,,,
,Which of the following is not regarded to be among the 7 characteristics of good marketing research.?,A,M,Theory,Single Choice,Marketing: Market Research,
, Independence of models and data,,,,,,
, Multiple methods,,,,,,
, Research creativity,,,,,,
, The scientific method,,,,,,
,,,,,,,
,Which of the following is a structured way of reflecting the insights gleaned from the two complementary methods to measure the marketing productivity?,C,M,Theory,Single Choice,Marketing: Market Research,
, Marketing segments,,,,,,
, Marketing mix models,,,,,,
, Marketing dashboards,,,,,,
, Marketing metrics,,,,,,
,,,,,,,
,Two Complementary approaches which measure the productivity of marketing..,D,H,Theory,Single Choice,Marketing: Market Research,
, Quality Ratios and salesperson satisfaction rates ,,,,,,
, Marketing Metrics and customer feedback surveys ,,,,,,
,  retailer satisfaction indices and marketing-mix modeling,,,,,,
, marketing metrics and marketing-mix modeling,,,,,,
,,,,,,,
,Which of the following interprets the yearly performance of a company based on measures like average perception of its products compared to competitors.,C,H,Theory,Single Choice,Marketing: Market Research,
,  Scorecard of stakeholder-performance,,,,,,
, Marketing balanced scorecard,,,,,,
, Customer-performance scorecard,,,,,,
, Vendor scorecard,,,,,,
,,,,,,,
,Which of the following factor pertaining to external marketing should be monitored by a company? ,D,H,Theory,Single Choice,Marketing: Market Research,
, active innovation support,,,,,,
, resource adequacy,,,,,,
, staffing or skill levels,,,,,,
, market share,,,,,,
,,,,,,,
,"Which of the following provides the information about satisfaction of lenders, distributors and suppliers?",A,M,Theory,Single Choice,Marketing: Market Research,
, stakeholder-performance scorecard,,,,,,
, marketing balanced scorecard,,,,,,
, vendor scorecard,,,,,,
, customer-performance scorecard,,,,,,
,,,,,,,
,Which of the following provides the information to identify the possible ways of brand association in the minds of consumers?,C,H,Theory,Single Choice,Marketing: Market Research,
, dashboarding,,,,,,
, experimental research,,,,,,
, word associations,,,,,,
, laddering,,,,,,
,,,,,,,
,Anand Group is a firm which collects and processes household data and sells it to other firms which produce consumer durables. Anand Group is an example of what?,A,M,Theory,Single Choice,Marketing: Market Research,
, syndicated-service research firm,,,,,,
, specialty-line marketing research firm,,,,,,
, focused marketing research firm,,,,,,
, custom marketing research firm,,,,,,
,,,,,,,
,The process of screening meaningful from non-meaningful information is known as ,C,M,Theory,Single Choice,Marketing: Market Research,
, routine.,,,,,,
, proposition evaluation.,,,,,,
, selective exposure,,,,,,
, picking,,,,,,
,,,,,,,
,"When little is known about the problem, research seeking to discover the cause of a problem by discussing the problem with informed sources and examining pre-existing data is undertaken. This type of research is",C,M,Theory,Single Choice,Marketing: Market Research,
, bottom-line analysis.,,,,,,
, situation analysis.,,,,,,
, exploratory research.,,,,,,
, information investigation.,,,,,,
,,,,,,,
,"The information obtained through marketing research, competitive intelligence, and internal sources are typically integrated into a ___________.",B,M,Theory,Single Choice,Marketing: Market Research,
, key performance indicator (KPI).,,,,,,
, marketing information system (MIS).,,,,,,
, enterprise resource planning system (ERP).,,,,,,
, net promoter score.,,,,,,
,,,,,,,
,How the needs are different from wants,D,M,Theory,Single Choice,Marketing: Market Research,
, wants related to future and needs related to the past,,,,,,
, needs are a socialized manifestation of underlying wants,,,,,,
, There is no difference between needs and wants,,,,,,
, wants are a socialized manifestation of underlying needs,,,,,,
,,,,,,,
,"According to Maslow's Hierarchy of needs, what is most likely to be associated with customer's inner sense while purchasing goods?  ",C,M,Theory,Single Choice,Marketing: Market Research,
, Love/belonging,,,,,,
, Psychological,,,,,,
, Self - Actualization,,,,,,
, Esteem,,,,,,
,,,,,,,
,Which of the following option does not have a role in buying decision making?,B,M,Theory,Single Choice,Marketing: Market Research,
, User,,,,,,
, Supplier,,,,,,
, Shopkeeper,,,,,,
, None of the above,,,,,,
,,,,,,,
,The typical stages of buying described best by..?,C,M,Theory,Single Choice,Marketing: Market Research,
, Information search >Need recognition> Evaluation > Decision > Post purchase evaluation,,,,,,
, Need recognition> Evaluation > Information search > Decision > Post purchase evaluation,,,,,,
, Need recognition> Information search > Evaluation > Decision > Post purchase evaluation,,,,,,
, Need recognition > Information search> Decision > Evaluation > Post purchase evaluation,,,,,,
,,,,,,,
,"If a company uses Yuvraj Singh to endorse their products, and this endorsement is effective if Yuvraj is seen by its target customer. In this case, Yuvraj Singh acts as:",B,M,Theory,Single Choice,Marketing: Market Research,
, Primary Reference group,,,,,,
, Secondary reference group,,,,,,
, Tertiary reference group,,,,,,
, Non-reference group,,,,,,
,,,,,,,
,Out of the below options which are least likely to overcome the cognitive dissonance felt by a consumer(who is not satisfied with his/her purchase?,A,M,Theory,Single Choice,Marketing: Market Research,
, Seeing the service/product differently so that we highlight the bad aspects of that service/product,,,,,,
, Reporting and returning the purchased good to the supplier,,,,,,
, Vindicating ourselves that product is actually good,,,,,,
, Seeing the service/product differently so that we highlight the good aspects of that service/product,,,,,,
,,,,,,,
,Which of the following factor is incorrect while determining the effectiveness of a firm's MIS (Market Intelligent System),C,M,Theory,Single Choice,Marketing: Market Research,
, Communication Speed,,,,,,
, Proper description of company's information needs,,,,,,
, Deploying a market research team,,,,,,
, Search for intelligence is extensive,,,,,,
,,,,,,,
,"""Mystery Shopper"" survey is an example of",B,M,Theory,Single Choice,Marketing: Market Research,
, Essentially qualitative research,,,,,,
, Observational research,,,,,,
, Attitudinal research,,,,,,
, Desk research,,,,,,
,,,,,,,
,Benchmarking research is best described by,D,M,Theory,Single Choice,Marketing: Market Research,
, It is essentially attitudinal in nature,,,,,,
, It is based on quantitative feedback received form consumer panels,,,,,,
,  It is based on qualitative feedback received form consumer panels,,,,,,
, Compares company's performance with others and set standards accordingly,,,,,,
,,,,,,,
,Which of the following statements is correct about Market Research?,B,M,Theory,Single Choice,Marketing: Market Research,
, Quantitative research is generally more statistically reliable than qualitative research.,,,,,,
, Qualitative techniques generally give a broad representation of the population's behavior.,,,,,,
, Qualitative research may include the usage of interviews.,,,,,,
, Quantitative research need not necessarily include interview techniques.,,,,,,
,,,,,,,
,Criteria to select focus groups,A,M,Theory,Single Choice,Marketing: Market Research,
, Participants are able to understand the issue and contribute accordingly,,,,,,
, Significant representation of total population being considered,,,,,,
, Educating the participants before interviews,,,,,,
, Availability,,,,,,
,,,,,,,
,Which of the following statements is correct about Market Research?,D,M,Theory,Single Choice,Marketing: Market Research,
, secondary research is done after primary research,,,,,,
, Secondary research is faster than primary research,,,,,,
, Secondary research is cheaper than primary research,,,,,,
, both B and C,,,,,,
,,,,,,,
,What is value chain marketing,A,M,Theory,Single Choice,Marketing: Market Research,
, It is a process where goods gain value after passing through different intermediaries,,,,,,
, A company maintaining its own factory outlets,,,,,,
, Targeting the value conscious customers,,,,,,
, None of the above,,,,,,
,,,,,,,
,Pick the most critical reason why companies should monitor their demographic environment,D,M,Theory,Single Choice,Marketing: Market Research,
, To forecast the demand properly,,,,,,
, To know the historical trends,,,,,,
, To know the market segments,,,,,,
, Both A and C,,,,,,
,,,,,,,
,Demand curve gives information about,D,E,Theory,Single Choice,Marketing: Market Research,
, Price and time,,,,,,
, Price and quantity,,,,,,
, Price and elasticity,,,,,,
, Demand and supply,,,,,,
,,,,,,,
,The pricing of Airline industry is an example of,C,E,Theory,Single Choice,Marketing: Market Research,
, Economy pricing,,,,,,
, Full - cost training,,,,,,
, Demand-based pricing,,,,,,
, Pricing at premium,,,,,,
,,,,,,,
,The main aim of ________ is to identify the range of possible brand associations in consumers' minds.,C,H,Theory,Single Choice,Marketing: Market Research,
, dashboarding,,,,,,
, experimental research,,,,,,
, word associations,,,,,,
, laddering,,,,,,
,,,,,,,
,Channel distribution comes under,D,M,Theory,Single Choice,Marketing: Market Research,
, Product mix,,,,,,
, Price mix,,,,,,
, Promotion mix,,,,,,
, Place mix,,,,,,
,,,,,,,
,Which of the following is not very important for B2B market researchers,A,M,Theory,Single Choice,Marketing: Market Research,
, Mass markets,,,,,,
, Non-Domestic market,,,,,,
, Procurement departments,,,,,,
, Industrial markets,,,,,,
,,,,,,,
,Which of the following statements is correct about households and businesses,C,M,Theory,Single Choice,Marketing: Market Research,
, The penetration of internet is same for both,,,,,,
, Both have same privacy policies,,,,,,
," For businesses, desk research is important",,,,,,
," For households, daytime interviews are best",,,,,,
,,,,,,,
,Which of the following is carried with advertising research?,D,H,Theory,Single Choice,Marketing: Market Research,
, Shareholders,,,,,,
, Product users,,,,,,
, Product buyers,,,,,,
, Target audience,,,,,,
,,,,,,,
,"In any research, the measuring of advertisement done on",B,H,Theory,Single Choice,Marketing: Market Research,
, Research objectives,,,,,,
, Communication objectives,,,,,,
, Marketing objectives,,,,,,
, Management objectives,,,,,,
,,,,,,,
,Advertising research does not include,A,E,Theory,Single Choice,Marketing: Market Research,
, Voting intention,,,,,,
, Copy - Testing,,,,,,
, Post- testing,,,,,,
, pretesting,,,,,,
,,,,,,,
,Which is not one of the primary factors to know how consumers learn about brands and products?,C,M,Theory,Single Choice,Marketing: Market Research,
, Learning,,,,,,
, Cognition,,,,,,
, personality,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which type of growth tries to concentrate all their activities on familiar products or markets?,B,H,Theory,Single Choice,Marketing: Market Research,
, Intensive,,,,,,
, Integrative,,,,,,
, Condensive,,,,,,
, Diversification,,,,,,
,,,,,,,
,In which of the following process the goods go through a series pre-determined flow of development like a biological path of life?,A,E,Theory,Single Choice,Marketing: Market Research,
, Product life cycle,,,,,,
, Diffusion process,,,,,,
, Service development,,,,,,
, Adoption process,,,,,,
,,,,,,,
,The mean lifetime of a sample of 100 light tubes produced by a company is found to be 1580 hours. The Population standard deviation is of 90 hours. Data is normally distributed. Specify whether the hypothesis test  (at 5 %)  is accepted or not when the mean lifetime of tubes produced by the company is 1600 hours.,A,M,Numerical,Single Choice,Marketing: Market Research,
, Reject the hypothesis,,,,,,
, Accept the hypothesis,,,,,,
,,,,,,,
,"The mean height obtained from a random sample of size 100 is 64 inches. The Standard Deviation of the distribution of height of the population is known to be 3 inches. Test the statement that the mean height of the population is 67 inches at 5% level of significance. 
",A,M,Numerical,Single Choice,Marketing: Market Research,
, Reject the hypothesis,,,,,,
, Accept the hypothesis,,,,,,
,,,,,,,
,"A store manager wants to find out if her customers feel the same. She interviews 207 randomly selected customers and asks them “How would you rate the level of service that American businesses provide ? ” to rank on the same parameters. The responses received  were :
Excellent 21
Pretty Good 109
Only Fair 62
Poor 15
Total 207
Are the responses she got the same as the responses on the survey ?
H0: The observed distribution is the same as the expected distribution",A,H,Numerical,Single Choice,Marketing: Market Research,
, Accept Hypothesis,,,,,,
, Reject Hypothesis,,,,,,
,,,,,,,
,"In a hospital there were 250 patients suffering from a disease. Some of them were treated by only medicine (conventional treatment) and some were treated by using medicine as well as physiotherapy _x000B_(new). From the data given below about the treatment of these 250 patients, state whether the new treatment is same as the conventional treatment (patients are cured independently of the type of treatment).
Ho : Cure is independent of type of treatment
No. of patients Cured Not-Cured
New                  140         30
Conventional       60         20

",A,H,Numerical,Single Choice,Marketing: Market Research,
, Accept Hypothesis,,,,,,
, Reject Hypothesis,,,,,,
,,,,,,,
,Many organizations employ an external source for marketing research rather using their internal resources. (TRUE/FALSE),B,H,Reasoning,Single Choice,Marketing: Market Research,
, True,,,,,,
, False,,,,,,
,,,,,,,
,Model of marketing only focuses on long term effects rather than focusing on incremental growth. (TRUE/FALSE),B,M,Reasoning,Single Choice,Marketing: Market Research,
, True,,,,,,
, False,,,,,,
,,,,,,,
,Marketers must be able to predict the changes of deploying different marketing investments and this is called as Marketing Accountability. (TRUE/FALSE),A,M,Reasoning,Single Choice,Marketing: Market Research,
, True,,,,,,
, False,,,,,,
,,,,,,,
,"In an anti malarial campaign in a certain area, quinine was administered to 812 persons out of a total population of 3248. The number of fever cases is shown below. Is the administration of quinine effective 
   Treatment                        Fever         No Fever
    Quinine                             20               792
   No Quinine                       220               2216

•Ho : The appearance of fever is independent of administration of quinine",B,H,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"As the sample size number 'N' goes up in a t-test, it is almost same as z-test. Is it TRUE/False",A,E,Reasoning,Single Choice,Marketing: Market Research,
, True,,,,,,
, False,,,,,,
,,,,,,,
,"Ten oil tins are taken at random from an automatic filling machine. The mean weight of the tins is15.8 kgs and standard deviation is 0.50 kgs. Does the sample mean differ significantly from the intended weight of 16kg ?
Ho: μ = 16; alpha is 5%",A,M,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"Ten workers were given a training programme with a view to shorten their assembly time for a certain mechanism. The results of the time taken before and after the training programme are given in the table. On the basis of this data, can it be concluded that the training programme has changed the assembly time ?
Ho : Training programme has not helped",A,H,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"An auto company decided to introduce a new six cylinder car whose mean petrol consumption is claimed to be different than that of the existing auto engine. It was found that the mean petrol consumption for the 50 cars was 10 km per litre with a SD of 3.5 kpl. Test for the company at 5 % level of Significance, whether the claim the new car petrol consumption is 9.5 kpl on the average is acceptable.
Ho : There is no significant difference between the sample mean and the population mean",A,M,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"A sample of 400 managers is found to have a mean height of 171.38 cms. Can it be reasonably regarded as a sample from a large population of mean height 171.17 cms and standard deviation of 3.30 cms ?
Ho: No significant difference between the sample mean height and the population mean height",A,M,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"As part of a study to evaluate differences in education quality between two training centres, a standardized examination is given to individuals who are trained at the centres.Independent samples of n1 = 30,x1¯=82 and σ1= 10 from training centre A and n2 = 40 , X2¯=78 and σ2= 10 from from training centre B are taken. Do these data suggest a significant difference between the population means at the two training centres.
Ho : μ1=μ2",A,H,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"Intelligence test on two groups of boys and girls gave the following results :
                                             Mean             Standard Deviation               N
Girls                                         75                          15                           150
Boys                                         70                         20                            250
Is there a significant difference in the mean score obtained by boys and girls ?
Ho : μ1 = μ2
Ha : μ1 ≠  μ2",B,H,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
,,,,,,,
,"A sample of 100 tyres is taken from a lot. The mean life of tyres is found to be 39,350 kms. Could the sample have come from a population with mean life of 40,000 kms and a standard deviation of 3260 kms.",A,M,Numerical,Single Choice,Marketing: Market Research,
, Accept the Hypothesis,,,,,,
, Reject the Hypothesis,,,,,,
