,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,"Firm ""D"" is trying to assess the ""brand loyalty"" of its customers. The firm may use which of the following to achieve this goal?",B,H,Theory,Single Choice,Marketing: Market Research,
, Perceptual,,,,,,
, Behavioural,,,,,,
, Affection,,,,,,
, Beliefs,,,,,,
,,,,,,,
,"The following is the tagline of which Brand "" Shave Time. Shave Money.""",C,H,Theory,Single Choice,Marketing: Market Research,
, Master Card,,,,,,
, Gillette,,,,,,
, Dollar Shave Club,,,,,,
, Lancet,,,,,,
,,,,,,,
,"In SPOC ""P"" stands for",D,H,Theory,Single Choice,Marketing: Market Research,
, Price,,,,,,
, Promotion,,,,,,
, Process,,,,,,
, Prospects,,,,,,
,,,,,,,
,"A company advertises that 95% of its online orders ship within two working days. Selecting a random sample of 200 out of 10000 orders received over the past month to audit, the audit found that 180 of the orders were to be shipped on time. What is the sample proportion of orders shipped on time?",D,H,Theory,Single Choice,Marketing: Market Research,
, 1.0,,,,,,
, 0.8,,,,,,
, 0.96,,,,,,
, 0.9,,,,,,
,,,,,,,
,What does IMR stand for in Marketing research?,C,E,Theory,Single Choice,Marketing: Market Research,
, Infant Mortality rate,,,,,,
, International Manpower Resources,,,,,,
, International Marketing Research,,,,,,
, Implementation Repository,,,,,,
,,,,,,,
,Marketing in simple terms is,B,E,Theory,Single Choice,Marketing: Market Research,
, Consulting and analyzing,,,,,,
, Promoting and selling,,,,,,
, Planning and organizing,,,,,,
, None of the above,,,,,,
,,,,,,,
,Marketing research is the management and implementation of,D,E,Theory,Single Choice,Marketing: Market Research,
, Collection of data,,,,,,
, Analyzing the data,,,,,,
, Recording the data,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is DSS in marketing terms?,A,E,Theory,Single Choice,Marketing: Market Research,
, Decision Support system,,,,,,
, Driver Safety System,,,,,,
, Disability Support Service,,,,,,
, Digital Signature Services,,,,,,
,,,,,,,
,Which of the following is a qualitative research technique?,A,E,Theory,Single Choice,Marketing: Market Research,
, Focus Groups,,,,,,
, Questionnaire,,,,,,
, Survey,,,,,,
, Online Poll,,,,,,
,,,,,,,
,The in-house marketing research department can be considered as ,B,M,Theory,Single Choice,Marketing: Market Research,
, Buyers of information,,,,,,
, Sellers of information,,,,,,
, Analyzers of information,,,,,,
, All of the above,,,,,,
,,,,,,,
,Research based on hypothesis suggestion is ,B,M,Theory,Single Choice,Marketing: Market Research,
, Causal research,,,,,,
, Exploratory research,,,,,,
, Descriptive research,,,,,,
, All of the above,,,,,,
,,,,,,,
,A research technique used to collect information which has already been collected in the past for a different reason is,C,M,Theory,Single Choice,Marketing: Market Research,
, Primary research,,,,,,
, Qualitative research,,,,,,
, Secondary research,,,,,,
, Causal research,,,,,,
,,,,,,,
,Interviewing all the members of a given population is called,B,M,Theory,Single Choice,Marketing: Market Research,
, Census,,,,,,
, Sample,,,,,,
, Survey,,,,,,
, Poll,,,,,,
,,,,,,,
,Which of the following is often used in qualitative research?,B,M,Theory,Single Choice,Marketing: Market Research,
, Cluster Sampling,,,,,,
, Non-probability sampling,,,,,,
, Systematic Sampling,,,,,,
, Multistage sampling,,,,,,
,,,,,,,
,Which of the following is the correct sequential decision making process of Marketing research?,A,M,Theory,Single Choice,Marketing: Market Research,
," Situation Analysis, strategy development, marketing program development, implementation",,,,,,
," Strategy development, situation analysis, marketing program development, implementation",,,,,,
," Marketing program development, strategy development, situation analysis, implementation",,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is one of the significant benefits of Secondary research?,D,M,Theory,Single Choice,Marketing: Market Research,
, Data required for current research fits the available data,,,,,,
, Good control over data collection,,,,,,
, Not many assumptions are to be made,,,,,,
, Saves cost and time,,,,,,
,,,,,,,
,One of the following forms when availabe to the marketing manager can be accessed easily and in a cheap way,A,H,Theory,Single Choice,Marketing: Market Research,
, Customer profile,,,,,,
, Internal databases,,,,,,
, Internal records,,,,,,
, Directories,,,,,,
,,,,,,,
,The approach that organises customers into common groups based on account size is,C,H,Theory,Single Choice,Marketing: Market Research,
, Product need approach,,,,,,
, Key size approach,,,,,,
, Work load approach,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following product mix is concerned with the number of items in a company's product lines?,A,H,Theory,Single Choice,Marketing: Market Research,
, Length,,,,,,
, Breadth,,,,,,
, Depth,,,,,,
, Product Bundling,,,,,,
,,,,,,,
,A principle of marketing which requires the company to bring improvements to the product through new ideas inorder to promote it to the target market,C,H,Theory,Single Choice,Marketing: Market Research,
, Visual Marketing,,,,,,
, Nche Marketing,,,,,,
, Innovative Marketing,,,,,,
, Promotional Marketing,,,,,,
,,,,,,,
,A document from the sponsor laying out sufficient details of the case to enable the researcher to investigate the case,D,H,Theory,Single Choice,Marketing: Market Research,
, Research proposal,,,,,,
, Research question,,,,,,
, Research problem,,,,,,
, Research Brief,,,,,,
,,,,,,,
,Which amaong the following wrongly views sales as the cause of promotion rather than as the result?,A,H,Theory,Single Choice,Marketing: Market Research,
, Percentage sales method,,,,,,
, JetBlue method,,,,,,
, Goal and Task method,,,,,,
, Zero method,,,,,,
,,,,,,,
,When a company overprices its product with respect to its quality then it uses,D,H,Theory,Single Choice,Marketing: Market Research,
, Superb value strategy,,,,,,
, Fase economy strategy,,,,,,
, Premium strategy,,,,,,
, Overcharging strategy,,,,,,
,,,,,,,
,When was the Association of National Advertisers founded?,C,H,Theory,Single Choice,Marketing: Market Research,
, 1925,,,,,,
,1957,,,,,,
,1910,,,,,,
,1906,,,,,,
,,,,,,,
,"Is qouted for saying "" When you innovate,you have got to be prepared for people telling you that you are nuts""",C,H,Theory,Single Choice,Marketing: Market Research,
, Bill Gates,,,,,,
, Jack Ma,,,,,,
, Larry Ellison,,,,,,
, Steve Jobs,,,,,,
,,,,,,,
,Limit set by the importer on the amount of goods that it will accept for a particular product is,C,H,Theory,Single Choice,Marketing: Market Research,
, Tariff,,,,,,
, Embargo,,,,,,
, Quota,,,,,,
, Blockade,,,,,,
,,,,,,,
,"""Sar Utha ke jiyo"" is the tagline of which company?",C,H,Theory,Single Choice,Marketing: Market Research,
, ICICI Lombard,,,,,,
, Max Insurance,,,,,,
, HDFC Life,,,,,,
, TATA AIG general insurance,,,,,,
,,,,,,,
,There are more than 20 million left handed people in the US alone. But still marketers do not feel the need to fashion products for this group f people because there is little about the census data of this group. This group required which kind of segmentation?,D,E,Theory,Single Choice,Marketing: Market Research,
, Differentiable,,,,,,
, Actionable,,,,,,
, Applicable,,,,,,
, None of the above,,,,,,
,,,,,,,
,"An ice cream manufacturing company sells ice cream in 500 gram packs. Periodically, s sample is taken to check whether, on the average, each pack contains 500 grams. A sample of 16 packs is taken and the sample mean is found to be 460 grams and the estimated standard deviation is 40 grams. What is the critical value of the t-statistic?",B,E,Theory,Single Choice,Marketing: Market Research,
, 4,,,,,,
, 2.1,,,,,,
, 3.5,,,,,,
, -4,,,,,,
,,,,,,,
,Standard deviation is given as 46 for a study which is to determine a certai parameter in a community. If sample error of upto 4 is to be accepted how many subjects should be included in this study for 99% confidence level?,C,E,Theory,Single Choice,Marketing: Market Research,
, 900,,,,,,
, 878,,,,,,
, 881,,,,,,
, None of the above,,,,,,
,,,,,,,
,We desire to estimate the proportion of girls in a certain school. In a similar study for another school the proportion was fond to be 30%.  Deteremine the minimum sample size required at a confidence level of 95% with 4% of difference of the true population accepted.,C,E,Theory,Single Choice,Marketing: Market Research,
, 510,,,,,,
, 507,,,,,,
, 505,,,,,,
, None of the above,,,,,,
,,,,,,,
,In which stage of the following buyer decision model does cognitive dissonance occur?,B,E,Theory,Single Choice,Marketing: Market Research,
, Need recognition,,,,,,
, Post purchase behaviour,,,,,,
, Purchase decision,,,,,,
, Evaluation of alternatives,,,,,,
,,,,,,,
,Which among the following is a segmentation under psychographic segmentation?,A,M,Theory,Single Choice,Marketing: Market Research,
, Lifestyle,,,,,,
, Occupation,,,,,,
, Age,,,,,,
, Sex,,,,,,
,,,,,,,
,Points to a change in customer's behaviour arising from experience,A,M,Theory,Single Choice,Marketing: Market Research,
, Learning,,,,,,
, Motivation,,,,,,
, Proactive,,,,,,
, Perception,,,,,,
,,,,,,,
,"Is the process of obtaining primary data by observing people, actions and situations",C,M,Theory,Single Choice,Marketing: Market Research,
, Marketing research,,,,,,
, Secondary research,,,,,,
, Observational research,,,,,,
, Situational research,,,,,,
,,,,,,,
,Is the best approach for gathering descriptive information,C,M,Theory,Single Choice,Marketing: Market Research,
, Poll,,,,,,
, Questionnaire,,,,,,
, Survey,,,,,,
, Causal research,,,,,,
,,,,,,,
,Is a product offered either for free or at low cost as an incentive to buy a product,C,M,Theory,Single Choice,Marketing: Market Research,
, Complementary,,,,,,
, Bonus,,,,,,
, Premium,,,,,,
, Patronage reward,,,,,,
,,,,,,,
,During which of the following stages of the sellig process cal objectives are set?,A,M,Theory,Single Choice,Marketing: Market Research,
, Pre approach,,,,,,
, Post approach,,,,,,
, Follow up,,,,,,
, Preparation,,,,,,
,,,,,,,
,The second step of the marketing research process involves which of the following?,D,M,Theory,Single Choice,Marketing: Market Research,
, Collecting data,,,,,,
, Planning,,,,,,
, Sample size determination,,,,,,
, Determining information needed.,,,,,,
,,,,,,,
,One of the main advantage of survey research is,B,H,Theory,Single Choice,Marketing: Market Research,
, Cheap,,,,,,
, Flexibility,,,,,,
, Time saving,,,,,,
, Accurate,,,,,,
,,,,,,,
,Can be used to collect vast amounts of information at a relatively low cost per respondent,A,H,Theory,Single Choice,Marketing: Market Research,
, Mail,,,,,,
, Telephone,,,,,,
, Fax,,,,,,
, Personal interview,,,,,,
,,,,,,,
,What are the characteristics of a good marketing research?,D,H,Theory,Single Choice,Marketing: Market Research,
, Creativity,,,,,,
, Scientific method,,,,,,
, Independence of model and data,,,,,,
, All of the above,,,,,,
,,,,,,,
,Many managers see marketing research only as a,A,H,Theory,Single Choice,Marketing: Market Research,
, Fact finding operation,,,,,,
, Market build up operation,,,,,,
, Continuous operation,,,,,,
, None of the above,,,,,,
,,,,,,,
,One among the following sales presentation approach requires good listening and problem solving skills,D,H,Theory,Single Choice,Marketing: Market Research,
, Formula approach,,,,,,
, The network approach,,,,,,
, The Hard selling approach,,,,,,
, Need-satisfaction approach,,,,,,
,,,,,,,
,"Which of the following service characteristics refers that services are sold, produced and consumed at the same time?",D,H,Theory,Single Choice,Marketing: Market Research,
, Heterogeneity,,,,,,
, Perishability,,,,,,
, Intangibility,,,,,,
, None of the above,,,,,,
,,,,,,,
,The choice between high markups and high volume is part of ,B,H,Theory,Single Choice,Marketing: Market Research,
, Product assortment decisions,,,,,,
, Pricing decisions,,,,,,
, Services mix,,,,,,
, None of the above,,,,,,
,,,,,,,
,"The advantages of audience selectivity, no ad competition and personalization apply to which type of media?",A,H,Theory,Single Choice,Marketing: Market Research,
, Direct mail,,,,,,
, Radio,,,,,,
, Television,,,,,,
, Internet,,,,,,
,,,,,,,
,PMR stands for,C,H,Theory,Single Choice,Marketing: Market Research,
, Post Market research,,,,,,
, Preliminary market research,,,,,,
, Primary market research,,,,,,
, post market review,,,,,,
,,,,,,,
,The worth of a hypothesis often depends on the skills of the ,A,H,Theory,Single Choice,Marketing: Market Research,
, Researcher,,,,,,
, Marketer,,,,,,
, Managing Director,,,,,,
, Chief Marketing Officer,,,,,,
,,,,,,,
,If Cristiano Ronaldo and Virat Kohli are using marketing to endorse and promote their careers then they are using,D,H,Theory,Single Choice,Marketing: Market Research,
, Call to action marketing,,,,,,
, Viral Marketing,,,,,,
, Idea Marketing,,,,,,
, Person Marketing,,,,,,
,,,,,,,
,Disney partnered with which Non-profit organization in the year 2016 for a social media campaign?,B,H,Theory,Single Choice,Marketing: Market Research,
, Teach for America,,,,,,
, Make a Wish,,,,,,
, Greenpeace,,,,,,
, World Wildlife Fund,,,,,,
,,,,,,,
,"The test statistic for testing the null hypothesis such that the population mean is 27 mpg( H0:u is equal to 27, Ha:u not equal to 27)",B,E,Theory,Single Choice,Marketing: Market Research,
, 4.56,,,,,,
, 3.98,,,,,,
, 1.96,,,,,,
, None of the above,,,,,,
,,,,,,,
,A type ll error occurs when,B,E,Theory,Single Choice,Marketing: Market Research,
, the null hypothesis is rejected when it is true,,,,,,
, the null hypothesis is accepted when it is false,,,,,,
, the alternate hypothesis is accepted when it is true,,,,,,
, the alternate hypothesis is accepted when it is false,,,,,,
,,,,,,,
,In a state 52% of the voters are republicans and 48% democrats. In another state 47% voters are republicans and 53% democrats. Taking arandom sample of 100 what is the probability that the survey will show a greater percentage of Republican voters in the second state?,C,E,Theory,Single Choice,Marketing: Market Research,
, 0.24,,,,,,
, 0.04,,,,,,
, 0.06,,,,,,
, 0.03,,,,,,
,,,,,,,
,Suppose a budget is fixed rs.3000 and the cost per observation is rs.6 in each stratum. The total sample size is,D,E,Theory,Single Choice,Marketing: Market Research,
, 600,,,,,,
, 400,,,,,,
,350,,,,,,
, None of the above,,,,,,
,,,,,,,
,"Marketing Research links the customer, consumer and public to the marketer through",B,E,Theory,Single Choice,Marketing: Market Research,
, Sales,,,,,,
, Information,,,,,,
, Distributor,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is the difference between the terms market research and marketing research?,A,M,Theory,Single Choice,Marketing: Market Research,
,  Market research concerns strategic decisions; marketing research does not.,,,,,,
,"  Market research concerns operational decisions, marketing research does not",,,,,,
,"  Marketing research looks at academic matters, market research does not",,,,,,
,  None of the options given are correct.,,,,,,
,,,,,,,
,Which form of data below can usually be obtained more quickly and at a lower cost than the others?,D,M,Theory,Single Choice,Marketing: Market Research,
, Primary,,,,,,
, Survey research,,,,,,
, Experimental research,,,,,,
, Secondary,,,,,,
,,,,,,,
,Causal research is used to ________,D,M,Theory,Single Choice,Marketing: Market Research,
, Describe marketing problems or situations,,,,,,
, Quantify observations that produce insights unobtainable through other forms of research,,,,,,
, Find information at the outset in an unstructured way,,,,,,
, Test hypotheses about cause-and-effect relationships,,,,,,
,,,,,,,
,Which is the least likely survey method to be followed?,B,M,Theory,Single Choice,Marketing: Market Research,
, Email,,,,,,
, Observation,,,,,,
, Telephone,,,,,,
, None of the above,,,,,,
,,,,,,,
,Out of the following forms of marketing research which form is flexible and alends itself to showing products and advertisement?,A,M,Theory,Single Choice,Marketing: Market Research,
, Personal Interview,,,,,,
, Online interview,,,,,,
, Telephonic interview,,,,,,
, None of the above,,,,,,
,,,,,,,
,One of the major drawbacks of Probability sampling is,B,M,Theory,Single Choice,Marketing: Market Research,
, Sampling error cannot be measured,,,,,,
, Time Consuming,,,,,,
, Over reliance on the judgement of the researcher,,,,,,
, None of the above,,,,,,
,,,,,,,
,The most expensive and time consuming phase of marketing research is,D,H,Theory,Single Choice,Marketing: Market Research,
, Causal research,,,,,,
, Exploratory research,,,,,,
, Planning,,,,,,
, Data collection,,,,,,
,,,,,,,
,"Out of the following sources of marketing information which provides ready access to research information, stored reports etc?",B,H,Theory,Single Choice,Marketing: Market Research,
, Extranet,,,,,,
, Intranet,,,,,,
, Internet,,,,,,
, Marketing Intelligence,,,,,,
,,,,,,,
,One of the common problems in International marketing research is the lack of ,B,H,Theory,Single Choice,Marketing: Market Research,
, Primary Data,,,,,,
, Secondary Data,,,,,,
, Cusumer survey response,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is an example of a random sampling technique?,A,H,Theory,Single Choice,Marketing: Market Research,
, Generating a list of numbers randomly and matching these numbers to Street numbers of Delhi,,,,,,
, Taking the name of every street name of Delhi,,,,,,
," Taking the name of every street number that starts with the letter ""S"" in Delhi",,,,,,
, None of the above,,,,,,
,,,,,,,
,Research that can affect the long-term strategy of a firm and designed to predict external occurences is called,B,H,Theory,Single Choice,Marketing: Market Research,
, Product testing,,,,,,
, Evironmental forecasting,,,,,,
, Competitive analysis,,,,,,
, None of the above,,,,,,
,,,,,,,
,"After defining the problem, the researcher has to set",B,H,Theory,Single Choice,Marketing: Market Research,
, Research Principles,,,,,,
, Research Objectives,,,,,,
, All of the above,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not included in the consumer decision process?,D,H,Theory,Single Choice,Marketing: Market Research,
, Information search,,,,,,
, Evaluation of alternatives,,,,,,
, Purchase,,,,,,
, Information processing,,,,,,
,,,,,,,
,The specifications used to compare different products or brands is called,D,H,Theory,Single Choice,Marketing: Market Research,
, Decision factors,,,,,,
, Salient features,,,,,,
, Product class,,,,,,
, Determinant attributes,,,,,,
,,,,,,,
,The most complex among the following decision process is,C,H,Theory,Single Choice,Marketing: Market Research,
, Routine problem solving,,,,,,
, Limited problem solving,,,,,,
, Extended problem solving,,,,,,
, None of the above,,,,,,
,,,,,,,
,When marketers tery to tell that their product is better than their competitors then this is making the ad,A,H,Theory,Single Choice,Marketing: Market Research,
, Distinctive,,,,,,
, Remembered,,,,,,
, Believable,,,,,,
, Appealing,,,,,,
,,,,,,,
,"A firm ""B"" uses marketing research as the key to its efforts to maintaing long term customer relationships. The firm is using  this tool as means to achieving its goal of ",B,H,Theory,Single Choice,Marketing: Market Research,
, Determination of potential buyers,,,,,,
, Relationship marketing,,,,,,
,  Profitable promotion,,,,,,
, All of the above,,,,,,
,,,,,,,
,"Firm ""A"" wants to monitor appropriateness in its marketing strategy in order to determine whether any changes are required in ts current strategy. The firm may use which of the following tools to achieve this?",C,M,Theory,Single Choice,Marketing: Market Research,
, Google Analytics,,,,,,
, Peerindex,,,,,,
, Perceptual Mapping,,,,,,
, Fedstats,,,,,,
,,,,,,,
,"X1, X2, X3 are three independent random variables that are normally distributed with means and variances as follows:
                                                                      Mean                          Variance
X1                                                                   10                                  1
X2                                                                   20                                  2
X3                                                                   30                                  3
The mean, variance and the standard deviation of the distribution S=X1+X2+X3 is?",C,M,Theory,Single Choice,Marketing: Market Research,
," Mean=70, variance= 5, standard deviation= 3",,,,,,
," Mean=60, variance= 6, standard deviaton= 2.39",,,,,,
," Mean=60, variance=6, standard deviation= 2.45",,,,,,
, None of the above,,,,,,
,,,,,,,
,"An economist wants to estimate the average amount in checking accounts at banks in a given region. A random sample of 100 accounts gves x̄=357.60 and s=140.00. Give a 95% confidence interval for μ, the average amount in any checking account at a bank in the given region is",D,M,Theory,Single Choice,Marketing: Market Research,
, 333.55 to 378.04,,,,,,
, 357.60 to 385.04,,,,,,
, 356.23 to 395.06,,,,,,
, 330.16 to 385.04,,,,,,
,,,,,,,
,"The manufacturer of a sports car wants to estimate the proportion of peope in a given income bracket who are interested in the model. The company wants to know the population proportion ""p"" to within 0.10 with 99% confidence. Current company records indicate that the population ""p"" may be around 0.25. What is the minimum required sample size for this survey?",D,M,Theory,Single Choice,Marketing: Market Research,
, 126,,,,,,
, 132,,,,,,
, 120,,,,,,
, 125,,,,,,
,,,,,,,
,Cluster sampling is a type of ,A,M,Theory,Single Choice,Marketing: Market Research,
, Random Sampling,,,,,,
, Direct Sampling,,,,,,
, Non Random Sampling,,,,,,
, Indirect Sampling,,,,,,
,,,,,,,
,Which concept holds that if consumers and business are left alone then nt enough of the Organization's products will be bought?,C,M,Theory,Single Choice,Marketing: Market Research,
, Product,,,,,,
, Societal marketing,,,,,,
, Selling,,,,,,
, Production,,,,,,
,,,,,,,
,Whic marketing concept involves adding new features to a product?,A,H,Theory,Single Choice,Marketing: Market Research,
, Product,,,,,,
, Production,,,,,,
, Sales,,,,,,
, Holistic Marketing,,,,,,
,,,,,,,
,What kind of markets are made up of members of the distribution chain?,C,H,Theory,Single Choice,Marketing: Market Research,
, B2C,,,,,,
, B2B,,,,,,
, Channel,,,,,,
, None of the above,,,,,,
,,,,,,,
,The Promotion(P) is also known as,D,H,Theory,Single Choice,Marketing: Market Research,
, Product attributes,,,,,,
, Market differentiation,,,,,,
, Advertising,,,,,,
, None of the above,,,,,,
,,,,,,,
,A company distributes its products through one or more resellers. This is called,B,H,Theory,Single Choice,Marketing: Market Research,
, Direct Marketing,,,,,,
, Indirect Marketing,,,,,,
, Cause Marketing,,,,,,
, CTA Marketing,,,,,,
,,,,,,,
,The major advantage of using standardization technique in internationa marketing research is,A,H,Theory,Single Choice,Marketing: Market Research,
, Cost reduction,,,,,,
, Great after sales service,,,,,,
, Product differentiation,,,,,,
, None of the above,,,,,,
,,,,,,,
,The basic level of a product is,D,H,Theory,Single Choice,Marketing: Market Research,
, Augmented product,,,,,,
, Actual product,,,,,,
, Expected product,,,,,,
, Core product,,,,,,
,,,,,,,
,Which is a basic and distinctive mode of expression when speaking in terms of special product life cycles?,D,H,Theory,Single Choice,Marketing: Market Research,
, Gender,,,,,,
, Age,,,,,,
, Affection,,,,,,
, None of the above,,,,,,
,,,,,,,
,"Brand awareness, perception etc. created by the brand name in the customer's mind are all the concept of ",C,H,Theory,Single Choice,Marketing: Market Research,
, Brand mark,,,,,,
, Brand loyalty,,,,,,
, Brand equity,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is the first step in the global logistic process?,C,H,Theory,Single Choice,Marketing: Market Research,
, Determine ownership,,,,,,
, Strategic planning,,,,,,
, Evaluation of the new market,,,,,,
, Logistics Planning,,,,,,
,,,,,,,
,Out of the following which pricing adds international costs and a mark up to domestic manufacturing cost,D,H,Theory,Single Choice,Marketing: Market Research,
, Import price,,,,,,
, Export price,,,,,,
, Incremental price,,,,,,
, Cost plus price,,,,,,
,,,,,,,
,Another name for grey market channels is,B,H,Theory,Single Choice,Marketing: Market Research,
, Strategic exit exports,,,,,,
, Parallel imports,,,,,,
, Market imports,,,,,,
, None of the above,,,,,,
,,,,,,,
,Euro Disney transforming to Disneyland Paris due to the shrinking of Euro is an example of ,A,H,Theory,Single Choice,Marketing: Market Research,
, Fade in/fade out,,,,,,
, Co branding,,,,,,
, Umbrella branding,,,,,,
, Summary axing,,,,,,
,,,,,,,
,If Volkswagen describes one of its new cars as one for middle income people and that it is well suited for small errands then which of the following concepts does it use?,A,H,Theory,Single Choice,Marketing: Market Research,
, Product Concept,,,,,,
, Holistic marketing,,,,,,
, Production concept,,,,,,
, None of the above,,,,,,
,,,,,,,
,Full form of CMS,B,E,Theory,Single Choice,Marketing: Market Research,
, Cost Management System,,,,,,
, Content Management System,,,,,,
, Certified Management System,,,,,,
, None of the above,,,,,,
,,,,,,,
,The first Indian Genomics Beacon was launched in which country?,D,E,Theory,Single Choice,Marketing: Market Research,
, USA,,,,,,
, France,,,,,,
, Germany,,,,,,
, UK,,,,,,
,,,,,,,
,A sample of 81 observations is taken from a normal population with a standard deviation of 5. The sample mean is 40. What is the 95% confidence interval for the population mean?,D,E,Theory,Single Choice,Marketing: Market Research,
," 34.7, 38.5",,,,,,
," 46.3, 56.5",,,,,,
," 22.4,30.6",,,,,,
," 38.9,41.9",,,,,,
,,,,,,,
,A sample of 10 observation is taken from a normal population for which the population standard deviation is 5. The sample mean is 20. The standard error of the mean is,B,E,Theory,Single Choice,Marketing: Market Research,
, 2.5,,,,,,
, 1.6,,,,,,
, 1.8,,,,,,
, None of the above,,,,,,
,,,,,,,
,To cover various groupings of customers Marketers often use the term,A,E,Theory,Single Choice,Marketing: Market Research,
, Market,,,,,,
, Segmentation,,,,,,
, Population,,,,,,
, None of the above,,,,,,
,,,,,,,
,The buying process occurs when a customer recognizes a ,C,E,Theory,Single Choice,Marketing: Market Research,
, An advertisement,,,,,,
, A product,,,,,,
, A need,,,,,,
, None of the above,,,,,,
,,,,,,,
,When consumers' demands cannot be satisfied by an exiting product then such a demand is called,C,E,Theory,Single Choice,Marketing: Market Research,
, Short- term demand,,,,,,
