,Question,Correct Answers,Level,Category,Type,Skills,Answer Description
,Use case diagrams can be used to describe the following systems,D,H,Theory,Single choice,IT:,
, Manual,,,,,,
, Automated,,,,,,
, Neither a nor b,,,,,,
, Both a and b,,,,,,
,,,,,,,
,A digital system used the following key,A,H,Theory,Single choice,IT:,
, Asymmetric key,,,,,,
, Symmetric key,,,,,,
, Either a or b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,What is the largest decimal value that can be represented using 8 bits,B,-,Theory,Single choice,IT:,
, 256,,,,,,
, 255,,,,,,
, 11111111,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which ones of the following are information management systems?,D,E,Theory,Single choice,IT:,
, Performance Management System,,,,,,
, Enterprise Resource Planning Systems,,,,,,
, Customer Relationship Management Systems,,,,,,
, All of the above,,,,,,
,,,,,,,
,Which of the following is not a database management system?,C,E,Theory,Single choice,IT:,
, Oracle,,,,,,
, Microsoft Access,,,,,,
, Enterprise Resource Planning,,,,,,
, MS SQL,,,,,,
,,,,,,,
,Which one of the following is not an SDLC model?,D,E,Theory,Single choice,IT:,
, RAD,,,,,,
, Incremental,,,,,,
, Spiral,,,,,,
, Snowflake,,,,,,
,,,,,,,
,Which of the following is not a term related to Agile methodology?,D,E,Theory,Single choice,IT:,
, Scrum Master,,,,,,
, Burndown Chart,,,,,,
, Sprint Backlog,,,,,,
, Product Catalog,,,,,,
,,,,,,,
,"In agile,Velocity is a measure of?",B,E,Theory,Single choice,IT:,
, Customer buy-in,,,,,,
, Project progress,,,,,,
, Risk mitigation,,,,,,
, Risk assessment,,,,,,
,,,,,,,
,____ means that a sender must not be able to deny sending a message that he sent,C,M,Theory,Single choice,IT:,
, Confidentiality,,,,,,
, Integrity,,,,,,
, Nonrepudiation,,,,,,
, Authentication,,,,,,
,,,,,,,
,What is the full form of OLAP?,C,M,Theory,Single choice,IT:,
, Online Analytics Processes,,,,,,
, Online Analytical Processes,,,,,,
, Online Analytical Processing,,,,,,
, Online Analytics Processing,,,,,,
,,,,,,,
,Data flow between two devices can occur in all the ways except:,B,M,Theory,Single choice,IT:,
, Simplex,,,,,,
, Semi-duplex,,,,,,
, Half-duplex,,,,,,
, Full-duplex,,,,,,
,,,,,,,
,What is data scrubbing?,D,M,Theory,Single choice,IT:,
, A process to reject data from the data warehouse and to create the necessary indexes,,,,,,
, A process to load the data in the data warehouse and to create the necessary indexes,,,,,,
, A process to upgrade the quality of data after it is moved into a data warehouse,,,,,,
, A process to upgrade the quality of data before it is moved into a data warehouse,,,,,,
,,,,,,,
,Data mining aims to:,A,M,Theory,Single choice,IT:,
, To explain some observed event or condition,,,,,,
, To confirm that data exists,,,,,,
, To analyze data for expected relationships,,,,,,
, To create a new data warehouse,,,,,,
,,,,,,,
,Which of the following is true about data wartehousing?,C,M,Theory,Single choice,IT:,
, Can be updated by end users,,,,,,
, Contains numerous naming conventions and formats,,,,,,
, Organized around important subject areas,,,,,,
, Contains only current data,,,,,,
,,,,,,,
,Fact tables are:,C,M,Theory,Single choice,IT:,
, Partially normalised,,,,,,
, Completely denormalised,,,,,,
, Completey normalised,,,,,,
, Partially denormalised,,,,,,
,,,,,,,
,A star schema is ______ relationship between a dimension and fact table,B,M,Theory,Single choice,IT:,
, Many-to-many,,,,,,
, One-to-many,,,,,,
, One-to-one,,,,,,
, All of the above,,,,,,
,,,,,,,
,OLAP has a ______ database,A,M,Theory,Single choice,IT:,
, de-normalised,,,,,,
, normalised,,,,,,
, Either a or b,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is the full form of SCD?,C,M,Theory,Single choice,IT:,
, Slowly Changing Datasets,,,,,,
, Slowly Changing Data,,,,,,
, Slowly Changing Dimensions,,,,,,
, Slowly Changing Databases,,,,,,
,,,,,,,
,Which criteria ensures that we cannot have two messages which hash to the same digest,B,H,Theory,Single choice,IT:,
, One-wayness,,,,,,
, Weak-Collision resistance,,,,,,
, Strong-Collision resistance,,,,,,
, None of the above,,,,,,
,,,,,,,
,All of the following are types of dimensional modeling except:,D,H,Theory,Single choice,IT:,
, Conceptual,,,,,,
, Logical,,,,,,
, Physical,,,,,,
, Virtual,,,,,,
,,,,,,,
,The fact table which doesn’t contain numeric fact column in the fact table are called,B,H,Theory,Single choice,IT:,
, No-fact fact table,,,,,,
, Factless Fact table,,,,,,
, Zero Fact table,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following involves running of complex queries by systems?,A,H,Theory,Single choice,IT:,
, OLAP,,,,,,
, OLTP,,,,,,
, Neither a nor b,,,,,,
, Both a and b,,,,,,
,,,,,,,
,All of the following are stages of datawarehousing except:,D,H,Theory,Single choice,IT:,
, Offline Datawarehouse,,,,,,
, Real Time Datawarehouse,,,,,,
, Integrated Datawarehouse,,,,,,
, Online Datawarehouse,,,,,,
,,,,,,,
,What is the full form of OLTP?,C,H,Theory,Single choice,IT:,
, On-line transactional processing,,,,,,
, On-line transactional processes,,,,,,
, On-line transaction processing,,,,,,
, On-line transaction processes,,,,,,
,,,,,,,
,Which is the first search engine on the internet?,B,-,Theory,Single choice,IT:,
, Google,,,,,,
, Archie,,,,,,
, Altavista,,,,,,
, None of the above,,,,,,
,,,,,,,
,"The availability of a complex software is 90%. Its Mean Time Between Failure (MTBF) is 200 days. Because of the critical nature of the usage, the organization deploying the software further enhanced it to obtain an availability of 95%. In the process, the Mean Time To Repair (MTTR) increased by 5 days. What is the MTBF of the enhanced software",C,-,Theory,Single choice,IT:,
, 205 days,,,,,,
, 300 days,,,,,,
, 500 days,,,,,,
, 700 days,,,,,,
,,,,,,,
,A Digital Signature provides,C,E,Theory,Single choice,IT:,
, Authentication,,,,,,
, Integrity,,,,,,
, Both a and b,,,,,,
, Either a or b,,,,,,
,,,,,,,
,What is the value returned by hash functions called?,D,E,Theory,Single choice,IT:,
, Hash values,,,,,,
, Hash sums,,,,,,
, Hash codes,,,,,,
, All of the above,,,,,,
,,,,,,,
,Actors in a use case diagram can be,C,E,Theory,Single choice,IT:,
, Humans,,,,,,
, Automated systems,,,,,,
, Both,,,,,,
, None of the above,,,,,,
,,,,,,,
,_____ is set to be a unique identifier for each row that can be used for the primary key to a table,B,M,Theory,Single choice,IT:,
, Foreign Key,,,,,,
, Surrogate Key,,,,,,
, Unique Key,,,,,,
, Composite key,,,,,,
,,,,,,,
,What is the term used to define data about the data?,D,M,Theory,Single choice,IT:,
, Data dictionary,,,,,,
, Datamart,,,,,,
, Database,,,,,,
, Metadata,,,,,,
,,,,,,,
,The most common source of change data in refreshing a data warehouse is:,D,M,Theory,Single choice,IT:,
, Queryable Change Data,,,,,,
, Cooperative Change Data,,,,,,
, Logged Change Data,,,,,,
, Snapshot Change Data,,,,,,
,,,,,,,
,Which of the following statements are true?,C,M,Theory,Single choice,IT:,
, The data warehouse consists of data marts and operational data,,,,,,
, The data warehouse is used as a source for the operational data,,,,,,
, The operational data are used as a source for the data warehouse,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is the full form of CMMI?,C,M,Theory,Single choice,IT:,
, Capability Methods Model Integration,,,,,,
, Capability Management Model Integration,,,,,,
, Capability Maturity Model Integration,,,,,,
, Capability Modifications Management Integration,,,,,,
,,,,,,,
,Challenge-response authentication can be done using,D,M,Theory,Single choice,IT:,
, Symmetric key ciphers,,,,,,
, Asymmetric key ciphers,,,,,,
, Keyed hash functions,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is the run command for device manager? ,B,M,Theory,Single choice,IT:,
, dvcmgmt.msc,,,,,,
, devmgmt.msc,,,,,,
, None of the above,,,,,,
, Either a or b,,,,,,
,,,,,,,
,How many layers are there in OSI Model ?,C,M,Theory,Single choice,IT:,
, 9,,,,,,
, 4,,,,,,
, 7,,,,,,
, 11,,,,,,
,,,,,,,
,Which of the following is true about ERP?,B,H,Theory,Single choice,IT:,
, Most ERP software implementations fully achieve seamless integration,,,,,,
," Some ERP software packages are themselves combinations of separate applications for manufacturing, materials resource planning, general ledger, human resources, procurement, and order entry",,,,,,
,A specific enterprise software package implemented uniformly throughout an enterprise is likely to contain very flexible connections to allow changes and software variations.,,,,,,
,ERP systems are designed primarily for small businesses,,,,,,
,,,,,,,
,The redesign of business processes or systems to achieve a dramatic improvement in enterprise performance is called,A,H,Theory,Single choice,IT:,
, Reengineering,,,,,,
, Renovation,,,,,,
, Redesigning,,,,,,
, Reinterfacing,,,,,,
,,,,,,,
,What is REA ontology?,A,H,Theory,Single choice,IT:,
," Resources, Events, and Agents",,,,,,
," Resources, Events, and Applications",,,,,,
," Resources, Events, and Acquisitions",,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following about the REA ontology is false?,A,H,Theory,Single choice,IT:,
," The REA ontology encourages the use of artificial constructs, such as the many artificial constructs included in SAP systems",,,,,,
, The purpose of the REA enterprise ontology is to define constructs common to all enterprises and to demonstrate how those constructs may be represented in an integrated enterprise information system,,,,,,
," Effective REA modeling requires and enables thorough understanding of an enterprise's environment, business processes, risks, and information needs",,,,,,
, All are true,,,,,,
,,,,,,,
,Which of the following models focuses on the individual workflow steps involved in accomplishing events in an enterprise?,D,H,Theory,Single choice,IT:,
, Value system level REA model,,,,,,
, Value chain level REA model,,,,,,
, Business process level REA model,,,,,,
, Task level REA model,,,,,,
,,,,,,,
,Which transaction cycle typically does not affect the calculation of cash balances?,C,H,Theory,Single choice,IT:,
, Acquisition process,,,,,,
, Financing process,,,,,,
, Conversion process,,,,,,
, Sales process,,,,,,
,,,,,,,
,"The risks associated with recording, maintaining, and reporting information about resources, events, agents, and relationships among them is called",B,H,Theory,Single choice,IT:,
, Business process risk,,,,,,
, Information process risk,,,,,,
, Industry risk,,,,,,
, Enterprise risk,,,,,,
,,,,,,,
,What is the availability of a software with the following reliability figures? Mean Time Between Failure (MTBF) = 25 days Mean Time To Repair (MTTR) = 6 hours,D,-,Theory,Single choice,IT:,
, 1%,,,,,,
, 99%,,,,,,
, 24%,,,,,,
, 99.009%,,,,,,
,,,,,,,
,What is the virtual table in a database called?,B,E,Theory,Single choice,IT:,
, Virtual table,,,,,,
, View,,,,,,
, Unreal table,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is ODS?,B,E,Theory,Single choice,IT:,
, Operation Data Storage,,,,,,
, Operational Data Store,,,,,,
, Operations Data Storage,,,,,,
, None of the above,,,,,,
,,,,,,,
,Data in a datawarehouse is:,B,E,Theory,Single choice,IT:,
, Data are often deleted,,,,,,
, Data is rarely deleted,,,,,,
, Relatively few records are processed by applications,,,,,,
, Most applications consist of transactions,,,,,,
,,,,,,,
,ERP stands for,D,E,Theory,Single choice,IT:,
, Enterprise Resouce Platform,,,,,,
, Enterprise Resource Portfolio,,,,,,
, Enterprise Resource Programme,,,,,,
, Enterprise Resource Planning,,,,,,
,,,,,,,
,The language used in creating websites is:,B,E,Theory,Single choice,IT:,
, COBOL,,,,,,
, XML,,,,,,
, XBRL,,,,,,
, Open EDI,,,,,,
,,,,,,,
,The first computer virus was called:,B,-,Theory,Single choice,IT:,
, Creepy virus,,,,,,
, Creeper virus,,,,,,
, Creeping virus,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is false about REA ontology?,D,M,Theory,Single choice,IT:,
, It attempts to eliminate stovepipes,,,,,,
, It is based on a set of building blocks,,,,,,
, It can be used by all enterprises and by all functional areas within an enterprise,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following often result from reengineering?,C,M,Theory,Single choice,IT:,
, Streamlined workflow,,,,,,
, Reduced headcount,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Which of the following is not an example of REA ontology?,B,M,Theory,Single choice,IT:,
, Raw Materials,,,,,,
, Customers,,,,,,
, Finished Goods,,,,,,
, Labor,,,,,,
,,,,,,,
,Catalysts for the changing nature of enterprise systems include,A,M,Theory,Single choice,IT:,
, Growth of e-commerce,,,,,,
, Increasing satisfaction with general ledger software packages,,,,,,
, Decreasing benefits of supply change management,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which one of the following is not a system?,C,M,Theory,Single choice,IT:,
, Open,,,,,,
, Probabilistic,,,,,,
, Integrated,,,,,,
, Physical,,,,,,
,,,,,,,
,Which one of the following is not an approach for development of Management Information Systems?,A,M,Theory,Single choice,IT:,
, Integrative,,,,,,
, Modular,,,,,,
, Hierarchical,,,,,,
, Elective,,,,,,
,,,,,,,
,In Management information system which is the correct order of the reference of activities that the manager processes ?,A,M,Theory,Single choice,IT:,
," Planning, Organizing, Staffing, Coordinating, Directing, Controlling",,,,,,
," Planning, Staffing, Organizing, Coordinating, Directing, Controlling",,,,,,
," Planning, Organizing, Staffing, Directing, Coordinating, Controlling",,,,,,
," Planning, Organizing, Coordinating, Staffing, Directing, Controlling",,,,,,
,,,,,,,
,A person machine-system and a highly integrated grouping of information-processing functions designed to provide management with a comprehensive picture of specific operation is calle,B,M,Theory,Single choice,IT:,
, DSS,,,,,,
, MIS,,,,,,
, IIS,,,,,,
, All of the above,,,,,,
,,,,,,,
,The most important reason for failure of MIS is,B,M,Theory,Single choice,IT:,
, Use of improper tools for desig,,,,,,
, Non involvement of end-use,,,,,,
, Improper specification,,,,,,
, None of the above,,,,,,
,,,,,,,
,"At the initial CMMI level, the process is ",A,H,Theory,Single choice,IT:,
, Chaotic,,,,,,
, Managed,,,,,,
, Iterative,,,,,,
, Optimized,,,,,,
,,,,,,,
,A large project with fixed requirements need to follow which model?,D,H,Theory,Single choice,IT:,
, Adaptive,,,,,,
, Waterfall,,,,,,
, Iterative,,,,,,
, Incremental,,,,,,
,,,,,,,
,Metric Goals map to:,C,H,Theory,Single choice,IT:,
, Project goal,,,,,,
, Business goal,,,,,,
, Delivery quality,,,,,,
, None of the above,,,,,,
,,,,,,,
,Black box testing is also called,C,M,Theory,Single choice,IT:,
, glass-box testing,,,,,,
, data-driven testing,,,,,,
, logic-driven testing,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is an open-source toolkit for measuring and reporting Java code coverage?,A,H,Theory,Single choice,IT:,
, EMMA,,,,,,
, JProbe,,,,,,
, JCoverage,,,,,,
, insECT,,,,,,
,,,,,,,
,Which of the following is a tool in Code Coverage?,B,H,Theory,Single choice,IT:,
, Silk performer,,,,,,
, Clover,,,,,,
, Benchmark Factory,,,,,,
, Rational Clear Quest,,,,,,
,,,,,,,
,The two methods used for test automation are:,A,H,Theory,Single choice,IT:,
, Capture playback and data-driven approach,,,,,,
, setup( ) and teardown( ),,,,,,
, startup( ) and closure( ),,,,,,
, None of the above,,,,,,
,,,,,,,
,"A software was tested using the error seeding strategy in which 20 errors were seeded in the code. When the code was tested using the complete test suite, 16 of the seeded errors were detected. The same test suite also detected 200 non-seeded errors. What is the estimated number of undetected errors in the code after this testing?",B,-,Theory,Single choice,IT:,
, 4,,,,,,
, 50,,,,,,
, 200,,,,,,
, 250,,,,,,
,,,,,,,
,Who is the brand ambassador of Asus in India?,B,-,Theory,Single choice,IT:,
, Katrina Kaif,,,,,,
, Sonakshi Sinha,,,,,,
, Shraddha Kapoor,,,,,,
, Kareena Kapoor Khan,,,,,,
,,,,,,,
,ValidationSummary control in a webpage,C,H,Theory,Single choice,IT:,
, shows all the error messages from the validators via email,,,,,,
, shows all the error messages from the validators in one specific spot on the page,,,,,,
, shows all the error messages from the validators in the next page,,,,,,
, None of the above,,,,,,
,,,,,,,
,If there are a lot of volatile business requirements and therefore the software is prone  to changes. Which model is appropriate if the changes vary enough for rehaul of certain systems,C,M,Theory,Single choice,IT:,
, Incremental,,,,,,
, Waterfall,,,,,,
, Iterative,,,,,,
, Maintenance,,,,,,
,,,,,,,
,Which one of the following is not an SDLC model?,C,M,Theory,Single choice,IT:,
, Waterfall,,,,,,
, Prototype,,,,,,
, U Model,,,,,,
, Spiral,,,,,,
,,,,,,,
,Which one of the following is not the outcome of CMMI?,C,M,Theory,Single choice,IT:,
,  Productivity Increase,,,,,,
, Process Improvement,,,,,,
, New Coding language,,,,,,
, Reduction of Defects,,,,,,
,,,,,,,
,Which of the following flow shows the proper sequence of events in the quality journey of an organization?,C,M,Theory,Single choice,IT:,
, Certification -> Framework -> Model,,,,,,
, Certification -> Model -> Framework,,,,,,
, Framework -> Model -> Certification ,,,,,,
, Framework -> Certification -> Model,,,,,,
,,,,,,,
,Which SDLC Model have separate and distinct phases of specification and development?,C,H,Theory,Single choice,IT:,
, Agile,,,,,,
, V model,,,,,,
, Waterfall,,,,,,
, Incremental,,,,,,
,,,,,,,
,Which of the following is not the features of regression testing?,D,H,Theory,Single choice,IT:,
, Revisiting and testing all prior bug-fixes in response to new fixes or enhancements,,,,,,
, Retesting all programs that might be affected by the fixes or enhancements,,,,,,
, Discovering the hidden bugs that are not deducted during the previous tests,,,,,,
, Separating the errors logically by applying divide and conquer technique,,,,,,
,,,,,,,
,TCP stands for?,A,M,Theory,Single choice,IT:,
, Test Case Point,,,,,,
, Test Control Point,,,,,,
, Test Case Program,,,,,,
, Test Control Program,,,,,,
,,,,,,,
,"In software , which system checks the performance and functionality of the complete system",A,M,Theory,Single choice,IT:,
, System Testing,,,,,,
, White Box Testing,,,,,,
, Integration Testing,,,,,,
, Regression Testing,,,,,,
,,,,,,,
,A specification or product that has been formally reviewed is called,C,E,Theory,Single choice,IT:,
, Version,,,,,,
, Access,,,,,,
, Baseline,,,,,,
, Metric,,,,,,
,,,,,,,
,Which Operating System doesn't support long file names?,C,E,Theory,Single choice,IT:,
, Windows NT,,,,,,
, Windows 95,,,,,,
, MSDOS,,,,,,
, All of the above,,,,,,
,,,,,,,
,"Usually, in MSDOS, the primary hard disk drives has the drive letter:",C,M,Theory,Single choice,IT:,
, D,,,,,,
, A,,,,,,
, C,,,,,,
, B,,,,,,
,,,,,,,
,What is another term for a zombie computer army?,A,M,Theory,Single choice,IT:,
, Botnet,,,,,,
, Phising farm,,,,,,
, Revenge of the nodes,,,,,,
, None of the above,,,,,,
,,,,,,,
,What does DDoS stand for?,C,M,Theory,Single choice,IT:,
, Dangerous dynamic open security,,,,,,
, Digital Default of Servers,,,,,,
, Distributed Denial of Service,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is phishing?,A,E,Theory,Single choice,IT:,
, A method of online identity theft,,,,,,
, A way to send spam mail to millions of people at once,,,,,,
, A decryption method that uses complex algorithms,,,,,,
, None of the above,,,,,,
,,,,,,,
,What does SSL stand for ?,C,E,Theory,Single choice,IT:,
, Secret Service Logarithm,,,,,,
, Systematic Security Level,,,,,,
, Secure Sockets Layer,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is a security exploit?,A,E,Theory,Single choice,IT:,
, A prepared application that takes advantage of a known weakness,,,,,,
, A prepared application that takes disadvantage of a known weakness,,,,,,
, A prepared application that takes advantage of a known strength,,,,,,
, A prepared application that takes disadvantage of a known strength,,,,,,
,,,,,,,
,What is SQL Injection?,B,M,Theory,Single choice,IT:,
, A general purpose programming language,,,,,,
, A type of security exploit in which the attacker adds Structured Query Language (SQL) code to a Web form input box to gain access to resources or make changes to data,,,,,,
," A prototype-based scripting language that is primarily used in the form of client-side JavaScript, implemented as part of a Web browser in order to provide enhanced user interfaces and dynamic websites",,,,,,
," An American quiz show featuring trivia in history, literature, the arts, pop culture, science, sports, geography, wordplay, and more",,,,,,
,,,,,,,
,"What is a ""white hat"" hacker?",A,H,Theory,Single choice,IT:,
, Someone who specializes in penetration testing and in other testing methodologies to ensure the security of an organization's information systems,,,,,,
, Someone who breaks into a computer system or network with malicious intent,,,,,,
, A hacker,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is a packet sniffer?,C,H,Theory,Single choice,IT:,
, A general-purpose server-side scripting language originally designed for web development to produce dynamic web pages,,,,,,
, A set of rules for encoding documents in machine-readable form,,,,,,
," An application that captures data packets, which can be used to capture passwords and other data in transit over the network",,,,,,
, All of the above,,,,,,
,,,,,,,
,What is Cross-site scripting?,B,H,Theory,Single choice,IT:,
, A programming language that allows control of one or more applications,,,,,,
, A type of computer security vulnerability typically found in Web applications that enables attackers to inject client-side script into Web pages viewed by other users,,,,,,
, A specialized kind of scripting language used for controlling a computer,,,,,,
, A document or information resource that is suitable for the World Wide Web and can be accessed through a web browser and displayed on a monitor or mobile device,,,,,,
,,,,,,,
,What is a rootkit?,C,H,Theory,Single choice,IT:,
, A name server for the Domain Name System's root zone. It directly answers requests for records in the root zone and answers other requests returning a list of the designated authoritative name servers for the appropriate top-level domain (TLD),,,,,,
, The pre-defined name of a UNIX directory,,,,,,
, A rootkit is designed to conceal the compromise of a computer's security,,,,,,
, None of the above,,,,,,
,,,,,,,
,Who is the father of internet?,B,-,Theory,Single choice,IT:,
, Charles Babbage,,,,,,
, Vinton Cerf,,,,,,
, Thomas Harriot,,,,,,
, None of the above,,,,,,
,,,,,,,
,A quantitative measure of a specific desirable attribute of a software is known as,D,E,Theory,Single choice,IT:,
, Defect,,,,,,
, Plan,,,,,,
, Base line,,,,,,
, Metric,,,,,,
,,,,,,,
,"Incremental and Iterative Model s  are also known as ______  ,  _________ respectively",C,M,Theory,Single choice,IT:,
," Spiral, Sequential",,,,,,
," Spiral, Staged Delivery",,,,,,
," Staged Delivery, Spiral",,,,,,
," Sequential, Spiral",,,,,,
,,,,,,,
,Which of the following is not the Performance testing tools?,B,M,Theory,Single choice,IT:,
, Web load,,,,,,
, Requisite Pro,,,,,,
, Astra load,,,,,,
, Load runner,,,,,,
,,,,,,,
,Test objectives and goals are described in ____________,A,M,Theory,Single choice,IT:,
, Test Plan,,,,,,
, Test Method,,,,,,
, Test Scenarios,,,,,,
, Test Case,,,,,,
,,,,,,,
,Which is not the function of the Operating System?,A,E,Theory,Single choice,IT:,
, Virus Protection,,,,,,
, Memory Management,,,,,,
, Disk Management,,,,,,
, Applications management,,,,,,
,,,,,,,
,What's another name for crackers -- malicious hackers who infiltrate secure systems in order to steal information or cause damage,A,M,Theory,Single choice,IT:,
, Black Hats,,,,,,
, Pirates,,,,,,
, Digital Rogues,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not the technique of integration testing?,D,M,Theory,Single choice,IT:,
, Top-down testing,,,,,,
, Big Bang testing,,,,,,
, Bottom up testing,,,,,,
, Side Side testing,,,,,,
,,,,,,,
,The deleted data which is not in the recycle bin can be,C,H,Theory,Single choice,IT:,
, 100 percent retrieved,,,,,,
, Can't be retrieved,,,,,,
, May be retrieved,,,,,,
, None of the above,,,,,,
,,,,,,,
,"Match the problem domains in GROUP I with the solution technologies in GROUP II
Group I                                                      Group II
(P) Service oriented computing                     (1) Interoperability
(Q) Heterogeneous communicating systems   (2) BPMN
(R) Information representation                       (3) Publish-find-bind
(S) Process description                                (4) XML ",C,H,Theory,Single choice,IT:,
," P-1, Q-2, R-3, S-4",,,,,,
," P-3, Q-4, R-2, S-1",,,,,,
," P-3, Q-1, R-4, S-2",,,,,,
," P-4, Q-3, R-2, S-1",,,,,,
,,,,,,,
