,Question,Answer,Level,Category,Type,Tag,Answer Description
10,"High risk tolerance, a long investment horizon, and low liquidity needs are most likely to characterize the investment needs of
 a(n):",B,M,Theory,Single Choice,Portfolio Management,"A defined benefit pension plan typically has a long investment time horizon, low liquidity needs, and high risk tolerance.
 Insurance companies and banks typically have low risk tolerance and high liquidity needs. Banks and property and casualty
 insurers typically have short investment horizons."
a),bank.,,,,,,
b),defined benefit pension plan.,,,,,,
c),insurance company.,,,,,,
d),None of these,,,,,,
,,,,,,,
11,Identifying a benchmark for a client portfolio is most likely to be part of the:,B,E,Theory,,,"Identification of the client's benchmark would be established in the planning step, to allow assessment of performance in the
 feedback step."
a),feedback step.,,,,,,
b),planning step.,,,,,,
c),execution step.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,Which of the following is typically the first general step in the portfolio management process?,A,E,Theory,Single Choice,Portfolio Management,"The policy statement is the foundation of the entire portfolio management process. Here, both risk and return are integrated to
 determine the investor's goals and constraints."
a),Write a policy statement.,,,,,,
b),Specify capital market expectations.,,,,,,
c),Develop an investment strategy.,,,,,,
d),None of these,,,,,,
,,,,,,,
13,Which of the following factors is least likely to affect an investor's risk tolerance?,A,M,Theory,Single Choice,Portfolio Management,"The level of inflation in the economy should be considered in determining the return objective. Risk tolerance is a function of the
 investor's psychological makeup and the investor's personal factors such as age, family situation, existing wealth, insurance coverage, current cash reserves and income."
a),Level of inflation in the economy.,,,,,,
b),Number of dependent family members.,,,,,,
c),Level of insurance coverage.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,"In the top-down approach to asset allocation, industry analysis should be conducted before company analysis because:",C,E,Theory,Single Choice,Portfolio Management,"In general, an industry's prospects within the global business environment determine how well or poorly individual firms in the
 industry do. Thus, industry analysis should precede company analysis. The goal is to find the best companies in the most
 promising industries; even the best company in a weak industry is not likely to perform well."
a),the goal of the top-down approach is to identify those companies in non-cyclical industries with the lowest P/E ratios.,,,,,,
b),"most valuation models recommend the use of industry-wide average required returns, rather than individual returns",,,,,,
c),an industry's prospects within the global business environment are a major determinant of how well individual firms in the industry perform.,,,,,,
d),None of these,,,,,,
,,,,,,,
15,"In a defined contribution pension plan, investment risk is borne by the:",C,E,Theory,Single Choice,Portfolio Management,"In a defined contribution plan, the employee makes the investment decisions and assumes the investment risk."
a),employer.,,,,,,
b),plan manager.,,,,,,
c),employee.,,,,,,
d),None of these,,,,,,
,,,,,,,
16,"An individual investor specifies to her investment advisor that her portfolio must produce a minimum amount of cash each period.
 This investment constraint is best classified as:",B,E,Theory,Single Choice,Portfolio Management,Liquidity constraints arise from an investor's need for spendable cash.
a),legal and regulatory.,,,,,,
b),liquidity.,,,,,,
c),unique circumstances.,,,,,,
d),None of these,,,,,,
,,,,,,,
17,"In the Markowitz framework, an investor should most appropriately evaluate a potential investment based on its:",C,M,Theory,Single Choice,Portfolio Management,"Modern portfolio theory concludes that an investor should evaluate potential investments from a portfolio perspective and
 consider how the investment will affect the risk and return characteristics of an investor's portfolio as a whole."
a),intrinsic value compared to market value.,,,,,,
b),expected return.,,,,,,
c),effect on portfolio risk and return.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,Which of the following statements about risk and return is least accurate?,C,E,Theory,Single Choice,Portfolio Management,"Risk and return must always be considered together when expressing investment objectives. Return objectives may be
 expressed either in absolute terms (dollar amounts) or in percentages."
a),Return objectives may be stated in absolute terms.,,,,,,
b),Specifying investment objectives only in terms of return may expose an investor to inappropriately high levels of risk.,,,,,,
c),Risk and return may be considered on a mutually exclusive basis.,,,,,,
d),None of these,,,,,,
,,,,,,,
19,The portfolio approach to investing is best described as evaluating each investment based on its:,A,M,Theory,Single Choice,Portfolio Management,"The portfolio approach to investing refers to evaluating individual investments based on their contribution to the overall risk and
 return of the investor's portfolio."
a),contribution to the portfolio's overall risk and return.,,,,,,
b),potential to generate excess return for the investor.,,,,,,
c),fundamentals such as the financial performance of the issuer.,,,,,,
d),None of these,,,,,,
,,,,,,,
20,Which of the following is NOT a rationale for the importance of the policy statement in investing? It:,C,E,Theory,Single Choice,Portfolio Management,The policy statement outlines broad objectives and constraints but does not get into the details of specific stocks for investment.
a),helps investors understand the risks and costs of investing.,,,,,,
b),forces investors to understand their needs and constraints.,,,,,,
c),identifies specific stocks the investor may wish to purchase.,,,,,,
d),None of these,,,,,,
,,,,,,,
21,Which of the following institutional investors is most likely to have low liquidity needs?,C,E,Theory,Single Choice,Portfolio Management,"A defined benefit pension plan has less need for liquidity than a bank or a property and casualty insurance company. Banks have
 high liquidity needs because assets may have to be sold quickly if depositors withdraw their funds. Property and casualty
 insurance companies need to keep liquid assets to meet claims as they arise."
a),Bank.,,,,,,
b),Property insurance company.,,,,,,
c),Defined benefit pension plan.,,,,,,
d),None of these,,,,,,
,,,,,,,
22,All of the following affect an investor's risk tolerance EXCEPT:,C,M,Theory,Single Choice,Portfolio Management,"Tax concerns play an important role in investment planning. However, these constitute an investment constraint, not an
 investment objective (i.e. risk tolerance)."
a),family situation.,,,,,,
b),years of experience with investing in the markets.,,,,,,
c),tax bracket.,,,,,,
d),None of these,,,,,,
,,,,,,,
23,The ratio of a portfolio's standard deviation of return to the average standard deviation of the securities in the portfolio is known as the:,C,H,Theory,Single Choice,Portfolio Management,"The diversification ratio is calculated by dividing a portfolio's standard deviation of returns by the average standard deviation of
 returns of the individual securities in the portfolio."
a),Sharpe ratio.,,,,,,
b),relative risk ratio.,,,,,,
c),diversification ratio.,,,,,,
d),None of these,,,,,,
,,,,,,,
24,Which of the following types of investors is likely to have the shortest investment horizon?,B,E,Theory,Single Choice,Portfolio Management,"Foundations and life insurance companies typically have long investment horizons. Property and casualty insurance companies
 typically have shorter investment horizons than life insurance companies because claims against their policies occur sooner on
 average."
a),Foundation.,,,,,,
b),Property and casualty insurance company.,,,,,,
c),Life insurance company.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,Which of the following statements about risk and return is NOT correct?,C,H,Theory,Single Choice,Portfolio Management,"Return-only objectives may actually lead to unacceptable behavior on the part of investment managers, such as excessive
 trading (churning) to generate excessive commissions."
a),Return objectives may be stated in dollar amounts.,,,,,,
b),Return objectives should be considered in conjunction with risk preferences.,,,,,,
c),Return-only objectives provide a more concise and efficient way to measure performance for investment managers.,,,,,,
d),None of these,,,,,,
,,,,,,,
26,"When developing the strategic asset allocation in an IPS, the correlations of returns:",A,E,Theory,Single Choice,Portfolio Management,"Asset classes are defined such that correlations of returns within an asset class are relatively high. Low correlations of returns
 among asset classes increase the benefits of diversification across asset classes."
a),within an asset class should be relatively high.,,,,,,
b),among asset classes should be relatively high.,,,,,,
c),within an asset class should be relatively low.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,Which of the following would be assessed first in a top-down valuation approach?,B,H,Theory,Single Choice,Portfolio Management,"In the top-down valuation approach, the investor should analyze macroeconomic influences first, then industry influences, and then
 company influences. Fiscal policy, as part of the macroeconomic landscape, should be analyzed first."
a),Industry risks.,,,,,,
b),Fiscal policy.,,,,,,
c),Industry return on equity (ROE).,,,,,,
d),None of these,,,,,,
,,,,,,,
28,A portfolio manager who believes equity securities are overvalued in the short term reduces the weight of equities in her portfolio to 35% from its longer-term target weight of 40%. This decision is best described as an example of:,C,H,Theory,Single Choice,Portfolio Management,"Tactical asset allocation refers to deviating from a portfolio's target asset allocation weights in the short term to take advantage of
 perceived opportunities in specific asset classes. Strategic asset allocation is determining the target asset allocation percentages
 for a portfolio. Rebalancing is periodically adjusting a portfolio back to its target asset allocation."
a),rebalancing.,,,,,,
b),strategic asset allocation.,,,,,,
c),tactical asset allocation.,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which of the following statements about the importance of risk and return in the investment objective is least accurate?,A,E,Theory,Single Choice,Portfolio Management,"Expressing investment goals in terms of risk is not more appropriate than expressing goals in terms of return. The investment
 objectives should be stated in terms of both risk and return. Risk tolerance will likely help determine what level of expected return
 is feasible."
a),Which of the following statements about the importance of risk and return in the investment objective is least accurate?,,,,,,
b),The return objective may be stated in dollar amounts even if the risk objective is stated in percentages.,,,,,,
c),The investor's risk tolerance is likely to determine what level of return will be feasible.,,,,,,
d),None of these,,,,,,
,,,,,,,
30,"The manager of the Fullen Balanced Fund is putting together a report that breaks out the percentage of the variation in portfolio
 return that is explained by the target asset allocation, security selection, and tactical variations from the target, respectively.
 
Which of the following sets of numbers was the most likely conclusion for the report?",A,E,Numerical,Single Choice,Portfolio Management,"Several studies support the idea that approximately 90% of the variation in a single portfolio's returns can be explained by its
 target asset allocations, with security selection and tactical variations from the target (market timing) playing a much less
 significant role. In fact, for actively managed funds, actual portfolio returns are slightly less than those that would have been
 achieved if the manager strictly maintained the target allocation, thus illustrating the difficultly of improving returns through
 security selection or market timing."
a),"90%, 6%, 4%.",,,,,,
b),"33%, 33%, 33%.",,,,,,
c),"50%, 25%, 25%.",,,,,,
d),None of these,,,,,,
,,,,,,,
1,The top-down analysis approach is most likely to be employed in which step of the portfolio management process?,C,E,Theory,Single Choice,Portfolio Management,Top-down analysis would be used to select securities in the execution step.
a),The feedback step.,,,,,,
b),The planning step.,,,,,,
c),The execution step.,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,An investment manager has constructed an efficient frontier based on a client's investable asset classes. The manager should choose one of these portfolios for the client based on:,A,E,Theory,Single Choice,Portfolio Management,"After defining the investable asset classes and constructing an efficient frontier of possible portfolios of these asset classes, the manager should choose the efficient portfolio that best suits the investor's objectives as defined in the IPS. The investor's strategic asset allocation can then be defined as the asset allocation of the chosen portfolio. Tactical asset allocation based on relative valuation of asset classes would require the manager to deviate from the strategic asset allocation. Risk budgeting refers to the practice of determining an overall risk limit for a portfolio and allocating the risk among trategic asset allocation, tactical
 asset allocation, and security selection."
a),the investment policy statement (IPS).,,,,,,
b),relative valuation of the asset classes.,,,,,,
c),a risk budgeting process.,,,,,,
d),None of these,,,,,,
,,,,,,,
3,Which of the following actions is best described as taking place in the execution step of the portfolio management process?,C,E,Theory,Single Choice,Portfolio Management,"The three major steps in the portfolio management process are (1) planning, (2) execution, and (3) feedback. The planning step includes evaluating the investor's needs and preparing an investment policy statement. The execution step includes choosing a target asset allocation, evaluating potential investments based on top-down or bottom-up analysis, and constructing the portfolio. The feedback step includes measuring and reporting performance and monitoring and rebalancing the portfolio."
a),Developing an investment policy statement.,,,,,,
b),Rebalancing the portfolio.,,,,,,
c),Choosing a target asset allocation.,,,,,,
d),None of these,,,,,,
,,,,,,,
4,"When preparing a strategic asset allocation, how should asset classes be defined with respect to the correlations of returns among the securities in each asset class?",C,E,Theory,Single Choice,Portfolio Management,"The portfolio diversification benefits from strategic asset allocation result from low correlations of returns between asset classes. Asset classes should consist of assets with similar characteristics and investment performance, which means correlations within an asset class are relatively high."
a),Low correlation within asset classes and high correlation between asset classes.,,,,,,
b),Low correlation within asset classes and low correlation between asset classes.,,,,,,
c),High correlation within asset classes and low correlation between asset classes,,,,,,
d),None of these,,,,,,
,,,,,,,
5,Which of the following asset class specifications is most appropriate for asset allocation purposes?,B,M,Theory,Single Choice,Portfolio Management,"An asset class should be specified by type of security (e.g., stocks, bonds, alternative assets, cash) and can then be further subdivided by region or industry classification. An asset class defined only as ""emerging markets"" or ""consumer discretionary firms"" should identify the type of securities (e.g., equities or debt)."
a),Consumer discretionary.,,,,,,
b),Domestic bonds.,,,,,,
c),Emerging markets.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,Which of the following is NOT a rationale for the importance of the policy statement in investing? It:,B,M,Theory,Single Choice,Portfolio Management,By no means should the policy statement force the investor to take risks. The statement forces investors to understand the risks of investing.
a),allows the investor to judge performance by objective standards.,,,,,,
b),forces investors to take risks.,,,,,,
c),specifies a benchmark against which to judge performance.,,,,,,
d),None of these,,,,,,
,,,,,,,
7,"While assessing an investor's risk tolerance, a financial adviser is least likely to ask which of the following questions?",B,M,Theory,Single Choice,Portfolio Management,"While the degree of risk tolerance will have an affect on expected returns, assessing the risk tolerance comes first, and the resulting set of feasible returns follows. The other questions address risk tolerance."
a),How much insurance coverage do you have?,,,,,,
b),What rate of investment return do you expect?,,,,,,
c),Is your home life stable?,,,,,,
d),None of these,,,,,,
,,,,,,,
8,Which of the following best describes the importance of the policy statement? It:,A,E,Theory,Single Choice,Portfolio Management,The policy statement should state the performance standards by which the portfolio's performance will be judged and specify the benchmark that represents the investors risk preferences.
a),states the standards by which the portfolio's performance will be judged.,,,,,,
b),outlines the best investments.,,,,,,
c),limits the risks taken by the investor.,,,,,,
d),None of these,,,,,,
,,,,,,,
9,Which of the following is least likely to be considered a constraint when preparing an investment policy statement?,C,E,Theory,Single Choice,Portfolio Management,"The constraints are: liquidity needs, time horizon, taxes, legal and regulatory factors, and unique needs and preferences. Risk tolerance is included in the investment objectives of the policy statement, not in the constraints."
a),Tax concerns.,,,,,,
b),Liquidity needs.,,,,,,
c),Risk tolerance.,,,,,,
d),None of these,,,,,,
,,,,,,,
10,Which of the following should least likely be included as a constraint in an investment policy statement (IPS)?,B,E,Theory,Single Choice,Portfolio Management,How funds are spent after withdrawal would not be a constraint of an IPS.
a),Any unique needs or preferences an investor may have.,,,,,,
b),How funds are spent after being withdrawn from the portfolio.,,,,,,
c),Constraints put on investment activities by regulatory agencies.,,,,,,
d),None of these,,,,,,
,,,,,,,
11,All of the following are investment constraints EXCEPT:,A,M,Theory,Single Choice,Portfolio Management,"Investment constraints include: liquidity needs, time horizon, tax concerns, legal and regulatory factors and unique needs and preferences. While employer contributions may be of interest, and an issue in some instances, it is not classified as a specific investment constraint."
a),pension plan contributions of the employer.,,,,,,
b),liquidity needs.,,,,,,
c),tax concerns.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,A return objective is said to be relative if the objective is:,C,E,Theory,Single Choice,Portfolio Management,"Relative return objectives are stated relative to specified benchmarks, such as LIBOR or the return on a stock index. Absolute return objectives are stated in terms of specific numerical outcomes, such as a 5% return. Risk objectives (either absolute or relative) may be stated in terms of probability, such as ""no more than a 5% probability of a negative return."""
a),stated in terms of probability.,,,,,,
b),compared to a specific numerical outcome.,,,,,,
c),based on a benchmark index or portfolio.,,,,,,
d),None of these,,,,,,
,,,,,,,
13,"A pooled investment fund buys all the shares of a publicly traded company. The fund reorganizes the company and replaces its management team. Three years later, the fund exits the investment through an initial public offering of the company's shares. This pooled investment fund is best described as a(n):",C,M,Theory,Single Choice,Portfolio Management,"A private equity fund or buyout fund is one that acquires entire public companies, takes them private, and reorganizes the companies to increase their value. An event-driven fund is a hedge fund that invests in response to corporate events such as mergers or acquisitions. Venture capital funds invest in start-up companies."
a),venture capital fund.,,,,,,
b),event-driven fund.,,,,,,
c),private equity fund.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,"Brian Nebrik, CFA, meets with a new investment management client. They compose a statement that defines each of their responsibilities concerning this account and choose a benchmark index with which to evaluate the account's performance. Which of these items should be included in the client's Investment Policy Statement (IPS)?",B,M,Theory,Single Choice,Portfolio Management,"Two of the major components of an IPS should be a statement of the responsibilities of the investment manager and the client, and a performance evaluation benchmark."
a),Neither of these items.,,,,,,
b),Both of these items.,,,,,,
c),Only one of these items.,,,,,,
,,,,,,,
15,An endowment is required by statute to pay out a minimum percentage of its asset value each period to its beneficiaries. This investment constraint is best classified as:,B,E,Theory,Single Choice,Portfolio Management,Legal and regulatory constraints are those that apply to an investor by law.
a),liquidity.,,,,,,
b),legal and regulatory.,,,,,,
c),unique circumstances.,,,,,,
d),None of these,,,,,,
,,,,,,,
16,In a defined benefit pension plan:,A,E,Theory,Single Choice,Portfolio Management,"In a defined benefit pension plan, a periodic payment, typically based on the employee's salary, is promised to the employee upon retirement and the employer contributes to an investment trust that generates the principal growth and income to meet the pension obligation. The employees do not direct the investments in their accounts as they do in a defined contribution plan. Pension expense for a defined benefit plan has several components, including service cost, prior service cost, and interest cost, and depends on actuarial assumptions and the expected rate of return on plan assets."
a),the employee is promised a periodic payment upon retirement.,,,,,,
b),the employee is responsible for making investment decisions.,,,,,,
c),the employer's pension expense is equal to its contributions to the plan.,,,,,,
d),None of these,,,,,,
,,,,,,,
17,Which of the following pooled investments is least likely to employ large amounts of leverage?,C,M,Theory,Single Choice,Portfolio Management,Hedge funds and buyout firms typically employ high leverage to acquire assets. Venture capital typically involves an equity interest.
a),Private equity buyout fund.,,,,,,
b),Global macro hedge fund.,,,,,,
c),Venture capital fund.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,"Two assets are perfectly positively correlated. If 30% of an investor's funds were put in the asset with a standard deviation of 0.3 and 70% were invested in an asset with a standard deviation of 0.4, what is the standard deviation of the portfolio?",C,M,Numerical,Single Choice,Portfolio Management,
a),0.151.,,,,,,
b),0.426.,,,,,,
c),0.370.,,,,,,
d),None of these,,,,,,
,,,,,,,
19,The optimal portfolio in the Markowitz framework occurs when an investor achieves the diversified portfolio with the:,C,M,Theory,Single Choice,Portfolio Management,The optimal portfolio in the Markowitz framework occurs when the investor achieves the diversified portfolio with the highest utility.
a),lowest risk.,,,,,,
b),highest return.,,,,,,
c),highest utility.,,,,,,
d),None of these,,,,,,
,,,,,,,
20,"A portfolio manager adds a new stock that has the same standard deviation of returns as the existing portfolio but has a correlation coefficient with the existing portfolio that is less than +1. Adding this stock will have what effect on the standard deviation of the revised portfolio's returns?

 The standard deviation will:",B,E,Theory,Single Choice,Portfolio Management,"If the correlation coefficient is less than 1, there are benefits to diversification. Thus, adding the stock will reduce the portfolio's standard deviation."
a),decrease only if the correlation is negative.,,,,,,
b),decrease.,,,,,,
c),increase.,,,,,,
d),None of these,,,,,,
,,,,,,,
21,"An investor calculates the following statistics on her two-stock (A and B) portfolio.

 σa = 20%
 σb = 15%
 rab = 0.32
 Wa = 70%
 Wb= 30%

 The portfolio's standard deviation is closest to:",A,H,Numerical,Single Choice,Portfolio Management,
a),0.1600.,,,,,,
b),0.0256.,,,,,,
c),0.1832.,,,,,,
d),None of these,,,,,,
,,,,,,,
22,There are benefits to diversification as long as:,B,H,Theory,Single Choice,Portfolio Management,There are benefits to diversification as long as the correlation coefficient between the assets is less than 1.
a),there is perfect positive correlation between the assets.,,,,,,
b),the correlation coefficient between the assets is less than 1.,,,,,,
c),there must be perfect negative correlation between the assets.,,,,,,
d),None of these,,,,,,
,,,,,,,
23,"Kendra Jackson, CFA, is given the following information on two stocks, Rockaway and Bridgeport.
 Covariance between the two stocks = 0.0325
 Standard Deviation of Rockaway's returns = 0.25
 Standard Deviation of Bridgeport's returns = 0.13

 Assuming that Jackson must construct a portfolio using only these two stocks, which of the following combinations will result in the minimum variance portfolio?",A,H,Numerical,Single Choice,Portfolio Management,"First, calculate the correlation coefficient to check whether diversification will provide any benefit. Since the stocks are perfectly positively correlated, there are no diversification benefits and we select the stock with the lowest risk (as measured by variance or standard deviation), which is Bridgeport."
a),100% in Bridgeport.,,,,,,
b),"80% in Bridgeport, 20% in Rockaway.",,,,,,
c),"50% in Bridgeport, 50% in Rockaway.",,,,,,
d),None of these,,,,,,
,,,,,,,
24,"According to Markowitz, an investor's optimal portfolio is determined where the:",A,E,Theory,Single Choice,Portfolio Management,The optimal portfolio for an investor is determined as the point where the investor's highest utility curve is tangent to the efficient frontier.
a),investor's highest utility curve is tangent to the efficient frontier.,,,,,,
b),investor's utility curve meets the efficient frontier.,,,,,,
c),investor's lowest utility curve is tangent to the efficient frontier.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,Which of the following statements about the optimal portfolio is NOT correct? The optimal portfolio:,B,H,Theory,Single Choice,Portfolio Management,This statement is incorrect because it does not specify that risk must also be considered.
a),lies at the point of tangency between the efficient frontier and the indifference curve with the highest possible utility.,,,,,,
b),is the portfolio that gives the investor the maximum level of return.,,,,,,
c),may be different for different investors.,,,,,,
d),None of these,,,,,,
,,,,,,,
26,Which of the following statements concerning the efficient frontier is most accurate? It is the:,B,E,Theory,Single Choice,Portfolio Management,"Asset classes are defined such that correlations of returns within an asset class are relatively high. Low correlations of returns
 among asset classes increase the benefits of diversification across asset classes."
a),set of portfolios that gives investors the lowest risk.,,,,,,
b),set of portfolios where there are no more diversification benefits.,,,,,,
c),set of portfolios that gives investors the highest return.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,"If the standard deviation of asset A is 12.2%, the standard deviation of asset B is 8.9%, and the correlation coefficient is 0.20, what is the covariance between A and B?",A,M,Numerical,Single Choice,Portfolio Management,The formula is: (correlation)(standard deviation of A)(standard deviation of B) = (0.20)(0.122)(0.089) = 0.0022.
a),0.0022.,,,,,,
b),0.0001.,,,,,,
c),0.0031.,,,,,,
d),None of these,,,,,,
,,,,,,,
28,Stock A has a standard deviation of 10%. Stock B has a standard deviation of 15%. The covariance between A and B is 0.0105. The correlation between A and B is:,C,M,Numerical,Single Choice,Portfolio Management,"Cov = (r )(SDa )(SDb ), where r = correlation coefficient and SD = standard deviation of stock x
 Then, (r ) = Cov / (SDa × SDb ) = 0.0105 / (0.10 × 0.15) = 0.700"
a),0.55.,,,,,,
b),0.25.,,,,,,
c),0.70.,,,,,,
d),None of these,,,,,,
,,,,,,,
29,If the standard deviation of returns for stock A is 0.40 and for stock B is 0.30 and the covariance between the returns of the two stocks is 0.007 what is the correlation between stocks A and B?,C,M,Numerical,Single Choice,Portfolio Management,"Cov = (r )(SDa )(SDb ), where r = correlation coefficient and SD = standard deviation of stock x
 Then, (r ) = Cov / (SDa × SDb ) = 0.007 / (0.400 × 0.300) = 0.0583"
a),17.14300.,,,,,,
b),0.00084.,,,,,,
c),0.05830.,,,,,,
d),None of these,,,,,,
,,,,,,,
30,Which of the following statements best describes risk aversion?,C,E,Numerical,Single Choice,Portfolio Management,"Risk aversion is best defined as: given a choice between two assets of equal return, the investor will choose the asset with the least risk. The investor will not always choose the asset with the least risk or the asset with the least risk and least return. As well, there is a positive, not indirect, relationship between risk and return."
a),There is an indirect relationship between expected returns and expected risk.,,,,,,
b),The investor will always choose the asset with the least risk.,,,,,,
c),"Given a choice between two assets of equal return, the investor will choose the asset with the least risk.",,,,,,
d),None of these,,,,,,
,,,,,,,
1,Stock A has a standard deviation of 0.5 and Stock B has a standard deviation of 0.3. Stock A and Stock B are perfectly positively correlated. According to Markowitz portfolio theory how much should be invested in each stock to minimize the portfolio's standard deviation?,B,M,Numerical,Single Choice,Portfolio Management,"Since the stocks are perfectly correlated, there is no benefit from diversification. So, invest in the stock with the lowest risk."
a),50% in Stock A and 50% in Stock B.,,,,,,
b),100% in Stock B.,,,,,,
c),30% in Stock A and 70% in Stock B.,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,"Which one of the following portfolios cannot lie on the efficient frontier?

 Portfolio        Expected Return       Standard Deviation
 A                               20%                       35%
 B                               11%                        13%
 C                               8%                         10%
 D                              8%                           9%", ,M,Numerical,Single Choice,Portfolio Management,"Portfolio C cannot lie on the frontier because it has the same return as Portfolio D, but has more risk."
a),Portfolio C.,,,,,,
b),Portfolio D.,,,,,,
c),Portfolio A.,,,,,,
d),None of these,,,,,,
,,,,,,,
3,"The covariance of the market's returns with the stock's returns is 0.008. The standard deviation of the market's returns is 0.1 and the standard deviation of the stock's returns is 0.2. 

What is the correlation coefficient between the stock and market returns?",B,M,Numerical,Single Choice,Portfolio Management,"Cov = (r )(SDa )(SDb ), where r = correlation coefficient and SD = standard deviation of stock x
 Then, (r ) = Cov / (SDa × SDb ) = 0.008 / (0.100 × 0.200) = 0.40"
a),0.00016.,,,,,,
b),0.40.,,,,,,
c),0.91.,,,,,,
d),None of these,,,,,,
