,Question,Correct Answer,Level,Category,Type,Tag,Answer Description
,Job analysis,,,,,,
,Talent management,,,,,,
,,,,,,,
,"................................ are manual or computerised records listing employees' education, career and development interests, languages, special skills, and so on, to be used in selecting inside candidates for promotion.",A,M,Theory,Single Choice,Talent Management,
,qualification inventories,,,,,,
,personal replacement charts,,,,,,
,position replacement card,,,,,,
,data mining,,,,,,
,,,,,,,
,Alternative staffing is the use of nontraditional recruitment sources.,A,M,Reasoning,Single Choice,Staffing,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Services that provide short-term specialized recruiting to support specific projects without the expense of retaining traditional search firms-,A,H,Theory ,Single Choice,Recruitment,
,On-demand recruiting services (ODRS),,,,,,
,Data mining recruitment,,,,,,
,Resource recruitment,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Under the popular point method, the common factors to all the jobs are identified.",A,M,Reasoning,Single Choice,Hiring,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,".................................programme is a popular that allows flexible entering & learning (the organisation)
times for the employees.",A,M,Theory,Single Choice,Learning & Development,
,Flexitime,,,,,,
,Flexible Work,,,,,,
,Flexibility machine,,,,,,
,Flext,,,,,,
,,,,,,,
,"There is also a succession plan to every employee, it is also known as-",A,H,Theory,Single Choice,Talent Management,
,shadow planning,,,,,,
,future planning,,,,,,
,Recruitment planning,,,,,,
,Employee planning,,,,,,
,,,,,,,
,........................is the biggest limitation of manpower planning.,B,H,Theory,Single Choice,Manpower Planning,
,Impediment,,,,,,
,Inaccuracy,,,,,,
,Employee uncertainty,,,,,,
,Retirement ,,,,,,
,,,,,,,
,"The tried-and-proven ADDIE five-step training program includes: Attain,Differentiate,Develop,Implement,Equalize ",B,H,Theory,Single Choice,Training & Development,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,".......................... exists only if the future of the organisation is set and the human resource strategies are developed
and used to realise the future through the present. ",A,M,Theory,Single Choice,HR Generalist,
, Strategic human resource management,,,,,,
,HR audit,,,,,,
,Associate human resource management,,,,,,
,None of the above,,,,,,
,,,,,,,
," The percentage of leavers over the average number of
employees- ",A,H,Theory,Single Choice,Talent Management,
,Labour turnover index,,,,,,
,Survival Rate,,,,,,
,Employee turnaround rate,,,,,,
,None of the above,,,,,,
,,,,,,,
,".......................... employees were once productive members of the organization but over time began working less, gossiping more and generally finding reasons for not completing the tasks assigned to them.",C,H,Theory ,Single Choice,Talent Management,
,Lackadaisical,,,,,,
,Empathetic,,,,,,
,Dead-wood,,,,,,
,Dry-coal,,,,,,
,,,,,,,
,"Workforce planning involves reviewing staff resources against business and operation plans to assess current situation and what might need to be changed to meet strategic requirements.
",A,M,Theory,Single Choice,Workforce Planning,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,".......................... is a certain stage at which the upward mobility stops for many
employees. This is inescapable in view of pyramid organisation
structure.",A,H,Theory,Single Choice,Talent Management,
,Plateauing,,,,,,
,deadblock,,,,,,
,stopping milestone,,,,,,
,none of the above,,,,,,
,,,,,,,
,.......................is hiring workers with questionable backgrounds without proper safeguards.,B,M,Theory,Single Choice,Hiring,
,Incoherent hiring,,,,,,
,negligent hiring ,,,,,,
,inappropriate hiring,,,,,,
,Unsuccessful hiring,,,,,,
,,,,,,,
,Using different selection tests to measure an applicant’s qualities against competencies for the job is known as ..............,A,H,Theory,Single Choice,Hiring,
,person-job fit.,,,,,,
,person-organization fit,,,,,,
,equal opportunity compliance,,,,,,
,indirect expense,,,,,,
,,,,,,,
,"Placing a priority on finding individuals that meet broader organizational requirements than job skills, including those who match the values or culture of the organization is called .....................",B,H,Theory,Single Choice,Recruitment,
,advanced selection.,,,,,,
, person-organization fit.,,,,,,
,person-job fit.,,,,,,
,person-value fit.,,,,,,
,,,,,,,
,The problem with performance appraisal is that it tends to focus on short-term objectives rather than long-term learning.,A,M,Reasoning,Single Choice,Performance Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Impression management is- ,D,H,Theory,Single Choice,HR Generalist,
,"the deliberate acquisition and presentation of a desired image.
 ",,,,,,
,manipulating the impression others gain about us.,,,,,,
,‘fine-tuning’ behaviour to meet expectations.,,,,,,
,all of the above.,,,,,,
